Date,Day_of_Week,Session,Symbol,Range_High,Range_Low,Range,Trade_Direction,Entry_Price,Exit_Price,Trade_PL,Net_$,Result,Cumulative_$
2021-03-04,Thursday,NY,MNQH1,12765.0,12649.5,115.5,Short,12649.0,12534.0,115.0,228.5,Win,228.5
2021-03-04,Thursday,NY,MNQH1,12765.0,12649.5,115.5,Short,12649.0,12534.0,115.0,228.5,Win,457.0
2021-03-05,Friday,NY,MNQH1,12606.0,12446.25,159.75,Short,12445.75,12286.5,159.25,317.0,Win,774.0
2021-03-05,Friday,NY,MNQH1,12606.0,12446.25,159.75,Short,12445.75,12286.5,159.25,317.0,Win,1091.0
2021-03-08,Monday,NY,MNQH1,12686.0,12526.5,159.5,Long,12686.5,12526.5,-160.0,-321.5,Loss,769.5
2021-03-08,Monday,NY,MNQH1,12686.0,12526.5,159.5,Short,12526.0,12367.0,159.0,316.5,Win,1086.0
2021-03-09,Tuesday,NY,MNQH1,12652.25,12587.0,65.25,Long,12652.75,12717.5,64.75,128.0,Win,1214.0
2021-03-09,Tuesday,NY,MNQH1,12652.25,12587.0,65.25,Long,12652.75,12717.5,64.75,128.0,Win,1342.0
2021-03-10,Wednesday,NY,MNQH1,12969.25,12870.25,99.0,Long,12969.75,12870.25,-99.5,-200.5,Loss,1141.5
2021-03-10,Wednesday,NY,MNQH1,12969.25,12870.25,99.0,Short,12869.75,12771.25,98.5,195.5,Win,1337.0
2021-03-11,Thursday,NY,MNQH1,13006.75,12931.75,75.0,Short,12931.25,13006.75,-75.5,-152.5,Loss,1184.5
2021-03-11,Thursday,NY,MNQH1,13006.75,12931.75,75.0,Long,13007.25,13081.75,74.5,147.5,Win,1332.0
2021-03-12,Friday,NY,MNQM1,12865.25,12789.0,76.25,Long,12865.75,12789.0,-76.75,-155.0,Loss,1177.0
2021-03-12,Friday,NY,MNQM1,12865.25,12789.0,76.25,Short,12788.5,12865.25,-76.75,-155.0,Loss,1022.0
2021-03-15,Monday,NY,MNQM1,12941.5,12887.5,54.0,Long,12942.0,12887.5,-54.5,-110.5,Loss,911.5
2021-03-15,Monday,NY,MNQM1,12941.5,12887.5,54.0,Short,12887.0,12941.5,-54.5,-110.5,Loss,801.0
2021-03-16,Tuesday,NY,MNQM1,13190.0,13132.25,57.75,Long,13190.5,13247.75,57.25,113.0,Win,914.0
2021-03-16,Tuesday,NY,MNQM1,13190.0,13132.25,57.75,Long,13190.5,13247.75,57.25,113.0,Win,1027.0
2021-03-17,Wednesday,NY,MNQM1,13015.75,12934.25,81.5,Long,13016.25,13097.25,81.0,160.5,Win,1187.5
2021-03-17,Wednesday,NY,MNQM1,13015.75,12934.25,81.5,Long,13016.25,13097.25,81.0,160.5,Win,1348.0
2021-03-18,Thursday,NY,MNQM1,13022.0,12963.75,58.25,Short,12963.25,12905.5,57.75,114.0,Win,1462.0
2021-03-18,Thursday,NY,MNQM1,13022.0,12963.75,58.25,Short,12963.25,12905.5,57.75,114.0,Win,1576.0
2021-03-19,Friday,NY,MNQM1,12837.0,12725.0,112.0,Short,12724.5,12837.0,-112.5,-226.5,Loss,1349.5
2021-03-19,Friday,NY,MNQM1,12837.0,12725.0,112.0,Long,12837.5,12837.0,-0.5,-2.5,EOD-Loss,1347.0
2021-03-22,Monday,NY,MNQM1,12992.5,12927.75,64.75,Long,12993.0,13057.25,64.25,127.0,Win,1474.0
2021-03-22,Monday,NY,MNQM1,12992.5,12927.75,64.75,Long,12993.0,13057.25,64.25,127.0,Win,1601.0
2021-03-23,Tuesday,NY,MNQM1,13119.5,13066.75,52.75,Short,13066.25,13119.5,-53.25,-108.0,Loss,1493.0
2021-03-23,Tuesday,NY,MNQM1,13119.5,13066.75,52.75,Long,13120.0,13066.75,-53.25,-108.0,Loss,1385.0
2021-03-24,Wednesday,NY,MNQM1,13072.5,12988.5,84.0,Short,12988.0,12904.5,83.5,165.5,Win,1550.5
2021-03-24,Wednesday,NY,MNQM1,13072.5,12988.5,84.0,Short,12988.0,12904.5,83.5,165.5,Win,1716.0
2021-03-25,Thursday,NY,MNQM1,12803.0,12688.25,114.75,Long,12803.5,12688.25,-115.25,-232.0,Loss,1484.0
2021-03-25,Thursday,NY,MNQM1,12803.0,12688.25,114.75,Short,12687.75,12803.0,-115.25,-232.0,Loss,1252.0
2021-03-26,Friday,NY,MNQM1,12820.75,12754.0,66.75,Long,12821.25,12754.0,-67.25,-136.0,Loss,1116.0
2021-03-26,Friday,NY,MNQM1,12820.75,12754.0,66.75,Short,12753.5,12820.75,-67.25,-136.0,Loss,980.0
2021-03-29,Monday,NY,MNQM1,12977.5,12915.5,62.0,Short,12915.0,12853.5,61.5,121.5,Win,1101.5
2021-03-29,Monday,NY,MNQM1,12977.5,12915.5,62.0,Short,12915.0,12853.5,61.5,121.5,Win,1223.0
2021-03-30,Tuesday,NY,MNQM1,12888.0,12813.75,74.25,Short,12813.25,12888.0,-74.75,-151.0,Loss,1072.0
2021-03-30,Tuesday,NY,MNQM1,12888.0,12813.75,74.25,Long,12888.5,12895.5,7.0,12.5,EOD-Win,1084.5
2021-03-31,Wednesday,NY,MNQM1,13015.5,12953.0,62.5,Long,13016.0,13078.0,62.0,122.5,Win,1207.0
2021-03-31,Wednesday,NY,MNQM1,13015.5,12953.0,62.5,Long,13016.0,13078.0,62.0,122.5,Win,1329.5
2021-04-01,Thursday,NY,MNQM1,13294.0,13241.5,52.5,Long,13294.5,13314.25,19.75,38.0,EOD-Win,1367.5
2021-04-05,Monday,NY,MNQM1,13446.0,13409.25,36.75,Long,13446.5,13482.75,36.25,71.0,Win,1438.5
2021-04-05,Monday,NY,MNQM1,13446.0,13409.25,36.75,Long,13446.5,13482.75,36.25,71.0,Win,1509.5
2021-04-06,Tuesday,NY,MNQM1,13586.0,13538.75,47.25,Long,13586.5,13633.25,46.75,92.0,Win,1601.5
2021-04-06,Tuesday,NY,MNQM1,13586.0,13538.75,47.25,Long,13586.5,13633.25,46.75,92.0,Win,1693.5
2021-04-07,Wednesday,NY,MNQM1,13560.5,13513.0,47.5,Long,13561.0,13608.0,47.0,92.5,Win,1786.0
2021-04-07,Wednesday,NY,MNQM1,13560.5,13513.0,47.5,Long,13561.0,13608.0,47.0,92.5,Win,1878.5
