Date,Day_of_Week,Session,Symbol,Range_High,Range_Low,Range,Trade_Direction,Entry_Price,Exit_Price,Trade_PL,Net_$,Result,Cumulative_$
2021-03-04,Thursday,London,MNQH1,12657.0,12613.25,43.75,Short,12656.5,12700.75,-44.25,-90.0,Loss,-90.0
2021-03-04,Thursday,London,MNQH1,12657.0,12613.25,43.75,Long,12613.75,12569.5,-44.25,-90.0,Loss,-180.0
2021-03-05,Friday,London,MNQH1,12452.75,12402.5,50.25,Long,12403.0,12352.25,-50.75,-103.0,Loss,-283.0
2021-03-05,Friday,London,MNQH1,12452.75,12402.5,50.25,Short,12452.25,12503.0,-50.75,-103.0,Loss,-386.0
2021-03-08,Monday,London,MNQH1,12548.0,12470.25,77.75,Long,12470.75,12392.5,-78.25,-158.0,Loss,-544.0
2021-03-08,Monday,London,MNQH1,12548.0,12470.25,77.75,Short,12547.5,12625.75,-78.25,-158.0,Loss,-702.0
2021-03-09,Tuesday,London,MNQH1,12389.25,12367.5,21.75,Short,12388.75,12411.0,-22.25,-46.0,Loss,-748.0
2021-03-10,Wednesday,London,MNQH1,12763.25,12727.25,36.0,Short,12762.75,12799.25,-36.5,-74.5,Loss,-822.5
2021-03-10,Wednesday,London,MNQH1,12763.25,12727.25,36.0,Long,12727.75,12763.25,35.5,69.5,Win,-753.0
2021-03-11,Thursday,London,MNQH1,12900.75,12878.75,22.0,Short,12900.25,12922.75,-22.5,-46.5,Loss,-799.5
2021-03-12,Friday,London,MNQM1,12971.75,12917.5,54.25,Long,12918.0,12863.25,-54.75,-111.0,Loss,-910.5
2021-03-15,Monday,London,MNQM1,12909.25,12891.0,18.25,Long,12891.5,12909.25,17.75,34.0,Win,-876.5
2021-03-15,Monday,London,MNQM1,12909.25,12891.0,18.25,Short,12908.75,12891.0,17.75,34.0,Win,-842.5
2021-03-16,Tuesday,London,MNQM1,13135.25,13115.75,19.5,Long,13116.25,13135.25,19.0,36.5,Win,-806.0
2021-03-16,Tuesday,London,MNQM1,13135.25,13115.75,19.5,Short,13134.75,13115.75,19.0,36.5,Win,-769.5
2021-03-17,Wednesday,London,MNQM1,13138.25,13127.5,10.75,Short,13137.75,13127.5,10.25,19.0,Win,-750.5
2021-03-17,Wednesday,London,MNQM1,13138.25,13127.5,10.75,Long,13128.0,13116.75,-11.25,-24.0,Loss,-774.5
2021-03-18,Thursday,London,MNQM1,13201.5,13191.75,9.75,Short,13201.0,13191.75,9.25,17.0,Win,-757.5
2021-03-19,Friday,London,MNQM1,12776.0,12712.75,63.25,Short,12775.5,12839.25,-63.75,-129.0,Loss,-886.5
2021-03-19,Friday,London,MNQM1,12776.0,12712.75,63.25,Long,12713.25,12776.0,62.75,124.0,Win,-762.5
2021-03-22,Monday,London,MNQM1,12922.75,12907.75,15.0,Long,12908.25,12922.75,14.5,27.5,Win,-735.0
2021-03-22,Monday,London,MNQM1,12922.75,12907.75,15.0,Short,12922.25,12907.75,14.5,27.5,Win,-707.5
2021-03-23,Tuesday,London,MNQM1,13013.0,13002.5,10.5,Short,13012.5,13023.5,-11.0,-23.5,Loss,-731.0
2021-03-24,Wednesday,London,MNQM1,13037.25,13025.25,12.0,Short,13036.75,13025.25,11.5,21.5,Win,-709.5
2021-03-24,Wednesday,London,MNQM1,13037.25,13025.25,12.0,Long,13025.75,13037.25,11.5,21.5,Win,-688.0
2021-03-25,Thursday,London,MNQM1,12815.75,12803.75,12.0,Long,12804.25,12815.75,11.5,21.5,Win,-666.5
2021-03-25,Thursday,London,MNQM1,12815.75,12803.75,12.0,Short,12815.25,12827.75,-12.5,-26.5,Loss,-693.0
2021-03-26,Friday,London,MNQM1,12879.5,12866.25,13.25,Short,12879.0,12866.25,12.75,24.0,Win,-669.0
2021-03-26,Friday,London,MNQM1,12879.5,12866.25,13.25,Long,12866.75,12853.0,-13.75,-29.0,Loss,-698.0
2021-03-29,Monday,London,MNQM1,12855.5,12829.25,26.25,Long,12829.75,12855.5,25.75,50.0,Win,-648.0
2021-03-29,Monday,London,MNQM1,12855.5,12829.25,26.25,Short,12855.0,12881.75,-26.75,-55.0,Loss,-703.0
2021-03-30,Tuesday,London,MNQM1,12925.0,12907.5,17.5,Short,12924.5,12907.5,17.0,32.5,Win,-670.5
2021-03-30,Tuesday,London,MNQM1,12925.0,12907.5,17.5,Long,12908.0,12890.0,-18.0,-37.5,Loss,-708.0
2021-03-31,Wednesday,London,MNQM1,12875.5,12860.25,15.25,Short,12875.0,12890.75,-15.75,-33.0,Loss,-741.0
2021-04-01,Thursday,London,MNQM1,13144.0,13134.0,10.0,Short,13143.5,13154.0,-10.5,-22.5,Loss,-763.5
2021-04-02,Friday,London,MNQM1,13355.0,13347.5,7.5,Short,13354.5,13362.5,-8.0,-17.5,Loss,-781.0
2021-04-02,Friday,London,MNQM1,13355.0,13347.5,7.5,Long,13348.0,13355.0,7.0,12.5,Win,-768.5
2021-04-05,Monday,London,MNQM1,13328.5,13311.25,17.25,Short,13328.0,13345.75,-17.75,-37.0,Loss,-805.5
2021-04-06,Tuesday,London,MNQM1,13596.0,13572.25,23.75,Long,13572.75,13548.5,-24.25,-50.0,Loss,-855.5
2021-04-06,Tuesday,London,MNQM1,13596.0,13572.25,23.75,Short,13595.5,13572.25,23.25,45.0,Win,-810.5
2021-04-07,Wednesday,London,MNQM1,13585.5,13568.25,17.25,Short,13585.0,13602.75,-17.75,-37.0,Loss,-847.5
2021-04-07,Wednesday,London,MNQM1,13585.5,13568.25,17.25,Long,13568.75,13585.5,16.75,32.0,Win,-815.5
2021-04-08,Thursday,London,MNQM1,13735.75,13726.25,9.5,Long,13726.75,13716.75,-10.0,-21.5,Loss,-837.0
2021-04-08,Thursday,London,MNQM1,13735.75,13726.25,9.5,Short,13735.25,13726.25,9.0,16.5,Win,-820.5
2021-04-09,Friday,London,MNQM1,13748.5,13731.0,17.5,Long,13731.5,13713.5,-18.0,-37.5,Loss,-858.0
2021-04-09,Friday,London,MNQM1,13748.5,13731.0,17.5,Short,13748.0,13731.0,17.0,32.5,Win,-825.5
