Date,Day_of_Week,Session,Symbol,Range_High,Range_Low,Range,Trade_Direction,Entry_Price,Exit_Price,Trade_PL,Net_$,Result,Cumulative_$
2019-05-06,Monday,London,MYMM9,26058.0,26039.0,19.0,Short,26037.0,26020.0,17.0,7.0,Win,7.0
2019-05-06,Monday,London,MYMM9,26058.0,26039.0,19.0,Long,26060.0,26039.0,-21.0,-12.0,Loss,-5.0
2019-05-07,Tuesday,London,MYMM9,26264.0,26254.0,10.0,Long,26266.0,26274.0,8.0,2.5,Win,-2.5
2019-05-07,Tuesday,London,MYMM9,26264.0,26254.0,10.0,Short,26252.0,26244.0,8.0,2.5,Win,0.0
2019-05-08,Wednesday,London,MYMM9,26002.0,25990.0,12.0,Short,25988.0,25978.0,10.0,3.5,Win,3.5
2019-05-08,Wednesday,London,MYMM9,26002.0,25990.0,12.0,Long,26004.0,25990.0,-14.0,-8.5,Loss,-5.0
2019-05-09,Thursday,London,MYMM9,25901.0,25882.0,19.0,Short,25880.0,25863.0,17.0,7.0,Win,2.0
2019-05-10,Friday,London,MYMM9,25789.0,25767.0,22.0,Long,25791.0,25811.0,20.0,8.5,Win,10.5
2019-05-10,Friday,London,MYMM9,25789.0,25767.0,22.0,Short,25765.0,25745.0,20.0,8.5,Win,19.0
2019-05-13,Monday,London,MYMM9,25702.0,25699.0,3.0,Long,25704.0,25705.0,1.0,-1.0,Win,18.0
2019-05-13,Monday,London,MYMM9,25702.0,25699.0,3.0,Short,25697.0,25702.0,-5.0,-4.0,Loss,14.0
2019-05-14,Tuesday,London,MYMM9,25401.0,25376.0,25.0,Short,25374.0,25351.0,23.0,10.0,Win,24.0
2019-05-14,Tuesday,London,MYMM9,25401.0,25376.0,25.0,Long,25403.0,25376.0,-27.0,-15.0,Loss,9.0
2019-05-15,Wednesday,London,MYMM9,25621.0,25609.0,12.0,Long,25623.0,25633.0,10.0,3.5,Win,12.5
2019-05-15,Wednesday,London,MYMM9,25621.0,25609.0,12.0,Short,25607.0,25597.0,10.0,3.5,Win,16.0
2019-05-16,Thursday,London,MYMM9,25612.0,25594.0,18.0,Short,25592.0,25612.0,-20.0,-11.5,Loss,4.5
2019-05-16,Thursday,London,MYMM9,25612.0,25594.0,18.0,Long,25614.0,25630.0,16.0,6.5,Win,11.0
2019-05-17,Friday,London,MYMM9,25795.0,25783.0,12.0,Long,25797.0,25783.0,-14.0,-8.5,Loss,2.5
2019-05-17,Friday,London,MYMM9,25795.0,25783.0,12.0,Short,25781.0,25771.0,10.0,3.5,Win,6.0
2019-05-20,Monday,London,MYMM9,25868.0,25843.0,25.0,Short,25841.0,25868.0,-27.0,-15.0,Loss,-9.0
2019-05-20,Monday,London,MYMM9,25868.0,25843.0,25.0,Long,25870.0,25843.0,-27.0,-15.0,Loss,-24.0
2019-05-21,Tuesday,London,MYMM9,25789.0,25768.0,21.0,Short,25766.0,25747.0,19.0,8.0,Win,-16.0
2019-05-21,Tuesday,London,MYMM9,25789.0,25768.0,21.0,Long,25791.0,25768.0,-23.0,-13.0,Loss,-29.0
2019-05-22,Wednesday,London,MYMM9,25850.0,25836.0,14.0,Short,25834.0,25850.0,-16.0,-9.5,Loss,-38.5
2019-05-22,Wednesday,London,MYMM9,25850.0,25836.0,14.0,Long,25852.0,25836.0,-16.0,-9.5,Loss,-48.0
2019-05-23,Thursday,London,MYMM9,25665.0,25638.0,27.0,Short,25636.0,25611.0,25.0,11.0,Win,-37.0
2019-05-24,Friday,London,MYMM9,25554.0,25538.0,16.0,Long,25556.0,25570.0,14.0,5.5,Win,-31.5
2019-05-24,Friday,London,MYMM9,25554.0,25538.0,16.0,Short,25536.0,25522.0,14.0,5.5,Win,-26.0
2019-05-27,Monday,London,MYMM9,25656.0,25632.0,24.0,Long,25658.0,25680.0,22.0,9.5,Win,-16.5
2019-05-27,Monday,London,MYMM9,25656.0,25632.0,24.0,Short,25630.0,25640.0,-10.0,-6.5,EOD-Loss,-23.0
2019-05-28,Tuesday,London,MYMM9,25693.0,25681.0,12.0,Short,25679.0,25669.0,10.0,3.5,Win,-19.5
2019-05-28,Tuesday,London,MYMM9,25693.0,25681.0,12.0,Long,25695.0,25681.0,-14.0,-8.5,Loss,-28.0
2019-05-29,Wednesday,London,MYMM9,25321.0,25305.0,16.0,Short,25303.0,25289.0,14.0,5.5,Win,-22.5
2019-05-30,Thursday,London,MYMM9,25168.0,25143.0,25.0,Short,25141.0,25168.0,-27.0,-15.0,Loss,-37.5
2019-05-30,Thursday,London,MYMM9,25168.0,25143.0,25.0,Long,25170.0,25193.0,23.0,10.0,Win,-27.5
2019-05-31,Friday,London,MYMM9,24990.0,24971.0,19.0,Short,24969.0,24952.0,17.0,7.0,Win,-20.5
2019-06-03,Monday,London,MYMM9,24715.0,24693.0,22.0,Short,24691.0,24671.0,20.0,8.5,Win,-12.0
2019-06-03,Monday,London,MYMM9,24715.0,24693.0,22.0,Long,24717.0,24737.0,20.0,8.5,Win,-3.5
2019-06-04,Tuesday,London,MYMM9,24901.0,24870.0,31.0,Short,24868.0,24901.0,-33.0,-18.0,Loss,-21.5
2019-06-04,Tuesday,London,MYMM9,24901.0,24870.0,31.0,Long,24903.0,24932.0,29.0,13.0,Win,-8.5
2019-06-05,Wednesday,London,MYMM9,25375.0,25360.0,15.0,Short,25358.0,25345.0,13.0,5.0,Win,-3.5
2019-06-05,Wednesday,London,MYMM9,25375.0,25360.0,15.0,Long,25377.0,25390.0,13.0,5.0,Win,1.5
2019-06-06,Thursday,London,MYMM9,25536.0,25522.0,14.0,Long,25538.0,25522.0,-16.0,-9.5,Loss,-8.0
2019-06-06,Thursday,London,MYMM9,25536.0,25522.0,14.0,Short,25520.0,25536.0,-16.0,-9.5,Loss,-17.5
2019-06-07,Friday,London,MYMM9,25789.0,25777.0,12.0,Long,25791.0,25777.0,-14.0,-8.5,Loss,-26.0
2019-06-07,Friday,London,MYMM9,25789.0,25777.0,12.0,Short,25775.0,25765.0,10.0,3.5,Win,-22.5
2019-06-10,Monday,London,MYMM9,26080.0,26061.0,19.0,Long,26082.0,26061.0,-21.0,-12.0,Loss,-34.5
2019-06-10,Monday,London,MYMM9,26080.0,26061.0,19.0,Short,26059.0,26080.0,-21.0,-12.0,Loss,-46.5
2019-06-11,Tuesday,London,MYMM9,26162.0,26148.0,14.0,Long,26164.0,26148.0,-16.0,-9.5,Loss,-56.0
