year,start_capital_usd,bump_level,max_contracts,required_capital_usd,capital_headroom_usd,year_net_usd,year_mtm_dd_usd,year_max_open_units,end_capital_usd
2010,381862.5,0,10,381862.5,0.0,16762.5,-12537.5,7,398625.0
2011,398625.0,0,10,381862.5,16762.5,-5187.5,-32050.0,8,393437.5
2012,393437.5,0,10,381862.5,11575.0,20537.5,-37225.0,10,413975.0
2013,413975.0,0,10,381862.5,32112.5,20337.5,-14350.0,7,434312.5
2014,434312.5,0,10,381862.5,52450.0,38762.5,-14050.0,8,473075.0
2015,473075.0,0,10,381862.5,91212.5,-20625.0,-25625.0,5,452450.0
2016,452450.0,0,10,381862.5,70587.5,41337.5,-24687.5,10,493787.5
2017,493787.5,0,10,381862.5,111925.0,128600.0,-17400.0,10,622387.5
2018,622387.5,1,11,553275.0,69112.5,89287.5,-55412.5,11,711675.0
2019,711675.0,1,11,553275.0,158400.0,173125.0,-41100.0,11,884800.0
2020,884800.0,2,12,724687.5,160112.5,433187.5,-87987.5,12,1317987.5
2021,1317987.5,5,15,1200112.5,117875.0,96100.0,-119087.5,15,1414087.5
2022,1414087.5,6,16,1356000.0,58087.5,-237375.0,-324550.0,16,1176712.5
2023,1176712.5,4,14,1044225.0,132487.5,446250.0,-130337.5,14,1622962.5
2024,1622962.5,8,18,1566450.0,56512.5,900887.5,-131850.0,18,2523850.0
2025,2523850.0,17,27,2513475.0,10375.0,719475.0,-551250.0,27,3243325.0
2026,3243325.0,23,33,3144825.0,98500.0,-14825.0,-154337.5,33,3228500.0
