year,start_capital_usd,bump_level,max_contracts,required_capital_usd,capital_headroom_usd,year_net_usd,year_mtm_dd_usd,year_max_open_units,end_capital_usd
2010,194212.5,0,10,194212.5,0.0,8375.0,-11400.0,8,202587.5
2011,202587.5,0,10,194212.5,8375.0,-237.5,-26687.5,9,202350.0
2012,202350.0,0,10,194212.5,8137.5,20150.0,-27300.0,10,222500.0
2013,222500.0,0,10,194212.5,28287.5,-2650.0,-16400.0,8,219850.0
2014,219850.0,0,10,194212.5,25637.5,18212.5,-15050.0,9,238062.5
2015,238062.5,0,10,194212.5,43850.0,-10175.0,-14475.0,4,227887.5
2016,227887.5,0,10,194212.5,33675.0,19812.5,-25550.0,10,247700.0
2017,247700.0,0,10,194212.5,53487.5,130125.0,-18700.0,10,377825.0
2018,377825.0,1,11,350587.5,27237.5,98062.5,-42987.5,11,475887.5
2019,475887.5,1,11,350587.5,125300.0,136425.0,-37950.0,11,612312.5
2020,612312.5,2,12,522000.0,90312.5,382587.5,-81662.5,12,994900.0
2021,994900.0,4,14,849300.0,145600.0,70800.0,-102675.0,14,1065700.0
2022,1065700.0,5,15,1005187.5,60512.5,-169762.5,-238800.0,15,895937.5
2023,895937.5,4,14,849300.0,46637.5,423450.0,-109312.5,14,1319387.5
2024,1319387.5,7,17,1316962.5,2425.0,791587.5,-135250.0,17,2110975.0
2025,2110975.0,14,24,2104200.0,6775.0,679950.0,-413437.5,24,2790925.0
2026,2790925.0,20,30,2735550.0,55375.0,-24187.5,-136912.5,30,2766737.5
