Date,Day_of_Week,Symbol,Range_High,Range_Low,Range,Trade_Direction,Entry_Price,Exit_Price,Trade_PL,Net_$,Result,Cumulative_PL,Cumulative_$
2010-06-07,Monday,ESM0,1068.25,1061.5,6.75,Long,1062.0,1068.25,6.25,311.0,Win,6.25,311.0
2010-06-07,Monday,ESM0,1068.25,1061.5,6.75,Short,1067.75,1061.5,6.25,311.0,Win,12.5,622.0
2010-06-08,Tuesday,ESM0,1056.0,1050.0,6.0,Long,1050.5,1044.0,-6.5,-326.5,Loss,6.0,295.5
2010-06-08,Tuesday,ESM0,1056.0,1050.0,6.0,Short,1055.5,1050.0,5.5,273.5,Win,11.5,569.0
2010-06-09,Wednesday,ESM0,1069.0,1066.0,3.0,Long,1066.5,1069.0,2.5,123.5,Win,14.0,692.5
2010-06-09,Wednesday,ESM0,1069.0,1066.0,3.0,Short,1068.5,1072.0,-3.5,-176.5,Loss,10.5,516.0
2010-06-10,Thursday,ESM0,1076.0,1072.0,4.0,Short,1075.5,1080.0,-4.5,-226.5,Loss,6.0,289.5
2010-06-10,Thursday,ESM0,1076.0,1072.0,4.0,Long,1072.5,1076.0,3.5,173.5,Win,9.5,463.0
2010-06-11,Friday,ESU0,1076.0,1071.75,4.25,Short,1075.5,1080.25,-4.75,-239.0,Loss,4.75,224.0
2010-06-14,Monday,ESU0,1096.25,1092.25,4.0,Long,1092.75,1096.25,3.5,173.5,Win,8.25,397.5
2010-06-14,Monday,ESU0,1096.25,1092.25,4.0,Short,1095.75,1100.25,-4.5,-226.5,Loss,3.75,171.0
2010-06-15,Tuesday,ESU0,1095.25,1091.25,4.0,Short,1094.75,1099.25,-4.5,-226.5,Loss,-0.75,-55.5
2010-06-16,Wednesday,ESU0,1107.5,1102.75,4.75,Short,1107.0,1102.75,4.25,211.0,Win,3.5,155.5
2010-06-17,Thursday,ESU0,1113.75,1108.5,5.25,Long,1109.0,1103.25,-5.75,-289.0,Loss,-2.25,-133.5
2010-06-18,Friday,ESU0,1114.0,1111.25,2.75,Long,1111.75,1114.0,2.25,111.0,Win,0.0,-22.5
2010-06-18,Friday,ESU0,1114.0,1111.25,2.75,Short,1113.5,1111.25,2.25,111.0,Win,2.25,88.5
2010-06-21,Monday,ESU0,1127.5,1122.5,5.0,Long,1123.0,1117.5,-5.5,-276.5,Loss,-3.25,-188.0
2010-06-22,Tuesday,ESU0,1113.0,1108.75,4.25,Short,1112.5,1108.75,3.75,186.0,Win,0.5,-2.0
2010-06-22,Tuesday,ESU0,1113.0,1108.75,4.25,Long,1109.25,1104.5,-4.75,-239.0,Loss,-4.25,-241.0
2010-06-23,Wednesday,ESU0,1092.25,1087.25,5.0,Long,1087.75,1092.25,4.5,223.5,Win,0.25,-17.5
2010-06-23,Wednesday,ESU0,1092.25,1087.25,5.0,Short,1091.75,1087.25,4.5,223.5,Win,4.75,206.0
2010-06-24,Thursday,ESU0,1083.75,1079.5,4.25,Long,1080.0,1075.25,-4.75,-239.0,Loss,0.0,-33.0
2010-06-25,Friday,ESU0,1072.75,1068.25,4.5,Long,1068.75,1072.75,4.0,198.5,Win,4.0,165.5
2010-06-25,Friday,ESU0,1072.75,1068.25,4.5,Short,1072.25,1068.25,4.0,198.5,Win,8.0,364.0
2010-06-28,Monday,ESU0,1076.5,1071.25,5.25,Long,1071.75,1076.5,4.75,236.0,Win,12.75,600.0
2010-06-28,Monday,ESU0,1076.5,1071.25,5.25,Short,1076.0,1071.25,4.75,236.0,Win,17.5,836.0
2010-06-30,Wednesday,ESU0,1040.25,1033.25,7.0,Short,1039.75,1033.25,6.5,323.5,Win,24.0,1159.5
2010-07-01,Thursday,ESU0,1029.75,1024.0,5.75,Long,1024.5,1018.25,-6.25,-314.0,Loss,17.75,845.5
2010-07-02,Friday,ESU0,1029.0,1023.75,5.25,Long,1024.25,1018.5,-5.75,-289.0,Loss,12.0,556.5
2010-07-05,Monday,ESU0,1014.25,1013.5,0.75,Long,1014.0,1012.75,-1.25,-64.0,Loss,10.75,492.5
2010-07-06,Tuesday,ESU0,1032.0,1028.75,3.25,Short,1031.5,1035.25,-3.75,-189.0,Loss,7.0,303.5
2010-07-08,Thursday,ESU0,1067.75,1062.5,5.25,Long,1063.0,1057.25,-5.75,-289.0,Loss,1.25,14.5
2010-07-09,Friday,ESU0,1068.5,1064.25,4.25,Short,1068.0,1072.75,-4.75,-239.0,Loss,-3.5,-224.5
2010-07-12,Monday,ESU0,1074.75,1069.5,5.25,Short,1074.25,1069.5,4.75,236.0,Win,1.25,11.5
2010-07-12,Monday,ESU0,1074.75,1069.5,5.25,Long,1070.0,1074.75,4.75,236.0,Win,6.0,247.5
2010-07-13,Tuesday,ESU0,1088.75,1085.0,3.75,Long,1085.5,1088.75,3.25,161.0,Win,9.25,408.5
2010-07-13,Tuesday,ESU0,1088.75,1085.0,3.75,Short,1088.25,1092.5,-4.25,-214.0,Loss,5.0,194.5
2010-07-14,Wednesday,ESU0,1089.25,1085.75,3.5,Short,1088.75,1085.75,3.0,148.5,Win,8.0,343.0
2010-07-14,Wednesday,ESU0,1089.25,1085.75,3.5,Long,1086.25,1089.25,3.0,148.5,Win,11.0,491.5
2010-07-15,Thursday,ESU0,1091.75,1087.5,4.25,Long,1088.0,1083.25,-4.75,-239.0,Loss,6.25,252.5
2010-07-15,Thursday,ESU0,1091.75,1087.5,4.25,Short,1091.25,1091.75,-0.5,-26.5,EOD-Loss,5.75,226.0
2010-07-16,Friday,ESU0,1086.5,1081.0,5.5,Long,1081.5,1075.5,-6.0,-301.5,Loss,-0.25,-75.5
2010-07-19,Monday,ESU0,1068.0,1064.75,3.25,Short,1067.5,1064.75,2.75,136.0,Win,2.5,60.5
2010-07-19,Monday,ESU0,1068.0,1064.75,3.25,Long,1065.25,1061.5,-3.75,-189.0,Loss,-1.25,-128.5
2010-07-20,Tuesday,ESU0,1056.75,1053.0,3.75,Short,1056.25,1060.5,-4.25,-214.0,Loss,-5.5,-342.5
2010-07-21,Wednesday,ESU0,1085.5,1080.25,5.25,Long,1080.75,1075.0,-5.75,-289.0,Loss,-11.25,-631.5
2010-07-22,Thursday,ESU0,1084.25,1078.0,6.25,Short,1083.75,1090.5,-6.75,-339.0,Loss,-18.0,-970.5
2010-07-23,Friday,ESU0,1091.5,1084.5,7.0,Long,1085.0,1091.5,6.5,323.5,Win,-11.5,-647.0
2010-07-23,Friday,ESU0,1091.5,1084.5,7.0,Short,1091.0,1098.5,-7.5,-376.5,Loss,-19.0,-1023.5
2010-07-27,Tuesday,ESU0,1117.75,1114.25,3.5,Long,1114.75,1117.75,3.0,148.5,Win,-16.0,-875.0
2010-07-28,Wednesday,ESU0,1111.5,1107.75,3.75,Long,1108.25,1104.0,-4.25,-214.0,Loss,-20.25,-1089.0
2010-07-30,Friday,ESU0,1091.0,1084.5,6.5,Short,1090.5,1097.5,-7.0,-351.5,Loss,-27.25,-1440.5
2010-08-02,Monday,ESU0,1115.5,1110.25,5.25,Short,1115.0,1120.75,-5.75,-289.0,Loss,-33.0,-1729.5
2010-08-03,Tuesday,ESU0,1120.5,1117.75,2.75,Long,1118.25,1115.0,-3.25,-164.0,Loss,-36.25,-1893.5
2010-08-03,Tuesday,ESU0,1120.5,1117.75,2.75,Short,1120.0,1117.75,2.25,111.0,Win,-34.0,-1782.5
2010-08-04,Wednesday,ESU0,1121.75,1118.25,3.5,Short,1121.25,1118.25,3.0,148.5,Win,-31.0,-1634.0
2010-08-04,Wednesday,ESU0,1121.75,1118.25,3.5,Long,1118.75,1121.75,3.0,148.5,Win,-28.0,-1485.5
2010-08-05,Thursday,ESU0,1119.25,1115.5,3.75,Short,1118.75,1123.0,-4.25,-214.0,Loss,-32.25,-1699.5
2010-08-06,Friday,ESU0,1118.75,1111.25,7.5,Short,1118.25,1111.25,7.0,348.5,Win,-25.25,-1351.0
2010-08-06,Friday,ESU0,1118.75,1111.25,7.5,Long,1111.75,1118.75,7.0,348.5,Win,-18.25,-1002.5
2010-08-09,Monday,ESU0,1124.25,1119.5,4.75,Long,1120.0,1124.25,4.25,211.0,Win,-14.0,-791.5
2010-08-09,Monday,ESU0,1124.25,1119.5,4.75,Short,1123.75,1124.5,-0.75,-39.0,EOD-Loss,-14.75,-830.5
2010-08-10,Tuesday,ESU0,1117.0,1111.0,6.0,Long,1111.5,1117.0,5.5,273.5,Win,-9.25,-557.0
2010-08-10,Tuesday,ESU0,1117.0,1111.0,6.0,Short,1116.5,1123.0,-6.5,-326.5,Loss,-15.75,-883.5
2010-08-11,Wednesday,ESU0,1101.5,1094.5,7.0,Long,1095.0,1087.5,-7.5,-376.5,Loss,-23.25,-1260.0
2010-08-12,Thursday,ESU0,1078.0,1070.5,7.5,Short,1077.5,1081.25,-3.75,-189.0,EOD-Loss,-27.0,-1449.0
2010-08-13,Friday,ESU0,1082.0,1077.0,5.0,Short,1081.5,1077.0,4.5,223.5,Win,-22.5,-1225.5
2010-08-13,Friday,ESU0,1082.0,1077.0,5.0,Long,1077.5,1082.0,4.5,223.5,Win,-18.0,-1002.0
2010-08-16,Monday,ESU0,1073.75,1066.25,7.5,Short,1073.25,1077.5,-4.25,-214.0,EOD-Loss,-22.25,-1216.0
2010-08-18,Wednesday,ESU0,1090.25,1084.75,5.5,Long,1085.25,1090.25,5.0,248.5,Win,-17.25,-967.5
2010-08-18,Wednesday,ESU0,1090.25,1084.75,5.5,Short,1089.75,1095.75,-6.0,-301.5,Loss,-23.25,-1269.0
2010-08-19,Thursday,ESU0,1089.5,1085.25,4.25,Long,1085.75,1081.0,-4.75,-239.0,Loss,-28.0,-1508.0
2010-08-20,Friday,ESU0,1071.25,1066.0,5.25,Long,1066.5,1071.25,4.75,236.0,Win,-23.25,-1272.0
2010-08-20,Friday,ESU0,1071.25,1066.0,5.25,Short,1070.75,1070.0,0.75,36.0,EOD-Win,-22.5,-1236.0
2010-08-23,Monday,ESU0,1078.0,1073.25,4.75,Short,1077.5,1073.25,4.25,211.0,Win,-18.25,-1025.0
2010-08-23,Monday,ESU0,1078.0,1073.25,4.75,Long,1073.75,1068.5,-5.25,-264.0,Loss,-23.5,-1289.0
2010-08-24,Tuesday,ESU0,1055.0,1051.5,3.5,Long,1052.0,1048.0,-4.0,-201.5,Loss,-27.5,-1490.5
2010-08-24,Tuesday,ESU0,1055.0,1051.5,3.5,Short,1054.5,1051.5,3.0,148.5,Win,-24.5,-1342.0
2010-08-25,Wednesday,ESU0,1047.5,1043.25,4.25,Long,1043.75,1039.0,-4.75,-239.0,Loss,-29.25,-1581.0
2010-08-25,Wednesday,ESU0,1047.5,1043.25,4.25,Short,1047.0,1043.25,3.75,186.0,Win,-25.5,-1395.0
2010-08-26,Thursday,ESU0,1059.0,1055.25,3.75,Long,1055.75,1059.0,3.25,161.0,Win,-22.25,-1234.0
2010-08-26,Thursday,ESU0,1059.0,1055.25,3.75,Short,1058.5,1055.25,3.25,161.0,Win,-19.0,-1073.0
2010-08-27,Friday,ESU0,1054.25,1048.0,6.25,Long,1048.5,1041.75,-6.75,-339.0,Loss,-25.75,-1412.0
2010-08-30,Monday,ESU0,1062.75,1059.25,3.5,Short,1062.25,1059.25,3.0,148.5,Win,-22.75,-1263.5
2010-08-30,Monday,ESU0,1062.75,1059.25,3.5,Long,1059.75,1055.75,-4.0,-201.5,Loss,-26.75,-1465.0
2010-08-31,Tuesday,ESU0,1044.75,1039.25,5.5,Short,1044.25,1050.25,-6.0,-301.5,Loss,-32.75,-1766.5
2010-09-01,Wednesday,ESU0,1064.75,1061.0,3.75,Short,1064.25,1068.5,-4.25,-214.0,Loss,-37.0,-1980.5
2010-09-02,Thursday,ESU0,1082.0,1079.25,2.75,Short,1081.5,1084.75,-3.25,-164.0,Loss,-40.25,-2144.5
2010-09-03,Friday,ESU0,1104.5,1099.5,5.0,Long,1100.0,1094.5,-5.5,-276.5,Loss,-45.75,-2421.0
2010-09-06,Monday,ESU0,1106.5,1105.5,1.0,Long,1106.0,1106.5,0.5,23.5,Win,-45.25,-2397.5
2010-09-07,Tuesday,ESU0,1099.5,1096.0,3.5,Long,1096.5,1092.5,-4.0,-201.5,Loss,-49.25,-2599.0
2010-09-08,Wednesday,ESU0,1097.25,1092.25,5.0,Short,1096.75,1102.25,-5.5,-276.5,Loss,-54.75,-2875.5
2010-09-09,Thursday,ESU0,1111.5,1107.75,3.75,Long,1108.25,1104.0,-4.25,-214.0,Loss,-59.0,-3089.5
2010-09-10,Friday,ESZ0,1101.25,1098.25,3.0,Short,1100.75,1104.25,-3.5,-176.5,Loss,-62.5,-3266.0
2010-09-13,Monday,ESZ0,1117.25,1114.0,3.25,Long,1114.5,1117.25,2.75,136.0,Win,-59.75,-3130.0
2010-09-13,Monday,ESZ0,1117.25,1114.0,3.25,Short,1116.75,1114.0,2.75,136.0,Win,-57.0,-2994.0
2010-09-14,Tuesday,ESZ0,1115.5,1110.25,5.25,Short,1115.0,1120.75,-5.75,-289.0,Loss,-62.75,-3283.0
2010-09-15,Wednesday,ESZ0,1112.75,1109.0,3.75,Short,1112.25,1116.5,-4.25,-214.0,Loss,-67.0,-3497.0
2010-09-16,Thursday,ESZ0,1118.25,1114.5,3.75,Long,1115.0,1118.25,3.25,161.0,Win,-63.75,-3336.0
