date,open,high,low,close,volume,symbol
2015-01-01,2058.0,2069.4,2058.0,2069.4,841.0,SPX500
2015-01-02,2069.2,2073.2,2044.8,2052.4,24520.0,SPX500
2015-01-04,2051.2,2053.4,2042.6,2053.2,2363.0,SPX500
2015-01-05,2053.2,2054.2,2015.2,2019.8,28761.0,SPX500
2015-01-06,2020.0,2029.2,1989.8,2005.8,41313.0,SPX500
2015-01-07,2005.8,2043.8,2002.6,2039.2,38019.0,SPX500
2015-01-08,2038.8,2063.8,2036.0,2057.6,19259.0,SPX500
2015-01-09,2057.4,2067.4,2036.8,2041.2,26121.0,SPX500
2015-01-11,2041.2,2043.8,2037.6,2039.8,542.0,SPX500
2015-01-12,2039.6,2053.4,2020.4,2030.0,14382.0,SPX500
2015-01-13,2029.6,2056.8,2006.2,2014.6,20498.0,SPX500
2015-01-14,2014.4,2024.6,1986.2,2015.0,30361.0,SPX500
2015-01-15,2014.8,2032.0,1975.2,1982.2,46114.0,SPX500
2015-01-16,1982.2,2019.2,1978.0,2016.6,18474.0,SPX500
2015-01-18,2018.2,2028.3,2013.0,2017.7,4895.0,SPX500
2015-01-19,2017.4,2024.0,2007.8,2020.0,10888.0,SPX500
2015-01-20,2019.6,2030.8,2002.0,2023.8,23337.0,SPX500
2015-01-21,2023.6,2036.8,2009.8,2033.8,28833.0,SPX500
2015-01-22,2034.0,2063.6,2023.8,2058.2,41750.0,SPX500
2015-01-23,2058.6,2066.8,2048.4,2048.8,11807.0,SPX500
2015-01-25,2039.4,2039.6,2029.8,2037.2,3578.0,SPX500
2015-01-26,2037.4,2059.0,2035.8,2057.2,15992.0,SPX500
2015-01-27,2057.2,2058.6,2017.0,2047.4,27091.0,SPX500
2015-01-28,2047.4,2049.0,1995.2,1999.4,43040.0,SPX500
2015-01-29,1999.6,2024.2,1986.0,2017.2,34370.0,SPX500
2015-01-30,2017.4,2020.8,1990.0,1993.8,38707.0,SPX500
2015-02-01,1994.6,1998.4,1987.6,1994.4,2058.0,SPX500
2015-02-02,1994.4,2021.6,1977.4,2012.2,22923.0,SPX500
2015-02-03,2012.0,2047.4,2010.4,2044.0,16467.0,SPX500
2015-02-04,2044.2,2052.6,2024.2,2029.0,18496.0,SPX500
2015-02-05,2029.2,2062.0,2026.2,2056.8,16086.0,SPX500
2015-02-06,2057.2,2071.0,2048.0,2056.6,15325.0,SPX500
2015-02-08,2051.2,2052.2,2044.2,2046.6,2429.0,SPX500
2015-02-09,2046.4,2054.8,2039.4,2047.0,33901.0,SPX500
2015-02-10,2046.8,2069.4,2043.6,2063.2,31365.0,SPX500
2015-02-11,2063.2,2082.2,2056.2,2066.2,32937.0,SPX500
2015-02-12,2066.0,2088.2,2064.4,2087.0,28461.0,SPX500
2015-02-13,2087.0,2097.2,2085.6,2096.0,18858.0,SPX500
2015-02-15,2094.6,2096.0,2091.6,2093.2,658.0,SPX500
2015-02-16,2093.2,2096.2,2084.2,2088.0,3989.0,SPX500
2015-02-17,2088.2,2101.0,2083.4,2098.8,16030.0,SPX500
2015-02-18,2099.0,2100.8,2091.0,2096.6,13073.0,SPX500
2015-02-19,2096.6,2101.6,2089.6,2096.4,13194.0,SPX500
2015-02-20,2096.6,2110.8,2084.6,2109.0,21171.0,SPX500
2015-02-22,2109.4,2110.0,2108.0,2108.6,431.0,SPX500
2015-02-23,2108.6,2110.0,2101.8,2109.0,6083.0,SPX500
2015-02-24,2108.8,2117.6,2104.8,2114.8,7229.0,SPX500
2015-02-25,2114.8,2119.4,2109.4,2113.6,5346.0,SPX500
2015-02-26,2114.0,2116.6,2103.4,2109.0,5878.0,SPX500
2015-02-27,2109.4,2112.6,2102.8,2106.2,5051.0,SPX500
2015-03-01,2105.8,2109.2,2105.6,2107.0,290.0,SPX500
2015-03-02,2107.0,2116.8,2102.0,2114.2,4834.0,SPX500
2015-03-03,2114.4,2114.8,2097.0,2104.6,5287.0,SPX500
2015-03-04,2105.0,2105.4,2086.8,2099.0,7973.0,SPX500
2015-03-05,2099.4,2104.6,2094.6,2100.0,6249.0,SPX500
2015-03-06,2100.2,2104.4,2066.6,2072.0,10695.0,SPX500
2015-03-08,2074.8,2074.8,2068.2,2068.2,561.0,SPX500
2015-03-09,2068.6,2083.2,2067.0,2076.6,5547.0,SPX500
2015-03-10,2076.8,2077.0,2042.2,2049.4,10231.0,SPX500
2015-03-11,2049.6,2052.8,2039.2,2044.8,8488.0,SPX500
2015-03-12,2045.0,2069.2,2043.2,2067.2,8465.0,SPX500
2015-03-13,2067.0,2069.0,2040.8,2050.4,12572.0,SPX500
2015-03-15,2051.6,2052.8,2045.2,2052.4,778.0,SPX500
2015-03-16,2052.4,2082.0,2051.4,2075.2,14171.0,SPX500
2015-03-17,2074.8,2078.4,2064.4,2075.0,13624.0,SPX500
2015-03-18,2075.2,2107.8,2060.4,2103.8,24141.0,SPX500
2015-03-19,2103.4,2106.6,2084.4,2092.0,10765.0,SPX500
2015-03-20,2091.8,2114.6,2091.8,2106.8,7138.0,SPX500
2015-03-22,2106.6,2113.8,2106.4,2110.6,416.0,SPX500
2015-03-23,2110.6,2114.8,2101.4,2104.8,6211.0,SPX500
2015-03-24,2104.6,2108.4,2091.0,2091.6,8044.0,SPX500
2015-03-25,2091.4,2097.0,2059.8,2061.0,10912.0,SPX500
2015-03-26,2061.2,2066.2,2040.6,2064.2,15976.0,SPX500
2015-03-27,2063.8,2065.0,2048.4,2058.8,12514.0,SPX500
2015-03-29,2059.6,2068.4,2054.4,2065.6,1641.0,SPX500
2015-03-30,2065.8,2088.6,2063.4,2079.6,17921.0,SPX500
2015-03-31,2079.8,2083.0,2040.4,2050.0,25732.0,SPX500
2015-04-01,2050.2,2067.4,2046.6,2057.6,32601.0,SPX500
2015-04-02,2058.0,2071.4,2050.8,2067.2,22225.0,SPX500
2015-04-03,2067.6,2070.4,2045.0,2046.0,3662.0,SPX500
2015-04-05,2049.6,2054.2,2045.2,2052.4,1886.0,SPX500
2015-04-06,2052.4,2086.4,2049.4,2078.8,8162.0,SPX500
2015-04-07,2079.0,2089.2,2071.0,2074.2,8275.0,SPX500
2015-04-08,2074.0,2086.4,2072.0,2081.0,10701.0,SPX500
2015-04-09,2081.0,2093.0,2073.0,2089.8,9429.0,SPX500
2015-04-10,2090.0,2102.0,2089.6,2101.4,5645.0,SPX500
2015-04-12,2101.4,2103.6,2099.0,2099.0,352.0,SPX500
2015-04-13,2099.2,2107.0,2091.0,2095.2,6759.0,SPX500
2015-04-14,2095.4,2098.6,2081.6,2096.2,8841.0,SPX500
2015-04-15,2095.8,2111.0,2093.0,2107.8,8604.0,SPX500
2015-04-16,2107.6,2110.2,2094.8,2104.8,6791.0,SPX500
2015-04-17,2104.6,2105.4,2069.8,2081.0,12558.0,SPX500
2015-04-19,2086.0,2090.2,2084.2,2089.0,797.0,SPX500
2015-04-20,2089.0,2102.6,2086.6,2101.0,7741.0,SPX500
2015-04-21,2100.8,2110.4,2092.6,2097.8,8878.0,SPX500
2015-04-22,2098.0,2108.6,2085.2,2103.6,11338.0,SPX500
2015-04-23,2104.0,2119.4,2092.6,2112.6,10933.0,SPX500
2015-04-24,2112.8,2119.4,2108.0,2116.4,9297.0,SPX500
2015-04-26,2117.6,2117.8,2116.1,2117.0,504.0,SPX500
2015-04-27,2116.8,2124.4,2105.0,2107.2,9875.0,SPX500
2015-04-28,2107.4,2116.8,2092.6,2114.6,12284.0,SPX500
2015-04-29,2114.6,2117.0,2095.0,2103.4,18085.0,SPX500
2015-04-30,2103.0,2104.4,2074.6,2087.6,35335.0,SPX500
2015-05-01,2087.6,2106.6,2086.6,2105.4,8943.0,SPX500
2015-05-03,2106.4,2106.4,2103.2,2104.2,416.0,SPX500
2015-05-04,2104.4,2119.0,2102.2,2110.8,7185.0,SPX500
2015-05-05,2110.8,2115.6,2085.6,2095.6,13777.0,SPX500
2015-05-06,2095.6,2097.5,2065.2,2079.9,13966.0,SPX500
2015-05-07,2080.2,2091.6,2061.0,2090.6,13879.0,SPX500
2015-05-08,2090.8,2117.0,2089.0,2112.0,10581.0,SPX500
2015-05-10,2113.4,2114.0,2110.4,2111.0,696.0,SPX500
2015-05-11,2111.2,2117.0,2099.6,2100.0,12884.0,SPX500
2015-05-12,2100.2,2105.0,2082.8,2104.4,16609.0,SPX500
2015-05-13,2104.4,2109.8,2095.0,2098.4,10580.0,SPX500
2015-05-14,2098.2,2122.6,2095.2,2120.4,12584.0,SPX500
2015-05-15,2120.4,2125.8,2116.2,2121.6,12601.0,SPX500
2015-05-17,2122.6,2122.6,2118.6,2120.4,362.0,SPX500
2015-05-18,2120.4,2131.6,2115.2,2131.6,7490.0,SPX500
2015-05-19,2131.2,2136.4,2124.2,2126.4,6882.0,SPX500
2015-05-20,2126.0,2134.8,2117.8,2121.0,9214.0,SPX500
2015-05-21,2121.4,2134.4,2119.2,2132.2,5762.0,SPX500
2015-05-22,2132.4,2133.6,2125.5,2126.8,5218.0,SPX500
2015-05-24,2126.8,2129.2,2126.0,2127.7,241.0,SPX500
2015-05-25,2127.6,2128.0,2121.0,2123.6,1128.0,SPX500
2015-05-26,2123.4,2126.8,2098.6,2105.2,8307.0,SPX500
2015-05-27,2105.6,2126.4,2103.6,2121.8,6541.0,SPX500
2015-05-28,2121.8,2124.7,2112.5,2123.0,7734.0,SPX500
2015-05-29,2123.3,2123.8,2104.2,2108.5,8546.0,SPX500
2015-05-31,2108.4,2111.8,2107.2,2111.1,529.0,SPX500
2015-06-01,2111.5,2119.2,2102.0,2110.2,9825.0,SPX500
2015-06-02,2110.4,2117.4,2096.0,2108.8,14424.0,SPX500
2015-06-03,2109.0,2122.0,2108.6,2114.2,11448.0,SPX500
2015-06-04,2114.4,2115.0,2092.8,2099.0,15410.0,SPX500
2015-06-05,2099.2,2104.2,2085.2,2093.2,15531.0,SPX500
2015-06-07,2092.8,2094.2,2087.8,2091.8,502.0,SPX500
2015-06-08,2091.8,2094.4,2077.6,2081.0,16665.0,SPX500
2015-06-09,2081.4,2085.4,2069.8,2084.6,19279.0,SPX500
2015-06-10,2084.6,2108.4,2081.0,2104.6,17562.0,SPX500
2015-06-11,2104.4,2115.1,2104.2,2105.6,15847.0,SPX500
2015-06-12,2105.6,2109.6,2090.8,2094.0,12184.0,SPX500
2015-06-14,2084.2,2087.6,2080.8,2084.0,1047.0,SPX500
2015-06-15,2084.2,2090.2,2071.8,2081.4,12892.0,SPX500
2015-06-16,2081.6,2099.5,2070.7,2098.5,12123.0,SPX500
2015-06-17,2098.3,2107.4,2087.8,2093.6,16118.0,SPX500
2015-06-18,2093.4,2127.7,2091.0,2121.1,16310.0,SPX500
2015-06-19,2121.5,2126.4,2106.2,2106.7,8558.0,SPX500
2015-06-21,2112.4,2117.1,2112.1,2115.3,799.0,SPX500
2015-06-22,2115.6,2130.4,2114.5,2125.6,19578.0,SPX500
2015-06-23,2125.6,2128.6,2119.7,2124.5,12690.0,SPX500
2015-06-24,2124.5,2125.6,2107.0,2112.0,25945.0,SPX500
2015-06-25,2111.8,2120.8,2098.6,2101.1,20308.0,SPX500
2015-06-26,2101.5,2108.6,2094.2,2102.8,10672.0,SPX500
2015-06-28,2066.2,2078.5,2063.2,2073.0,2901.0,SPX500
2015-06-29,2073.1,2090.8,2055.0,2062.6,18984.0,SPX500
2015-06-30,2062.3,2076.2,2054.4,2068.8,20673.0,SPX500
2015-07-01,2069.0,2085.0,2067.0,2076.5,13443.0,SPX500
2015-07-02,2076.8,2086.3,2069.6,2076.6,8482.0,SPX500
2015-07-03,2076.6,2079.1,2070.6,2073.0,3585.0,SPX500
2015-07-05,2044.4,2052.8,2041.4,2051.8,1792.0,SPX500
2015-07-06,2052.2,2079.5,2047.2,2077.0,14323.0,SPX500
2015-07-07,2076.7,2084.8,2041.8,2065.1,20158.0,SPX500
2015-07-08,2065.2,2070.2,2043.1,2057.0,23037.0,SPX500
2015-07-09,2057.0,2074.5,2044.6,2071.3,16924.0,SPX500
2015-07-10,2071.3,2081.2,2065.2,2074.5,10118.0,SPX500
2015-07-12,2061.7,2075.6,2061.2,2072.4,845.0,SPX500
2015-07-13,2071.9,2100.7,2067.9,2099.9,8098.0,SPX500
2015-07-14,2099.8,2113.6,2097.0,2111.0,3952.0,SPX500
2015-07-15,2111.1,2118.4,2101.5,2116.1,5211.0,SPX500
2015-07-16,2116.2,2124.6,2115.6,2121.9,4353.0,SPX500
2015-07-17,2121.5,2126.0,2118.9,2124.9,3346.0,SPX500
2015-07-19,2123.8,2126.0,2123.8,2125.0,172.0,SPX500
2015-07-20,2125.3,2132.0,2122.4,2127.4,3180.0,SPX500
2015-07-21,2127.7,2130.7,2111.3,2112.3,3397.0,SPX500
2015-07-22,2112.0,2119.0,2108.2,2117.8,4696.0,SPX500
2015-07-23,2118.1,2119.3,2096.8,2103.5,4834.0,SPX500
2015-07-24,2103.2,2109.3,2075.4,2082.5,6282.0,SPX500
2015-07-26,2083.0,2085.8,2081.0,2082.8,650.0,SPX500
2015-07-27,2082.8,2085.5,2061.6,2076.1,8530.0,SPX500
2015-07-28,2076.6,2093.8,2066.9,2089.4,6721.0,SPX500
2015-07-29,2089.6,2109.0,2089.2,2102.7,7640.0,SPX500
2015-07-30,2103.0,2108.6,2092.5,2106.6,4396.0,SPX500
2015-07-31,2106.6,2113.8,2100.0,2104.3,6268.0,SPX500
2015-08-02,2103.6,2105.3,2100.0,2101.3,631.0,SPX500
2015-08-03,2101.0,2106.8,2084.4,2093.7,8587.0,SPX500
2015-08-04,2093.8,2100.2,2085.6,2090.6,8578.0,SPX500
2015-08-05,2090.6,2111.1,2089.6,2096.2,7203.0,SPX500
2015-08-06,2096.5,2103.1,2074.4,2086.1,6500.0,SPX500
2015-08-07,2086.1,2086.6,2066.0,2077.5,9379.0,SPX500
2015-08-09,2076.6,2083.1,2075.6,2082.1,582.0,SPX500
2015-08-10,2082.1,2105.3,2077.8,2094.3,5604.0,SPX500
2015-08-11,2094.0,2098.2,2068.9,2069.5,11138.0,SPX500
2015-08-12,2069.1,2092.1,2050.0,2091.3,16074.0,SPX500
2015-08-13,2091.0,2096.3,2076.7,2082.7,8347.0,SPX500
2015-08-14,2082.6,2092.0,2077.0,2092.0,11745.0,SPX500
2015-08-16,2092.8,2095.0,2088.4,2090.4,586.0,SPX500
2015-08-17,2090.8,2106.6,2077.7,2103.5,10418.0,SPX500
2015-08-18,2103.3,2103.6,2093.4,2094.3,12100.0,SPX500
2015-08-19,2094.3,2096.3,2069.5,2079.0,21776.0,SPX500
2015-08-20,2079.3,2080.5,2011.6,2020.1,31946.0,SPX500
2015-08-21,2019.8,2031.4,1970.6,1976.8,47320.0,SPX500
2015-08-23,1965.6,1965.8,1913.3,1919.3,25699.0,SPX500
2015-08-24,1919.0,1952.8,1833.0,1917.4,224971.0,SPX500
2015-08-25,1917.6,1950.6,1852.4,1883.2,196262.0,SPX500
2015-08-26,1883.0,1951.6,1877.6,1944.2,164861.0,SPX500
2015-08-27,1943.8,1994.6,1936.6,1981.3,85220.0,SPX500
2015-08-28,1981.3,1992.6,1969.2,1991.4,56253.0,SPX500
2015-08-30,1987.4,1988.0,1961.0,1966.0,10496.0,SPX500
2015-08-31,1965.8,1985.0,1932.6,1938.4,60101.0,SPX500
2015-09-01,1938.8,1944.6,1900.4,1938.0,107368.0,SPX500
2015-09-02,1938.2,1958.8,1917.8,1948.7,75078.0,SPX500
2015-09-03,1948.9,1974.7,1929.4,1934.4,65919.0,SPX500
2015-09-04,1934.4,1942.9,1909.0,1923.0,74686.0,SPX500
2015-09-06,1918.2,1945.2,1918.2,1941.6,12732.0,SPX500
2015-09-07,1941.8,1943.2,1929.4,1934.1,20762.0,SPX500
2015-09-08,1933.8,1981.5,1932.5,1980.2,26456.0,SPX500
2015-09-09,1980.1,1992.8,1933.8,1943.4,43955.0,SPX500
2015-09-10,1943.8,1968.0,1929.3,1957.2,65293.0,SPX500
2015-09-11,1957.1,1962.3,1938.0,1961.1,17400.0,SPX500
2015-09-13,1963.0,1974.5,1960.8,1964.7,4132.0,SPX500
2015-09-14,1964.3,1969.8,1947.1,1957.8,30774.0,SPX500
2015-09-15,1958.0,1983.3,1945.6,1974.8,23300.0,SPX500
2015-09-16,1974.9,1998.8,1974.6,1995.2,33688.0,SPX500
2015-09-17,1995.0,2022.0,1982.2,1991.4,75117.0,SPX500
2015-09-18,1991.4,1993.1,1951.3,1961.3,24885.0,SPX500
2015-09-20,1959.9,1961.9,1948.3,1950.6,4070.0,SPX500
2015-09-21,1950.7,1978.7,1950.6,1968.2,34235.0,SPX500
2015-09-22,1968.2,1972.6,1919.9,1923.7,25304.0,SPX500
2015-09-23,1924.1,1951.0,1921.9,1931.1,33358.0,SPX500
2015-09-24,1930.7,1945.6,1906.4,1930.5,50961.0,SPX500
2015-09-25,1930.6,1959.8,1919.6,1924.4,27872.0,SPX500
2015-09-27,1922.6,1925.2,1914.4,1924.8,2877.0,SPX500
2015-09-28,1925.0,1938.5,1874.1,1877.1,48522.0,SPX500
2015-09-29,1877.3,1898.2,1869.5,1895.6,59130.0,SPX500
2015-09-30,1895.4,1935.5,1894.4,1932.5,47007.0,SPX500
2015-10-01,1932.5,1938.0,1898.7,1925.5,50931.0,SPX500
2015-10-02,1925.2,1952.0,1891.3,1951.3,55198.0,SPX500
2015-10-04,1949.0,1955.4,1945.5,1953.0,3934.0,SPX500
2015-10-05,1952.9,1988.2,1946.2,1977.2,38104.0,SPX500
2015-10-06,1977.4,1990.4,1967.7,1973.9,35894.0,SPX500
2015-10-07,1974.0,1999.2,1973.7,1985.0,41056.0,SPX500
2015-10-08,1985.0,2016.8,1979.2,2016.4,40685.0,SPX500
2015-10-09,2016.4,2021.8,2006.8,2014.6,25770.0,SPX500
2015-10-11,2011.6,2014.0,2009.4,2012.0,1406.0,SPX500
2015-10-12,2012.2,2021.4,2009.8,2017.1,18592.0,SPX500
2015-10-13,2016.8,2022.0,1997.0,2001.3,22585.0,SPX500
2015-10-14,2001.3,2008.9,1989.8,2003.9,31269.0,SPX500
2015-10-15,2003.8,2030.1,1996.8,2024.5,29242.0,SPX500
2015-10-16,2024.6,2033.6,2019.6,2033.6,22032.0,SPX500
2015-10-18,2031.5,2032.5,2025.3,2026.8,1866.0,SPX500
2015-10-19,2026.7,2034.8,2021.2,2033.2,18055.0,SPX500
2015-10-20,2033.0,2038.2,2022.6,2031.6,20950.0,SPX500
2015-10-21,2031.4,2040.8,2014.1,2020.4,26028.0,SPX500
2015-10-22,2020.5,2068.1,2019.1,2063.7,28659.0,SPX500
2015-10-23,2063.8,2081.0,2060.0,2071.5,28127.0,SPX500
2015-10-25,2071.2,2072.3,2068.1,2068.3,1850.0,SPX500
2015-10-26,2068.6,2074.0,2063.6,2064.6,18865.0,SPX500
2015-10-27,2065.0,2071.2,2057.4,2068.6,20812.0,SPX500
2015-10-28,2068.8,2091.0,2061.4,2084.0,32933.0,SPX500
2015-10-29,2084.0,2097.4,2079.2,2096.2,22893.0,SPX500
2015-10-30,2096.2,2100.4,2075.6,2079.6,21202.0,SPX500
2015-11-01,2077.8,2078.4,2069.8,2070.6,2166.0,SPX500
2015-11-02,2070.4,2105.3,2069.8,2100.5,14577.0,SPX500
2015-11-03,2100.5,2115.2,2094.4,2110.1,13728.0,SPX500
2015-11-04,2109.9,2114.8,2095.9,2101.2,14142.0,SPX500
2015-11-05,2101.4,2109.4,2089.2,2097.6,10442.0,SPX500
2015-11-06,2097.8,2103.4,2082.6,2098.2,14900.0,SPX500
2015-11-08,2096.8,2102.2,2095.6,2099.8,2042.0,SPX500
2015-11-09,2100.2,2101.0,2066.8,2081.6,10388.0,SPX500
2015-11-10,2081.8,2085.2,2069.0,2084.6,11073.0,SPX500
2015-11-11,2084.6,2091.4,2072.2,2077.8,9263.0,SPX500
2015-11-12,2077.6,2081.6,2042.4,2045.6,17279.0,SPX500
2015-11-13,2046.0,2050.0,2015.5,2016.3,17879.0,SPX500
2015-11-15,2010.2,2016.1,2002.4,2014.0,2180.0,SPX500
2015-11-16,2013.9,2057.0,2011.8,2055.0,17134.0,SPX500
2015-11-17,2055.1,2066.8,2045.2,2051.2,15249.0,SPX500
2015-11-18,2051.4,2088.4,2046.6,2085.8,14768.0,SPX500
2015-11-19,2085.8,2092.6,2078.6,2081.4,10587.0,SPX500
2015-11-20,2081.2,2097.8,2081.2,2092.2,8824.0,SPX500
2015-11-22,2092.4,2095.4,2090.4,2093.2,671.0,SPX500
2015-11-23,2093.0,2096.0,2081.2,2087.0,9824.0,SPX500
2015-11-24,2086.6,2094.0,2068.4,2088.4,12767.0,SPX500
2015-11-25,2088.6,2095.4,2085.4,2093.2,6462.0,SPX500
2015-11-26,2093.6,2100.8,2091.0,2095.0,3282.0,SPX500
2015-11-27,2094.8,2095.2,2084.2,2092.5,7140.0,SPX500
2015-11-29,2091.8,2091.8,2087.3,2088.8,789.0,SPX500
2015-11-30,2088.5,2097.0,2080.6,2093.8,7786.0,SPX500
2015-12-01,2093.4,2103.2,2085.8,2102.6,8614.0,SPX500
2015-12-02,2102.4,2106.6,2077.0,2087.0,11985.0,SPX500
2015-12-03,2086.8,2097.0,2041.8,2057.6,27729.0,SPX500
2015-12-04,2058.0,2094.5,2048.6,2090.0,17681.0,SPX500
2015-12-06,2092.9,2093.7,2086.5,2088.5,1148.0,SPX500
2015-12-07,2088.8,2096.6,2065.8,2073.6,15062.0,SPX500
2015-12-08,2073.4,2078.6,2051.4,2064.9,16299.0,SPX500
2015-12-09,2064.7,2080.6,2035.4,2050.8,17156.0,SPX500
2015-12-10,2051.0,2068.0,2044.8,2052.8,19089.0,SPX500
2015-12-11,2053.2,2056.0,2005.8,2008.0,21463.0,SPX500
2015-12-13,2011.8,2018.5,2008.5,2017.3,1886.0,SPX500
2015-12-14,2017.4,2028.6,1992.3,2022.6,46693.0,SPX500
2015-12-15,2022.9,2054.8,2019.1,2052.6,25436.0,SPX500
2015-12-16,2052.4,2078.0,2041.2,2066.4,39501.0,SPX500
2015-12-17,2066.4,2082.2,2023.4,2027.4,23074.0,SPX500
2015-12-18,2027.6,2038.4,1999.8,2003.8,26642.0,SPX500
2015-12-20,2005.6,2009.2,2003.8,2008.2,1810.0,SPX500
2015-12-21,2008.0,2029.6,2004.2,2025.8,18026.0,SPX500
2015-12-22,2026.0,2044.8,2015.8,2041.6,17485.0,SPX500
2015-12-23,2041.6,2066.0,2041.2,2060.0,13465.0,SPX500
2015-12-24,2059.8,2068.2,2057.6,2059.8,4489.0,SPX500
2015-12-27,2060.2,2062.6,2058.2,2059.8,775.0,SPX500
2015-12-28,2060.2,2060.2,2043.2,2059.6,9273.0,SPX500
