intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_1f661ecbe42e,mnq_atr_sizing_weekly_3init_1add_6max_intv2,mnq_atr_sizing_weekly_3init_1add_6max_intv2_20191129_001,MNQ,paper,buy,market,3,,,primary_bull_flip,submitted,true,verify_92098c8a1583,,false,entry,,,,GTC,2019-11-29,,2026-05-21T19:54:39Z,2026-05-21T19:54:39Z
intent_fc3e4030563a,mnq_atr_sizing_weekly_3init_1add_6max_intv2,mnq_atr_sizing_weekly_3init_1add_6max_intv2_20191129_001,MNQ,paper,sell,market,3,,,initial_entry_guard,submitted,false,,,true,close,,,,GTC,2019-12-02,,2026-05-21T19:54:39Z,2026-05-21T19:54:39Z
intent_31677b716571,mnq_atr_sizing_weekly_3init_1add_6max_intv2,mnq_atr_sizing_weekly_3init_1add_6max_intv2_20191212_002,MNQ,paper,buy,market,3,,,entry_guard_reclaim,submitted,true,verify_d0e854493556,,false,entry,,,,GTC,2019-12-12,,2026-05-21T19:54:39Z,2026-05-21T19:54:39Z
intent_dbf15ae0f9d9,mnq_atr_sizing_weekly_3init_1add_6max_intv2,mnq_atr_sizing_weekly_3init_1add_6max_intv2_20191212_002,MNQ,paper,buy,market,1,,,friday_add,submitted,true,verify_5795b63a84ab,,false,entry,,,,GTC,2019-12-20,,2026-05-21T19:54:39Z,2026-05-21T19:54:39Z
intent_932f1d99ce12,mnq_atr_sizing_weekly_3init_1add_6max_intv2,mnq_atr_sizing_weekly_3init_1add_6max_intv2_20191212_002,MNQ,paper,buy,market,1,,,friday_add,submitted,true,verify_88140e679adc,,false,entry,,,,GTC,2020-01-03,,2026-05-21T19:54:39Z,2026-05-21T19:54:39Z
intent_881f837d13ee,mnq_atr_sizing_weekly_3init_1add_6max_intv2,mnq_atr_sizing_weekly_3init_1add_6max_intv2_20191212_002,MNQ,paper,buy,market,1,,,friday_add,submitted,true,verify_31f1ee33eee6,,false,entry,,,,GTC,2020-01-17,,2026-05-21T19:54:39Z,2026-05-21T19:54:39Z
intent_1ab3f718c001,mnq_atr_sizing_weekly_3init_1add_6max_intv2,mnq_atr_sizing_weekly_3init_1add_6max_intv2_20191212_002,MNQ,paper,sell,market,6,,,initial_entry_guard,submitted,false,,,true,close,,,,GTC,2020-02-27,,2026-05-21T19:54:39Z,2026-05-21T19:54:39Z
intent_560302b104a4,mnq_atr_sizing_weekly_3init_1add_6max_intv2,mnq_atr_sizing_weekly_3init_1add_6max_intv2_20200417_003,MNQ,paper,buy,market,3,,,primary_bull_flip,submitted,true,verify_b602ba521c4f,,false,entry,,,,GTC,2020-04-17,,2026-05-21T19:54:39Z,2026-05-21T19:54:39Z
intent_39ee32e3a115,mnq_atr_sizing_weekly_3init_1add_6max_intv2,mnq_atr_sizing_weekly_3init_1add_6max_intv2_20200417_003,MNQ,paper,sell,market,3,,,initial_entry_guard,submitted,false,,,true,close,,,,GTC,2020-04-20,,2026-05-21T19:54:39Z,2026-05-21T19:54:39Z
intent_b011572f0675,mnq_atr_sizing_weekly_3init_1add_6max_intv2,mnq_atr_sizing_weekly_3init_1add_6max_intv2_20200427_004,MNQ,paper,buy,market,3,,,entry_guard_reclaim,submitted,true,verify_59d7efb45f96,,false,entry,,,,GTC,2020-04-27,,2026-05-21T19:54:39Z,2026-05-21T19:54:39Z
intent_f05b1271c98d,mnq_atr_sizing_weekly_3init_1add_6max_intv2,mnq_atr_sizing_weekly_3init_1add_6max_intv2_20200427_004,MNQ,paper,sell,market,3,,,initial_entry_guard,submitted,false,,,true,close,,,,GTC,2020-04-28,,2026-05-21T19:54:39Z,2026-05-21T19:54:39Z
intent_22031743c4cf,mnq_atr_sizing_weekly_3init_1add_6max_intv2,mnq_atr_sizing_weekly_3init_1add_6max_intv2_20200429_005,MNQ,paper,buy,market,3,,,entry_guard_reclaim,submitted,true,verify_add0f809aa30,,false,entry,,,,GTC,2020-04-29,,2026-05-21T19:54:39Z,2026-05-21T19:54:39Z
intent_edd8257de4c9,mnq_atr_sizing_weekly_3init_1add_6max_intv2,mnq_atr_sizing_weekly_3init_1add_6max_intv2_20200429_005,MNQ,paper,sell,market,3,,,initial_entry_guard,submitted,false,,,true,close,,,,GTC,2020-05-01,,2026-05-21T19:54:39Z,2026-05-21T19:54:39Z
intent_3973af9c3ff5,mnq_atr_sizing_weekly_3init_1add_6max_intv2,mnq_atr_sizing_weekly_3init_1add_6max_intv2_20200504_006,MNQ,paper,buy,market,3,,,entry_guard_reclaim,submitted,true,verify_917208f0bf1f,,false,entry,,,,GTC,2020-05-04,,2026-05-21T19:54:39Z,2026-05-21T19:54:39Z
intent_3d09141b5d5b,mnq_atr_sizing_weekly_3init_1add_6max_intv2,mnq_atr_sizing_weekly_3init_1add_6max_intv2_20200504_006,MNQ,paper,buy,market,1,,,friday_add,submitted,true,verify_d74deb8e2bb3,,false,entry,,,,GTC,2020-05-15,,2026-05-21T19:54:40Z,2026-05-21T19:54:40Z
intent_6a7a81b26e63,mnq_atr_sizing_weekly_3init_1add_6max_intv2,mnq_atr_sizing_weekly_3init_1add_6max_intv2_20200504_006,MNQ,paper,buy,market,1,,,friday_add,submitted,true,verify_ead71089961e,,false,entry,,,,GTC,2020-05-29,,2026-05-21T19:54:40Z,2026-05-21T19:54:40Z
intent_4cda363f9ca8,mnq_atr_sizing_weekly_3init_1add_6max_intv2,mnq_atr_sizing_weekly_3init_1add_6max_intv2_20200504_006,MNQ,paper,buy,market,1,,,friday_add,submitted,true,verify_d4bb6c1e315f,,false,entry,,,,GTC,2020-06-12,,2026-05-21T19:54:40Z,2026-05-21T19:54:40Z
intent_de633498ad44,mnq_atr_sizing_weekly_3init_1add_6max_intv2,mnq_atr_sizing_weekly_3init_1add_6max_intv2_20200504_006,MNQ,paper,sell,market,6,,,primary_bearish,submitted,false,,,true,close,,,,GTC,2022-01-21,,2026-05-21T19:54:42Z,2026-05-21T19:54:42Z
intent_42a9d44d4a88,mnq_atr_sizing_weekly_3init_1add_6max_intv2,mnq_atr_sizing_weekly_3init_1add_6max_intv2_20230331_007,MNQ,paper,buy,market,3,,,primary_bull_flip,submitted,true,verify_5c18ac3dd5e2,,false,entry,,,,GTC,2023-03-31,,2026-05-21T19:54:44Z,2026-05-21T19:54:44Z
intent_ff255cca4852,mnq_atr_sizing_weekly_3init_1add_6max_intv2,mnq_atr_sizing_weekly_3init_1add_6max_intv2_20230331_007,MNQ,paper,sell,market,3,,,initial_entry_guard,submitted,false,,,true,close,,,,GTC,2023-04-03,,2026-05-21T19:54:44Z,2026-05-21T19:54:44Z
intent_919f0d3c1435,mnq_atr_sizing_weekly_3init_1add_6max_intv2,mnq_atr_sizing_weekly_3init_1add_6max_intv2_20230428_008,MNQ,paper,buy,market,3,,,entry_guard_reclaim,submitted,true,verify_92ef13261bb3,,false,entry,,,,GTC,2023-04-28,,2026-05-21T19:54:44Z,2026-05-21T19:54:44Z
intent_fd55e221fe2e,mnq_atr_sizing_weekly_3init_1add_6max_intv2,mnq_atr_sizing_weekly_3init_1add_6max_intv2_20230428_008,MNQ,paper,sell,market,3,,,initial_entry_guard,submitted,false,,,true,close,,,,GTC,2023-05-02,,2026-05-21T19:54:44Z,2026-05-21T19:54:44Z
intent_51f4db214cbd,mnq_atr_sizing_weekly_3init_1add_6max_intv2,mnq_atr_sizing_weekly_3init_1add_6max_intv2_20230505_009,MNQ,paper,buy,market,3,,,entry_guard_reclaim,submitted,true,verify_fd92a76f2551,,false,entry,,,,GTC,2023-05-05,,2026-05-21T19:54:44Z,2026-05-21T19:54:44Z
intent_390e8cd155e1,mnq_atr_sizing_weekly_3init_1add_6max_intv2,mnq_atr_sizing_weekly_3init_1add_6max_intv2_20230505_009,MNQ,paper,buy,market,1,,,friday_add,submitted,true,verify_761586a7aa15,,false,entry,,,,GTC,2023-05-19,,2026-05-21T19:54:44Z,2026-05-21T19:54:44Z
