fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_f311cbf7c1bf,ord_f3c12c6664d8,intent_ebeab6131f4e,nq_atr_sizing_daily_2init_2add_6max_intv2,nq_atr_sizing_daily_2init_2add_6max_intv2_20100713_001,NQ,paper,buy,2,1863.75,2010-07-14,entry
fill_8d099d5b444a,ord_45af65cf4e15,intent_b471cd52d250,nq_atr_sizing_daily_2init_2add_6max_intv2,nq_atr_sizing_daily_2init_2add_6max_intv2_20100713_001,NQ,paper,sell,2,1854.25,2010-07-16,close
fill_bd4b3996e3fd,ord_df2448dca9e0,intent_39c1be883ba7,nq_atr_sizing_daily_2init_2add_6max_intv2,nq_atr_sizing_daily_2init_2add_6max_intv2_20100723_002,NQ,paper,buy,2,1874.5,2010-07-25,entry
fill_480bf3e31a00,ord_4689d0ca96ca,intent_1f58b903d18e,nq_atr_sizing_daily_2init_2add_6max_intv2,nq_atr_sizing_daily_2init_2add_6max_intv2_20100723_002,NQ,paper,sell,2,1855.0,2010-07-30,close
fill_345b3b798104,ord_80faa087540a,intent_3dae88a45ad6,nq_atr_sizing_daily_2init_2add_6max_intv2,nq_atr_sizing_daily_2init_2add_6max_intv2_20100801_003,NQ,paper,buy,2,1869.75,2010-08-02,entry
fill_a1771a1eb998,ord_544b3ebd8d10,intent_09df3303dd3a,nq_atr_sizing_daily_2init_2add_6max_intv2,nq_atr_sizing_daily_2init_2add_6max_intv2_20100801_003,NQ,paper,sell,2,1823.0,2010-08-12,close
fill_157b85e722b4,ord_a717c5f1cd78,intent_d9708f043b86,nq_atr_sizing_daily_2init_2add_6max_intv2,nq_atr_sizing_daily_2init_2add_6max_intv2_20100903_004,NQ,paper,buy,2,1867.75,2010-09-05,entry
fill_05d341b4ec62,ord_9da1a5a159f2,intent_5ad18f983c5b,nq_atr_sizing_daily_2init_2add_6max_intv2,nq_atr_sizing_daily_2init_2add_6max_intv2_20100903_004,NQ,paper,sell,2,1866.75,2010-09-07,close
fill_94434d5bd6cc,ord_929ecc7fd3e3,intent_9fc3c9996217,nq_atr_sizing_daily_2init_2add_6max_intv2,nq_atr_sizing_daily_2init_2add_6max_intv2_20100908_005,NQ,paper,buy,2,1882.25,2010-09-09,entry
fill_6c9583075ba3,ord_f84d25586b0c,intent_86590b1f7999,nq_atr_sizing_daily_2init_2add_6max_intv2,nq_atr_sizing_daily_2init_2add_6max_intv2_20100908_005,NQ,paper,buy,2,1950.75,2010-09-19,entry
