fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_97b6f4d12d3b,ord_0c7a55212ada,intent_016f37d4b815,nq_atr_sizing_weekly_2init_2add_5max_intv2,nq_atr_sizing_weekly_2init_2add_5max_intv2_20111028_001,NQ,paper,buy,2,2398.0,2011-10-30,entry
fill_3c0eb61e6df4,ord_ff034c3e2143,intent_52db469cdb4a,nq_atr_sizing_weekly_2init_2add_5max_intv2,nq_atr_sizing_weekly_2init_2add_5max_intv2_20111028_001,NQ,paper,buy,2,2460.25,2012-01-29,entry
fill_365a1d7d0e69,ord_286ad73f6d75,intent_b0ee1f0962b1,nq_atr_sizing_weekly_2init_2add_5max_intv2,nq_atr_sizing_weekly_2init_2add_5max_intv2_20111028_001,NQ,paper,buy,1,2557.0,2012-02-12,entry
fill_aa3abbe60c0f,ord_98e23c601e5d,intent_fe693bf8fe70,nq_atr_sizing_weekly_2init_2add_5max_intv2,nq_atr_sizing_weekly_2init_2add_5max_intv2_20111028_001,NQ,paper,sell,5,2472.25,2012-05-20,close
fill_3be264b90391,ord_0fb266bc808d,intent_fa1a37614737,nq_atr_sizing_weekly_2init_2add_5max_intv2,nq_atr_sizing_weekly_2init_2add_5max_intv2_20120817_002,NQ,paper,buy,2,2775.0,2012-08-19,entry
fill_2e2b63073e5e,ord_28fa6143c2b3,intent_2922c2032ffe,nq_atr_sizing_weekly_2init_2add_5max_intv2,nq_atr_sizing_weekly_2init_2add_5max_intv2_20120817_002,NQ,paper,sell,2,2770.75,2012-08-22,close
fill_84a64468c52d,ord_554e9c6c1702,intent_5e57de08a209,nq_atr_sizing_weekly_2init_2add_5max_intv2,nq_atr_sizing_weekly_2init_2add_5max_intv2_20120822_003,NQ,paper,buy,2,2784.0,2012-08-23,entry
fill_4cfbde73c3fd,ord_23a468aa3d8a,intent_47f4d6e37a3d,nq_atr_sizing_weekly_2init_2add_5max_intv2,nq_atr_sizing_weekly_2init_2add_5max_intv2_20120822_003,NQ,paper,sell,2,2762.0,2012-08-24,close
fill_d787d0aa04bf,ord_512c9e9a667f,intent_c2de541fa796,nq_atr_sizing_weekly_2init_2add_5max_intv2,nq_atr_sizing_weekly_2init_2add_5max_intv2_20120824_004,NQ,paper,buy,2,2784.25,2012-08-26,entry
fill_af19d77f35c7,ord_db4d74588393,intent_362ab071fa24,nq_atr_sizing_weekly_2init_2add_5max_intv2,nq_atr_sizing_weekly_2init_2add_5max_intv2_20120824_004,NQ,paper,sell,2,2753.0,2012-08-31,close
fill_e8ff1b18f195,ord_fb692ea08be6,intent_9e09649f4d64,nq_atr_sizing_weekly_2init_2add_5max_intv2,nq_atr_sizing_weekly_2init_2add_5max_intv2_20120903_005,NQ,paper,buy,2,2777.25,2012-09-04,entry
fill_daade7392795,ord_511ccd4b219c,intent_ab6372fcc2a2,nq_atr_sizing_weekly_2init_2add_5max_intv2,nq_atr_sizing_weekly_2init_2add_5max_intv2_20120903_005,NQ,paper,sell,2,2770.0,2012-09-05,close
fill_9780cd9bdb10,ord_dad53caf2116,intent_445a8211e241,nq_atr_sizing_weekly_2init_2add_5max_intv2,nq_atr_sizing_weekly_2init_2add_5max_intv2_20120906_006,NQ,paper,buy,2,2826.5,2012-09-07,entry
fill_6436a41827c1,ord_7248f9b489b9,intent_6d7b0f823b4f,nq_atr_sizing_weekly_2init_2add_5max_intv2,nq_atr_sizing_weekly_2init_2add_5max_intv2_20120906_006,NQ,paper,buy,2,2852.5,2012-09-16,entry
fill_d11c1310b0ec,ord_1a54ed293707,intent_21c2add76d5c,nq_atr_sizing_weekly_2init_2add_5max_intv2,nq_atr_sizing_weekly_2init_2add_5max_intv2_20120906_006,NQ,paper,buy,1,2789.25,2012-09-30,entry
fill_5e6972813828,ord_4f299eecedd5,intent_ec9e13cc132b,nq_atr_sizing_weekly_2init_2add_5max_intv2,nq_atr_sizing_weekly_2init_2add_5max_intv2_20120906_006,NQ,paper,sell,5,2728.5,2012-10-10,close
