verification_id,intent_id,strategy_id,account_mode,status,challenge,created_at,approved_at
verify_507cf7982775,intent_4a36f7c420ac,nq_atr_sizing_weekly_2init_2add_6max_intv4,paper,approved,SPOOF-c420ac,2026-05-21T20:09:03Z,2026-05-21T20:09:03Z
verify_7937831d222a,intent_39d9b24083d9,nq_atr_sizing_weekly_2init_2add_6max_intv4,paper,approved,SPOOF-4083d9,2026-05-21T20:09:03Z,2026-05-21T20:09:03Z
verify_adf80efd7f67,intent_36e12234f3ed,nq_atr_sizing_weekly_2init_2add_6max_intv4,paper,approved,SPOOF-34f3ed,2026-05-21T20:09:03Z,2026-05-21T20:09:03Z
verify_29a84d70b963,intent_66a736e32769,nq_atr_sizing_weekly_2init_2add_6max_intv4,paper,approved,SPOOF-e32769,2026-05-21T20:09:03Z,2026-05-21T20:09:03Z
verify_4a282cccb6bb,intent_14a6316b5b97,nq_atr_sizing_weekly_2init_2add_6max_intv4,paper,approved,SPOOF-6b5b97,2026-05-21T20:09:04Z,2026-05-21T20:09:04Z
verify_9d914352974d,intent_063ad1880524,nq_atr_sizing_weekly_2init_2add_6max_intv4,paper,approved,SPOOF-880524,2026-05-21T20:09:04Z,2026-05-21T20:09:04Z
verify_3df6a25b1674,intent_d3840ef69aab,nq_atr_sizing_weekly_2init_2add_6max_intv4,paper,approved,SPOOF-f69aab,2026-05-21T20:09:04Z,2026-05-21T20:09:04Z
verify_1f3764ebb31c,intent_2cbadd2043be,nq_atr_sizing_weekly_2init_2add_6max_intv4,paper,approved,SPOOF-2043be,2026-05-21T20:09:04Z,2026-05-21T20:09:04Z
verify_8b5074878b62,intent_bc739dd243b9,nq_atr_sizing_weekly_2init_2add_6max_intv4,paper,approved,SPOOF-d243b9,2026-05-21T20:09:04Z,2026-05-21T20:09:04Z
verify_1e373f6b7b76,intent_dd2e4fb3ad47,nq_atr_sizing_weekly_2init_2add_6max_intv4,paper,approved,SPOOF-b3ad47,2026-05-21T20:09:05Z,2026-05-21T20:09:05Z
verify_c8446eab0d02,intent_15ced5ce834d,nq_atr_sizing_weekly_2init_2add_6max_intv4,paper,approved,SPOOF-ce834d,2026-05-21T20:09:05Z,2026-05-21T20:09:05Z
verify_88dfcae7bd36,intent_96665baf2927,nq_atr_sizing_weekly_2init_2add_6max_intv4,paper,approved,SPOOF-af2927,2026-05-21T20:09:05Z,2026-05-21T20:09:05Z
verify_27763d0c733b,intent_25a339b13769,nq_atr_sizing_weekly_2init_2add_6max_intv4,paper,approved,SPOOF-b13769,2026-05-21T20:09:05Z,2026-05-21T20:09:05Z
verify_5d6de8a22dc6,intent_4a1b10a2db30,nq_atr_sizing_weekly_2init_2add_6max_intv4,paper,approved,SPOOF-a2db30,2026-05-21T20:09:10Z,2026-05-21T20:09:10Z
