intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_fc6c1b91f782,nq_atr_sizing_weekly_2init_3add_6max_intv2_no_guard,nq_atr_sizing_weekly_2init_3add_6max_intv2_no_guard_20111028_001,NQ,paper,buy,market,2,,,primary_bull_flip,submitted,true,verify_bf29b6a1c8f2,,false,entry,,,,GTC,2011-10-28,,2026-05-21T20:13:05Z,2026-05-21T20:13:05Z
intent_20f025e18606,nq_atr_sizing_weekly_2init_3add_6max_intv2_no_guard,nq_atr_sizing_weekly_2init_3add_6max_intv2_no_guard_20111028_001,NQ,paper,buy,market,3,,,friday_add,submitted,true,verify_5528a322be75,,false,entry,,,,GTC,2012-01-27,,2026-05-21T20:13:05Z,2026-05-21T20:13:05Z
intent_f72cf67b9775,nq_atr_sizing_weekly_2init_3add_6max_intv2_no_guard,nq_atr_sizing_weekly_2init_3add_6max_intv2_no_guard_20111028_001,NQ,paper,buy,market,1,,,friday_add,submitted,true,verify_62f465284bca,,false,entry,,,,GTC,2012-02-10,,2026-05-21T20:13:05Z,2026-05-21T20:13:05Z
intent_1acce7df80b9,nq_atr_sizing_weekly_2init_3add_6max_intv2_no_guard,nq_atr_sizing_weekly_2init_3add_6max_intv2_no_guard_20111028_001,NQ,paper,sell,market,6,,,primary_bearish,submitted,false,,,true,close,,,,GTC,2012-05-18,,2026-05-21T20:13:05Z,2026-05-21T20:13:05Z
intent_5bc0cd9ca959,nq_atr_sizing_weekly_2init_3add_6max_intv2_no_guard,nq_atr_sizing_weekly_2init_3add_6max_intv2_no_guard_20120817_002,NQ,paper,buy,market,2,,,primary_bull_flip,submitted,true,verify_bc102ee1a7ef,,false,entry,,,,GTC,2012-08-17,,2026-05-21T20:13:06Z,2026-05-21T20:13:06Z
intent_fad72416cbfc,nq_atr_sizing_weekly_2init_3add_6max_intv2_no_guard,nq_atr_sizing_weekly_2init_3add_6max_intv2_no_guard_20120817_002,NQ,paper,buy,market,3,,,friday_add,submitted,true,verify_eda720d2b256,,false,entry,,,,GTC,2012-08-31,,2026-05-21T20:13:06Z,2026-05-21T20:13:06Z
intent_2faf9ff8ef07,nq_atr_sizing_weekly_2init_3add_6max_intv2_no_guard,nq_atr_sizing_weekly_2init_3add_6max_intv2_no_guard_20120817_002,NQ,paper,buy,market,1,,,friday_add,submitted,true,verify_0ecbc5d759d1,,false,entry,,,,GTC,2012-09-14,,2026-05-21T20:13:06Z,2026-05-21T20:13:06Z
intent_3fc90ad948e0,nq_atr_sizing_weekly_2init_3add_6max_intv2_no_guard,nq_atr_sizing_weekly_2init_3add_6max_intv2_no_guard_20120817_002,NQ,paper,sell,market,6,,,primary_bearish,submitted,false,,,true,close,,,,GTC,2012-11-09,,2026-05-21T20:13:06Z,2026-05-21T20:13:06Z
intent_ed1677dc306c,nq_atr_sizing_weekly_2init_3add_6max_intv2_no_guard,nq_atr_sizing_weekly_2init_3add_6max_intv2_no_guard_20130412_003,NQ,paper,buy,market,2,,,primary_bull_flip,submitted,true,verify_38e8f84cfac5,,false,entry,,,,GTC,2013-04-12,,2026-05-21T20:13:07Z,2026-05-21T20:13:07Z
intent_53f14ac76281,nq_atr_sizing_weekly_2init_3add_6max_intv2_no_guard,nq_atr_sizing_weekly_2init_3add_6max_intv2_no_guard_20130412_003,NQ,paper,buy,market,3,,,friday_add,submitted,true,verify_ef55971b710d,,false,entry,,,,GTC,2013-04-26,,2026-05-21T20:13:07Z,2026-05-21T20:13:07Z
