fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_2f6fa9195f89,ord_895eef2eaf2b,intent_55273eec20f0,audjpy_yearly_orb_scaleout3,audjpy_yearly_orb_scaleout3_2004_01,AUDJPY,paper,sell,1,77.926,2004-05-18,entry
fill_7f5deee2c723,ord_b89032063dca,intent_9c40fd650a6e,audjpy_yearly_orb_scaleout3,audjpy_yearly_orb_scaleout3_2004_01,AUDJPY,paper,sell,1,77.926,2004-05-18,runner_entry
fill_4fd7605b8a0a,ord_cff2019e3d3f,intent_1f5d55b3af96,audjpy_yearly_orb_scaleout3,audjpy_yearly_orb_scaleout3_2004_01,AUDJPY,paper,sell,1,77.926,2004-05-18,entry
fill_3101357d4a99,ord_f38fa1beca11,intent_dbf1741df311,audjpy_yearly_orb_scaleout3,audjpy_yearly_orb_scaleout3_2004_01,AUDJPY,paper,buy,3,77.771,2004-05-18,close
fill_085f1ec5d98c,ord_037112bf0f04,intent_78d604c794ac,audjpy_yearly_orb_scaleout3,audjpy_yearly_orb_scaleout3_2004_02,AUDJPY,paper,sell,1,77.926,2004-07-06,entry
fill_ae58069cc62d,ord_2c26979784b0,intent_13ea15ffd974,audjpy_yearly_orb_scaleout3,audjpy_yearly_orb_scaleout3_2004_02,AUDJPY,paper,sell,1,77.926,2004-07-06,entry
fill_a62bafed42db,ord_5e0ed1b0bbf6,intent_3d2f45424524,audjpy_yearly_orb_scaleout3,audjpy_yearly_orb_scaleout3_2004_02,AUDJPY,paper,sell,1,77.926,2004-07-06,runner_entry
fill_1189ed32dda8,ord_d16b436adbe7,intent_043dd8adc76c,audjpy_yearly_orb_scaleout3,audjpy_yearly_orb_scaleout3_2004_02,AUDJPY,paper,buy,3,77.80900000000001,2004-07-06,close
fill_122abec9440d,ord_187bcc583271,intent_724d16dbd515,audjpy_yearly_orb_scaleout3,audjpy_yearly_orb_scaleout3_2004_03,AUDJPY,paper,sell,1,77.926,2004-07-26,runner_entry
fill_e52209520db5,ord_2ee0414a3bf7,intent_8f5959129a8c,audjpy_yearly_orb_scaleout3,audjpy_yearly_orb_scaleout3_2004_03,AUDJPY,paper,sell,1,77.926,2004-07-26,entry
fill_43ffbbed8f9c,ord_9c1b6de8e4fc,intent_50395e5f0d52,audjpy_yearly_orb_scaleout3,audjpy_yearly_orb_scaleout3_2004_03,AUDJPY,paper,sell,1,77.926,2004-07-26,entry
fill_5ebde7d6d615,ord_cff3399565a2,intent_4b2aa2a62c87,audjpy_yearly_orb_scaleout3,audjpy_yearly_orb_scaleout3_2004_03,AUDJPY,paper,buy,3,77.79400000000001,2004-07-26,close
fill_2d1310e53c5b,ord_3602cbc63660,intent_1d16c2731448,audjpy_yearly_orb_scaleout3,audjpy_yearly_orb_scaleout3_2004_04,AUDJPY,paper,sell,1,77.926,2004-07-28,runner_entry
fill_31a247c7ddc2,ord_39974e671ec4,intent_6d04f642d9e0,audjpy_yearly_orb_scaleout3,audjpy_yearly_orb_scaleout3_2004_04,AUDJPY,paper,sell,1,77.926,2004-07-28,entry
fill_cac5a7cbcc1c,ord_8b2497c00616,intent_26be8d247d80,audjpy_yearly_orb_scaleout3,audjpy_yearly_orb_scaleout3_2004_04,AUDJPY,paper,sell,1,77.926,2004-07-28,entry
fill_4f67b91ee9ec,ord_034c4247c61b,intent_f9d7e4a5efa0,audjpy_yearly_orb_scaleout3,audjpy_yearly_orb_scaleout3_2004_04,AUDJPY,paper,buy,3,77.699,2004-07-28,close
fill_fe0860885ad1,ord_4ff146c12207,intent_1cc8d1adc8e4,audjpy_yearly_orb_scaleout3,audjpy_yearly_orb_scaleout3_2004_05,AUDJPY,paper,sell,1,77.926,2004-08-03,entry
fill_65502cc3b9b4,ord_be9bb2d286ea,intent_f80e7426283f,audjpy_yearly_orb_scaleout3,audjpy_yearly_orb_scaleout3_2004_05,AUDJPY,paper,sell,1,77.926,2004-08-03,runner_entry
fill_f51e8bb88044,ord_e3939b558864,intent_b46b0a067abf,audjpy_yearly_orb_scaleout3,audjpy_yearly_orb_scaleout3_2004_05,AUDJPY,paper,sell,1,77.926,2004-08-03,entry
fill_e9b790028013,ord_f968c3047e23,intent_85351cbaef53,audjpy_yearly_orb_scaleout3,audjpy_yearly_orb_scaleout3_2004_05,AUDJPY,paper,buy,3,77.75800000000001,2004-08-03,close
