ts,realized_points,open_units,close_equity_points,intrabar_stress_points,peak_close_points,close_dd_usd,intrabar_dd_usd
2010-06-06,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-07,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-08,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-09,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-10,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-11,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-13,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-14,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-15,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-16,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-17,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-18,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-20,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-21,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-22,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-23,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-24,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-25,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-27,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-28,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-29,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-30,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-07-01,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-07-02,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-07-04,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-07-05,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-07-06,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-07-07,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-07-08,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-07-09,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-07-11,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-07-12,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-07-13,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-07-14,0.000000,1,-12.250000,-25.750000,0.000000,-245.00,-515.00
2010-07-15,0.000000,1,-9.500000,-35.250000,0.000000,-190.00,-705.00
2010-07-16,0.000000,1,-61.750000,-63.750000,0.000000,-1235.00,-1275.00
2010-07-18,-9.575000,0,-9.575000,-9.575000,0.000000,-191.50,-191.50
2010-07-19,-9.575000,0,-9.575000,-9.575000,0.000000,-191.50,-191.50
2010-07-20,-9.575000,0,-9.575000,-9.575000,0.000000,-191.50,-191.50
2010-07-21,-9.575000,0,-9.575000,-9.575000,0.000000,-191.50,-191.50
2010-07-22,-9.575000,0,-9.575000,-9.575000,0.000000,-191.50,-191.50
2010-07-23,-9.575000,0,-9.575000,-9.575000,0.000000,-191.50,-191.50
2010-07-25,-9.575000,1,-9.825000,-11.825000,0.000000,-196.50,-236.50
2010-07-26,-9.575000,1,0.675000,-18.075000,0.675000,0.00,-375.00
2010-07-27,-9.575000,1,2.675000,-5.825000,2.675000,0.00,-170.00
2010-07-28,-9.575000,1,-15.075000,-19.325000,2.675000,-355.00,-440.00
2010-07-29,-9.575000,1,-29.075000,-45.575000,2.675000,-635.00,-965.00
2010-07-30,-9.575000,1,-20.325000,-52.575000,2.675000,-460.00,-1105.00
2010-08-01,-29.150000,0,-29.150000,-29.150000,2.675000,-636.50,-636.50
2010-08-02,-29.150000,1,-3.900000,-30.150000,2.675000,-131.50,-656.50
2010-08-03,-29.150000,1,-4.650000,-19.150000,2.675000,-146.50,-436.50
2010-08-04,-29.150000,1,7.600000,-15.650000,7.600000,0.00,-465.00
2010-08-05,-29.150000,1,3.100000,-7.900000,7.600000,-90.00,-310.00
2010-08-06,-29.150000,1,6.600000,-27.650000,7.600000,-20.00,-705.00
2010-08-08,-29.150000,1,-0.150000,-0.400000,7.600000,-155.00,-160.00
2010-08-09,-29.150000,1,14.100000,-0.400000,14.100000,0.00,-290.00
2010-08-10,-29.150000,1,-6.400000,-18.150000,14.100000,-410.00,-645.00
2010-08-11,-29.150000,1,-75.900000,-86.150000,14.100000,-1800.00,-2005.00
2010-08-12,-29.150000,1,-67.150000,-92.650000,14.100000,-1625.00,-2135.00
2010-08-13,-75.975000,0,-75.975000,-75.975000,14.100000,-1801.50,-1801.50
2010-08-15,-75.975000,0,-75.975000,-75.975000,14.100000,-1801.50,-1801.50
2010-08-16,-75.975000,0,-75.975000,-75.975000,14.100000,-1801.50,-1801.50
2010-08-17,-75.975000,0,-75.975000,-75.975000,14.100000,-1801.50,-1801.50
2010-08-18,-75.975000,0,-75.975000,-75.975000,14.100000,-1801.50,-1801.50
2010-08-19,-75.975000,0,-75.975000,-75.975000,14.100000,-1801.50,-1801.50
2010-08-20,-75.975000,0,-75.975000,-75.975000,14.100000,-1801.50,-1801.50
2010-08-22,-75.975000,0,-75.975000,-75.975000,14.100000,-1801.50,-1801.50
2010-08-23,-75.975000,0,-75.975000,-75.975000,14.100000,-1801.50,-1801.50
2010-08-24,-75.975000,0,-75.975000,-75.975000,14.100000,-1801.50,-1801.50
2010-08-25,-75.975000,0,-75.975000,-75.975000,14.100000,-1801.50,-1801.50
