ts,realized_points,open_units,close_equity_points,intrabar_stress_points,peak_close_points,close_dd_usd,intrabar_dd_usd
2010-06-06,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-07,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-08,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-09,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-10,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-11,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-13,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-14,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-15,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-16,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-17,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-18,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-20,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-21,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-22,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-23,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-24,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-25,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-27,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-28,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2010-06-29,0.000000,3,-516.000000,-678.000000,0.000000,-2580.00,-3390.00
2010-06-30,75.200000,2,-434.800000,-492.800000,0.000000,-2174.00,-2464.00
2010-07-01,-437.400000,0,-437.400000,-437.400000,0.000000,-2187.00,-2187.00
2010-07-02,-437.400000,0,-437.400000,-437.400000,0.000000,-2187.00,-2187.00
2010-07-04,-437.400000,0,-437.400000,-437.400000,0.000000,-2187.00,-2187.00
2010-07-05,-437.400000,0,-437.400000,-437.400000,0.000000,-2187.00,-2187.00
2010-07-06,-437.400000,3,-821.400000,-1169.400000,0.000000,-4107.00,-5847.00
2010-07-07,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-07-08,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-07-09,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-07-11,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-07-12,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-07-13,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-07-14,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-07-15,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-07-16,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-07-18,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-07-19,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-07-20,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-07-21,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-07-22,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-07-23,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-07-25,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-07-26,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-07-27,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-07-28,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-07-29,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-07-30,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-08-01,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-08-02,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-08-03,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-08-04,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-08-05,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-08-06,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-08-08,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-08-09,-1044.300000,0,-1044.300000,-1044.300000,0.000000,-5221.50,-5221.50
2010-08-10,-1044.300000,3,-1182.300000,-1440.300000,0.000000,-5911.50,-7201.50
2010-08-11,-1044.300000,3,-2109.300000,-2223.300000,0.000000,-10546.50,-11116.50
2010-08-12,-1633.200000,0,-1633.200000,-1633.200000,0.000000,-8166.00,-8166.00
2010-08-13,-1633.200000,0,-1633.200000,-1633.200000,0.000000,-8166.00,-8166.00
2010-08-15,-1633.200000,3,-1057.200000,-2128.200000,0.000000,-5286.00,-10641.00
2010-08-16,-1391.350000,0,-1391.350000,-1391.350000,0.000000,-6956.75,-6956.75
2010-08-17,-1391.350000,0,-1391.350000,-1391.350000,0.000000,-6956.75,-6956.75
2010-08-18,-1391.350000,0,-1391.350000,-1391.350000,0.000000,-6956.75,-6956.75
