intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_78e3ab6ec6b7,es_monthly_orb_restricted_scaleout3,es_monthly_orb_restricted_scaleout3_201006_01,ES,paper,buy,limit,1,1070.75,,long_tp25_entry,submitted,true,verify_5d461867f3ae,,false,entry,1041.25,1078.125,,GTC,2010-06-10,2010-07-01T00:00:00,2026-05-21T03:43:23Z,2026-05-21T03:43:23Z
intent_ccd9f445bbf3,es_monthly_orb_restricted_scaleout3,es_monthly_orb_restricted_scaleout3_201006_01,ES,paper,buy,limit,1,1070.75,,long_tp_entry,submitted,true,verify_fc86c5a5ff17,,false,entry,1041.25,1100.25,,GTC,2010-06-10,2010-07-01T00:00:00,2026-05-21T03:43:23Z,2026-05-21T03:43:23Z
intent_9afe8af78e62,es_monthly_orb_restricted_scaleout3,es_monthly_orb_restricted_scaleout3_201006_01,ES,paper,buy,limit,1,1070.75,,long_runner_entry,submitted,true,verify_f4011b728114,,false,runner_entry,1041.25,,,GTC,2010-06-10,2010-07-01T00:00:00,2026-05-21T03:43:23Z,2026-05-21T03:43:23Z
intent_fb250362aa66,es_monthly_orb_restricted_scaleout3,es_monthly_orb_restricted_scaleout3_201006_01,ES,paper,sell,stop,1,,1041.25,protective_stop,submitted,false,,intent_9afe8af78e62,true,runner_stop,,,ord_53c6300780bd_bracket,GTC,,,2026-05-21T03:43:23Z,2026-05-21T03:43:23Z
intent_a52f425e115f,es_monthly_orb_restricted_scaleout3,es_monthly_orb_restricted_scaleout3_201006_01,ES,paper,sell,stop,1,,1041.25,protective_stop,submitted,false,,intent_ccd9f445bbf3,true,stop,,,ord_a43c04009b0c_bracket,GTC,,,2026-05-21T03:43:23Z,2026-05-21T03:43:23Z
intent_efc974b9679e,es_monthly_orb_restricted_scaleout3,es_monthly_orb_restricted_scaleout3_201006_01,ES,paper,sell,limit,1,1100.25,,target,submitted,false,,intent_ccd9f445bbf3,true,target,,,ord_a43c04009b0c_bracket,GTC,,,2026-05-21T03:43:23Z,2026-05-21T03:43:23Z
intent_9c61427ec481,es_monthly_orb_restricted_scaleout3,es_monthly_orb_restricted_scaleout3_201006_01,ES,paper,sell,stop,1,,1041.25,protective_stop,submitted,false,,intent_78e3ab6ec6b7,true,stop,,,ord_ad9995764541_bracket,GTC,,,2026-05-21T03:43:23Z,2026-05-21T03:43:23Z
intent_e285c15a5b9f,es_monthly_orb_restricted_scaleout3,es_monthly_orb_restricted_scaleout3_201006_01,ES,paper,sell,limit,1,1078.125,,target,submitted,false,,intent_78e3ab6ec6b7,true,target,,,ord_ad9995764541_bracket,GTC,,,2026-05-21T03:43:23Z,2026-05-21T03:43:23Z
intent_612f2ccf89d1,es_monthly_orb_restricted_scaleout3,es_monthly_orb_restricted_scaleout3_201006_02,ES,paper,sell,limit,1,1041.25,,short_tp25_entry,submitted,true,verify_b6870a3e10d8,,false,entry,1070.75,1033.875,,GTC,2010-06-29,2010-07-01T00:00:00,2026-05-21T03:43:23Z,2026-05-21T03:43:23Z
intent_45e2a09b860c,es_monthly_orb_restricted_scaleout3,es_monthly_orb_restricted_scaleout3_201006_02,ES,paper,sell,limit,1,1041.25,,short_tp_entry,submitted,true,verify_7dd4907e9bc5,,false,entry,1070.75,1011.75,,GTC,2010-06-29,2010-07-01T00:00:00,2026-05-21T03:43:23Z,2026-05-21T03:43:23Z
intent_ae814ce98733,es_monthly_orb_restricted_scaleout3,es_monthly_orb_restricted_scaleout3_201006_02,ES,paper,sell,limit,1,1041.25,,short_runner_entry,submitted,true,verify_0f9e879a097d,,false,runner_entry,1070.75,,,GTC,2010-06-29,2010-07-01T00:00:00,2026-05-21T03:43:23Z,2026-05-21T03:43:23Z
intent_938926ae671d,es_monthly_orb_restricted_scaleout3,es_monthly_orb_restricted_scaleout3_201006_02,ES,paper,buy,stop,1,,1070.75,protective_stop,submitted,false,,intent_ae814ce98733,true,runner_stop,,,ord_5a4219512389_bracket,GTC,,,2026-05-21T03:43:23Z,2026-05-21T03:43:23Z
intent_fcdc3ba23250,es_monthly_orb_restricted_scaleout3,es_monthly_orb_restricted_scaleout3_201006_02,ES,paper,buy,stop,1,,1070.75,protective_stop,submitted,false,,intent_612f2ccf89d1,true,stop,,,ord_8e8d3d186d75_bracket,GTC,,,2026-05-21T03:43:23Z,2026-05-21T03:43:23Z
intent_88a09129c79a,es_monthly_orb_restricted_scaleout3,es_monthly_orb_restricted_scaleout3_201006_02,ES,paper,buy,limit,1,1033.875,,target,submitted,false,,intent_612f2ccf89d1,true,target,,,ord_8e8d3d186d75_bracket,GTC,,,2026-05-21T03:43:23Z,2026-05-21T03:43:23Z
intent_867579f19432,es_monthly_orb_restricted_scaleout3,es_monthly_orb_restricted_scaleout3_201006_02,ES,paper,buy,stop,1,,1070.75,protective_stop,submitted,false,,intent_45e2a09b860c,true,stop,,,ord_fb37e72c21fe_bracket,GTC,,,2026-05-21T03:43:23Z,2026-05-21T03:43:23Z
intent_f4d119cad1a3,es_monthly_orb_restricted_scaleout3,es_monthly_orb_restricted_scaleout3_201006_02,ES,paper,buy,limit,1,1011.75,,target,submitted,false,,intent_45e2a09b860c,true,target,,,ord_fb37e72c21fe_bracket,GTC,,,2026-05-21T03:43:23Z,2026-05-21T03:43:23Z
intent_69252b7790a3,es_monthly_orb_restricted_scaleout3,es_monthly_orb_restricted_scaleout3_201006_02,ES,paper,buy,market_close,2,,,month_end_flatten,submitted,false,,,true,close,,,,GTC,2010-06-30,,2026-05-21T03:43:23Z,2026-05-21T03:43:23Z
intent_f7019310afba,es_monthly_orb_restricted_scaleout3,es_monthly_orb_restricted_scaleout3_201007_01,ES,paper,buy,limit,1,1032.5,,long_tp25_entry,submitted,true,verify_e74e0a044b03,,false,entry,1006.0,1039.125,,GTC,2010-07-07,2010-08-01T00:00:00,2026-05-21T03:43:23Z,2026-05-21T03:43:23Z
intent_602ecf266201,es_monthly_orb_restricted_scaleout3,es_monthly_orb_restricted_scaleout3_201007_01,ES,paper,buy,limit,1,1032.5,,long_tp_entry,submitted,true,verify_74b9ec475a42,,false,entry,1006.0,1059.0,,GTC,2010-07-07,2010-08-01T00:00:00,2026-05-21T03:43:23Z,2026-05-21T03:43:23Z
intent_6b2d71b1cf40,es_monthly_orb_restricted_scaleout3,es_monthly_orb_restricted_scaleout3_201007_01,ES,paper,buy,limit,1,1032.5,,long_runner_entry,submitted,true,verify_55ab0afad98e,,false,runner_entry,1006.0,,,GTC,2010-07-07,2010-08-01T00:00:00,2026-05-21T03:43:23Z,2026-05-21T03:43:23Z
intent_f67217a56907,es_monthly_orb_restricted_scaleout3,es_monthly_orb_restricted_scaleout3_201008_01,ES,paper,buy,limit,1,1124.25,,long_tp25_entry,submitted,true,verify_f0101c7a9e2d,,false,entry,1101.75,1129.875,,GTC,2010-08-04,2010-09-01T00:00:00,2026-05-21T03:43:23Z,2026-05-21T03:43:23Z
intent_3937a75fba8f,es_monthly_orb_restricted_scaleout3,es_monthly_orb_restricted_scaleout3_201008_01,ES,paper,buy,limit,1,1124.25,,long_tp_entry,submitted,true,verify_b039f5fde2dc,,false,entry,1101.75,1146.75,,GTC,2010-08-04,2010-09-01T00:00:00,2026-05-21T03:43:23Z,2026-05-21T03:43:23Z
intent_5d6178c8490e,es_monthly_orb_restricted_scaleout3,es_monthly_orb_restricted_scaleout3_201008_01,ES,paper,buy,limit,1,1124.25,,long_runner_entry,submitted,true,verify_395bbd5a20b8,,false,runner_entry,1101.75,,,GTC,2010-08-04,2010-09-01T00:00:00,2026-05-21T03:43:23Z,2026-05-21T03:43:23Z
