alert_id,strategy_id,level,message,payload_json,status,created_at
alert_5879f288c69e,es_yearly_orb_scaleout3_range_close_20pct,order_pending_verification,Yearly ORB OCO stop entry intents created,{},sent,2026-06-29T15:59:52Z
alert_a962b06d124b,es_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted buy 3 ES,{},sent,2026-06-29T15:59:52Z
alert_db2cd67f5ef4,es_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted sell 3 ES,{},sent,2026-06-29T15:59:52Z
alert_8dcd64ea930e,es_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted sell 3 ES,{},sent,2026-06-29T15:59:52Z
alert_9595efd5fbf9,es_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted sell 1 ES,{},sent,2026-06-29T15:59:52Z
alert_0650d8c8b2b2,es_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted sell 1 ES,{},sent,2026-06-29T15:59:52Z
alert_fc3c06c6259c,es_yearly_orb_scaleout3_range_close_20pct,info,Yearly ORB range-close exit requested,{},sent,2026-06-29T15:59:52Z
alert_612a7a427169,es_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted sell 2 ES,{},sent,2026-06-29T15:59:52Z
alert_31fe03b70c65,es_yearly_orb_scaleout3_range_close_20pct,order_pending_verification,Yearly ORB OCO stop entry intents created,{},sent,2026-06-29T15:59:52Z
alert_20d0faad01c8,es_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted buy 3 ES,{},sent,2026-06-29T15:59:52Z
alert_b5e9139c845c,es_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted sell 3 ES,{},sent,2026-06-29T15:59:52Z
alert_df8aefba2218,es_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted sell 3 ES,{},sent,2026-06-29T15:59:52Z
alert_c645cb24a199,es_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted sell 1 ES,{},sent,2026-06-29T15:59:52Z
alert_892f9606c28c,es_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted sell 1 ES,{},sent,2026-06-29T15:59:52Z
alert_c8246c143c01,es_yearly_orb_scaleout3_range_close_20pct,order_pending_verification,Yearly ORB OCO stop entry intents created,{},sent,2026-06-29T15:59:52Z
alert_60068a3308fa,es_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted buy 3 ES,{},sent,2026-06-29T15:59:52Z
alert_2c09a7a141d2,es_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted sell 3 ES,{},sent,2026-06-29T15:59:52Z
alert_17b3897ee2d3,es_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted sell 3 ES,{},sent,2026-06-29T15:59:52Z
