broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_1b1fdccbcbc6,intent_37b2c1761e92,mes_atr_daily_3initial_10max,mes_atr_daily_3initial_10max_20190606_001,MES,paper,buy,market,3,0,filled,,,false,entry,,,2019-06-06,,2026-06-29T16:04:03Z,2026-06-29T16:04:03Z
ord_52add8e69471,intent_110ce48ba7ef,mes_atr_daily_3initial_10max,mes_atr_daily_3initial_10max_20190606_001,MES,paper,buy,market,1,0,filled,,,false,entry,,,2019-06-14,,2026-06-29T16:04:03Z,2026-06-29T16:04:03Z
ord_808382c3e44e,intent_bbc54efb04f7,mes_atr_daily_3initial_10max,mes_atr_daily_3initial_10max_20190606_001,MES,paper,buy,market,1,0,filled,,,false,entry,,,2019-06-28,,2026-06-29T16:04:03Z,2026-06-29T16:04:03Z
ord_b41aeac88088,intent_25269b53468d,mes_atr_daily_3initial_10max,mes_atr_daily_3initial_10max_20190606_001,MES,paper,buy,market,1,0,filled,,,false,entry,,,2019-07-12,,2026-06-29T16:04:03Z,2026-06-29T16:04:03Z
ord_7508f9e1a6ba,intent_4bb41b22d723,mes_atr_daily_3initial_10max,mes_atr_daily_3initial_10max_20190606_001,MES,paper,buy,market,1,0,filled,,,false,entry,,,2019-07-26,,2026-06-29T16:04:03Z,2026-06-29T16:04:03Z
ord_9ba90ff1984c,intent_ea39e631f36e,mes_atr_daily_3initial_10max,mes_atr_daily_3initial_10max_20190606_001,MES,paper,sell,market,7,0,filled,,,true,close,,,2019-08-01,,2026-06-29T16:04:03Z,2026-06-29T16:04:03Z
ord_e5ecc62883a7,intent_0afc438cc0cb,mes_atr_daily_3initial_10max,mes_atr_daily_3initial_10max_20190905_002,MES,paper,buy,market,3,0,filled,,,false,entry,,,2019-09-05,,2026-06-29T16:04:03Z,2026-06-29T16:04:03Z
ord_52acb97d6a08,intent_226cf7c5f295,mes_atr_daily_3initial_10max,mes_atr_daily_3initial_10max_20190905_002,MES,paper,sell,market,3,0,filled,,,true,close,,,2019-09-10,,2026-06-29T16:04:03Z,2026-06-29T16:04:03Z
ord_7126c0a8185e,intent_6cd0df2e3b6f,mes_atr_daily_3initial_10max,mes_atr_daily_3initial_10max_20190911_003,MES,paper,buy,market,3,0,filled,,,false,entry,,,2019-09-11,,2026-06-29T16:04:03Z,2026-06-29T16:04:03Z
ord_d8d03bb1c6bd,intent_52e2d57dd217,mes_atr_daily_3initial_10max,mes_atr_daily_3initial_10max_20190911_003,MES,paper,buy,market,1,0,filled,,,false,entry,,,2019-09-20,,2026-06-29T16:04:03Z,2026-06-29T16:04:03Z
ord_c806e3dc4d78,intent_0d4a0c818a01,mes_atr_daily_3initial_10max,mes_atr_daily_3initial_10max_20190911_003,MES,paper,sell,market,4,0,filled,,,true,close,,,2019-09-24,,2026-06-29T16:04:03Z,2026-06-29T16:04:03Z
ord_b5ea668d4905,intent_9a63c396edaa,mes_atr_daily_3initial_10max,mes_atr_daily_3initial_10max_20190925_004,MES,paper,buy,market,3,0,filled,,,false,entry,,,2019-09-25,,2026-06-29T16:04:03Z,2026-06-29T16:04:03Z
ord_4f830a27879b,intent_320f1fa570e0,mes_atr_daily_3initial_10max,mes_atr_daily_3initial_10max_20190925_004,MES,paper,sell,market,3,0,filled,,,true,close,,,2019-09-27,,2026-06-29T16:04:03Z,2026-06-29T16:04:03Z
ord_1bad73f8f250,intent_1c15462cf4af,mes_atr_daily_3initial_10max,mes_atr_daily_3initial_10max_20190930_005,MES,paper,buy,market,3,0,filled,,,false,entry,,,2019-09-30,,2026-06-29T16:04:03Z,2026-06-29T16:04:03Z
ord_09fa64094790,intent_9c68045b13ee,mes_atr_daily_3initial_10max,mes_atr_daily_3initial_10max_20190930_005,MES,paper,sell,market,3,0,filled,,,true,close,,,2019-10-01,,2026-06-29T16:04:03Z,2026-06-29T16:04:03Z
