alert_id,strategy_id,level,message,payload_json,status,created_at
alert_f3716c1dc781,mes_atr_weekly_2initial_3add_6max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-21T04:02:12Z
alert_f2723b236a00,mes_atr_weekly_2initial_3add_6max,order_submitted,Submitted buy 2 MES,{},sent,2026-05-21T04:02:12Z
alert_0a685f2a77ae,mes_atr_weekly_2initial_3add_6max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-21T04:02:12Z
alert_2db94522180e,mes_atr_weekly_2initial_3add_6max,order_submitted,Submitted sell 2 MES,{},sent,2026-05-21T04:02:12Z
alert_708171aa1cbe,mes_atr_weekly_2initial_3add_6max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-21T04:02:12Z
alert_f622f32ddf78,mes_atr_weekly_2initial_3add_6max,order_submitted,Submitted buy 2 MES,{},sent,2026-05-21T04:02:12Z
alert_1f3bc11223bf,mes_atr_weekly_2initial_3add_6max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-21T04:02:12Z
alert_d490127a2b16,mes_atr_weekly_2initial_3add_6max,order_submitted,Submitted sell 2 MES,{},sent,2026-05-21T04:02:12Z
alert_66b7bb07a9bf,mes_atr_weekly_2initial_3add_6max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-21T04:02:12Z
alert_6aec75b9af7d,mes_atr_weekly_2initial_3add_6max,order_submitted,Submitted buy 2 MES,{},sent,2026-05-21T04:02:12Z
alert_b37bf715469f,mes_atr_weekly_2initial_3add_6max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-21T04:02:12Z
alert_624ec7b3575c,mes_atr_weekly_2initial_3add_6max,order_submitted,Submitted buy 3 MES,{},sent,2026-05-21T04:02:12Z
alert_4bbac3db2dc3,mes_atr_weekly_2initial_3add_6max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-21T04:02:12Z
alert_a80bbf06cd3c,mes_atr_weekly_2initial_3add_6max,order_submitted,Submitted buy 1 MES,{},sent,2026-05-21T04:02:12Z
alert_74f8eff10840,mes_atr_weekly_2initial_3add_6max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-21T04:02:13Z
alert_003d2f07872e,mes_atr_weekly_2initial_3add_6max,order_submitted,Submitted sell 6 MES,{},sent,2026-05-21T04:02:13Z
alert_26362d5bcbcb,mes_atr_weekly_2initial_3add_6max,order_submitted,ATR Supertrend intent created,{},sent,2026-05-21T04:02:13Z
