alert_id,strategy_id,level,message,payload_json,status,created_at
alert_3992869a9c80,mes_yearly_orb_scaleout3_range_close_20pct,order_pending_verification,Yearly ORB OCO stop entry intents created,{},sent,2026-06-29T16:03:52Z
alert_c1c4ea2b0423,mes_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted buy 3 MES,{},sent,2026-06-29T16:03:52Z
alert_74e1c06ff0a7,mes_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted sell 3 MES,{},sent,2026-06-29T16:03:52Z
alert_5882097ad2da,mes_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted sell 3 MES,{},sent,2026-06-29T16:03:52Z
alert_8ce571c5deb2,mes_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted sell 1 MES,{},sent,2026-06-29T16:03:52Z
alert_179892bbcda2,mes_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted sell 1 MES,{},sent,2026-06-29T16:03:52Z
alert_9f832e5f7c0e,mes_yearly_orb_scaleout3_range_close_20pct,order_pending_verification,Yearly ORB OCO stop entry intents created,{},sent,2026-06-29T16:03:52Z
alert_2f083adb59bb,mes_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted buy 3 MES,{},sent,2026-06-29T16:03:52Z
alert_7273c9a0e236,mes_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted sell 3 MES,{},sent,2026-06-29T16:03:52Z
alert_2818ae253c4a,mes_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted sell 3 MES,{},sent,2026-06-29T16:03:52Z
alert_f9a7527fc743,mes_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted sell 1 MES,{},sent,2026-06-29T16:03:52Z
alert_ddd7a31eb1a6,mes_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted sell 1 MES,{},sent,2026-06-29T16:03:52Z
alert_34a79080f392,mes_yearly_orb_scaleout3_range_close_20pct,order_pending_verification,Yearly ORB OCO stop entry intents created,{},sent,2026-06-29T16:03:52Z
alert_4dec7cb47111,mes_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted buy 3 MES,{},sent,2026-06-29T16:03:52Z
alert_aa5607e5e6e0,mes_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted sell 3 MES,{},sent,2026-06-29T16:03:52Z
alert_75a419a12b4b,mes_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted sell 3 MES,{},sent,2026-06-29T16:03:52Z
alert_8dca98739a73,mes_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted sell 1 MES,{},sent,2026-06-29T16:03:52Z
alert_72b9b77713e1,mes_yearly_orb_scaleout3_range_close_20pct,order_submitted,Submitted sell 1 MES,{},sent,2026-06-29T16:03:52Z
