broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_1b59ed3a1b89,intent_d6542e33c0ab,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190607_001,MNQ,paper,buy,market,1,0,filled,,,false,entry,,,2019-06-07,,2026-05-21T03:21:49Z,2026-05-21T03:21:49Z
ord_2aa2d58c70f0,intent_fd45c6368471,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190607_001,MNQ,paper,buy,market,1,0,filled,,,false,entry,,,2019-06-21,,2026-05-21T03:21:49Z,2026-05-21T03:21:49Z
ord_dc2071c91bd6,intent_6dfa00313578,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190607_001,MNQ,paper,buy,market,2,0,filled,,,false,entry,,,2019-07-05,,2026-05-21T03:21:49Z,2026-05-21T03:21:49Z
ord_67cd8e64fae5,intent_b3dad5872d27,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190607_001,MNQ,paper,buy,market,2,0,filled,,,false,entry,,,2019-07-19,,2026-05-21T03:21:49Z,2026-05-21T03:21:49Z
ord_255695d08cad,intent_e5051558bb82,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190607_001,MNQ,paper,sell,market,6,0,filled,,,true,close,,,2019-08-02,,2026-05-21T03:21:49Z,2026-05-21T03:21:49Z
ord_b24b2cecf214,intent_38b6865e1fc5,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190905_002,MNQ,paper,buy,market,1,0,filled,,,false,entry,,,2019-09-05,,2026-05-21T03:21:49Z,2026-05-21T03:21:49Z
ord_eb69ab500f70,intent_843ade4adbce,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190905_002,MNQ,paper,sell,market,1,0,filled,,,true,close,,,2019-09-08,,2026-05-21T03:21:49Z,2026-05-21T03:21:49Z
ord_a6fa99a386c6,intent_979902c7f764,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190911_003,MNQ,paper,buy,market,1,0,filled,,,false,entry,,,2019-09-11,,2026-05-21T03:21:49Z,2026-05-21T03:21:49Z
ord_8b839759296b,intent_35e1d3594b5a,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190911_003,MNQ,paper,sell,market,1,0,filled,,,true,close,,,2019-09-15,,2026-05-21T03:21:49Z,2026-05-21T03:21:49Z
ord_d851342c6855,intent_706d5a8eabb3,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190916_004,MNQ,paper,buy,market,1,0,filled,,,false,entry,,,2019-09-16,,2026-05-21T03:21:49Z,2026-05-21T03:21:49Z
ord_38b3780c50ad,intent_e8faa67fa038,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190916_004,MNQ,paper,sell,market,1,0,filled,,,true,close,,,2019-09-20,,2026-05-21T03:21:49Z,2026-05-21T03:21:49Z
ord_ba48f8ba8776,intent_4117dbb8e7d2,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190922_005,MNQ,paper,buy,market,1,0,filled,,,false,entry,,,2019-09-22,,2026-05-21T03:21:49Z,2026-05-21T03:21:49Z
ord_130d9dc2c04b,intent_99f99887d739,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20190922_005,MNQ,paper,sell,market,1,0,filled,,,true,close,,,2019-09-24,,2026-05-21T03:21:49Z,2026-05-21T03:21:49Z
ord_577a21352619,intent_f1b4cd8e601a,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20191025_006,MNQ,paper,buy,market,1,0,filled,,,false,entry,,,2019-10-25,,2026-05-21T03:21:49Z,2026-05-21T03:21:49Z
ord_023dfbb658eb,intent_35c8474e806b,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20191025_006,MNQ,paper,buy,market,1,0,filled,,,false,entry,,,2019-11-08,,2026-05-21T03:21:49Z,2026-05-21T03:21:49Z
ord_3afc2956fadc,intent_2b0e5c810705,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20191025_006,MNQ,paper,buy,market,2,0,filled,,,false,entry,,,2019-11-22,,2026-05-21T03:21:49Z,2026-05-21T03:21:49Z
ord_12202c8100c4,intent_9e6cd9c6d440,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20191025_006,MNQ,paper,buy,market,2,0,filled,,,false,entry,,,2019-12-06,,2026-05-21T03:21:49Z,2026-05-21T03:21:49Z
ord_b6fe8bbffa60,intent_36f96863b0f6,mnq_atr_daily_ladder112221_10max,mnq_atr_daily_ladder112221_10max_20191025_006,MNQ,paper,buy,market,2,0,filled,,,false,entry,,,2019-12-20,,2026-05-21T03:21:49Z,2026-05-21T03:21:49Z
