broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_aac59c3d9e70,intent_b5e2edb6e540,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201905_01,MNQ,paper,sell,limit,1,0,filled,7581.5,,false,entry,,,2019-05-12,2019-06-01T00:00:00,2026-06-29T15:54:57Z,2026-06-29T15:54:57Z
ord_8fde4c8b5917,intent_6965e39f4741,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201905_01,MNQ,paper,sell,limit,1,0,filled,7581.5,,false,entry,,,2019-05-12,2019-06-01T00:00:00,2026-06-29T15:54:57Z,2026-06-29T15:54:57Z
ord_7c02e8b0b4db,intent_6c48aeadf192,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201905_01,MNQ,paper,sell,limit,1,0,filled,7581.5,,false,runner_entry,,,2019-05-12,2019-06-01T00:00:00,2026-06-29T15:54:57Z,2026-06-29T15:54:57Z
ord_7a740a492d65,intent_ba1e7e77560e,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201905_01,MNQ,paper,buy,stop,1,1,cancelled,,7581.5,true,runner_stop,ord_7c02e8b0b4db,ord_7c02e8b0b4db_bracket,,,2026-06-29T15:54:57Z,2026-06-29T15:54:57Z
ord_2687584dc4e2,intent_2327146dadd1,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201905_01,MNQ,paper,buy,stop,1,1,cancelled,,7817.5,true,stop,ord_8fde4c8b5917,ord_8fde4c8b5917_bracket,,,2026-06-29T15:54:57Z,2026-06-29T15:54:57Z
ord_c8dd0b8d6cd7,intent_5527f7774598,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201905_01,MNQ,paper,buy,limit,1,0,filled,7345.5,,true,target,ord_8fde4c8b5917,ord_8fde4c8b5917_bracket,,,2026-06-29T15:54:57Z,2026-06-29T15:54:57Z
ord_cd98e8d1fadb,intent_2ca753ed3063,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201905_01,MNQ,paper,buy,stop,1,1,cancelled,,7817.5,true,stop,ord_aac59c3d9e70,ord_aac59c3d9e70_bracket,,,2026-06-29T15:54:57Z,2026-06-29T15:54:57Z
ord_8ad6e8c90fe5,intent_fc6da3397030,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201905_01,MNQ,paper,buy,limit,1,0,filled,7522.5,,true,target,ord_aac59c3d9e70,ord_aac59c3d9e70_bracket,,,2026-06-29T15:54:57Z,2026-06-29T15:54:57Z
ord_c64c9843701d,intent_c040ba0ae2d4,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201905_01,MNQ,paper,buy,market_close,1,0,filled,,,true,close,,,2019-05-31,,2026-06-29T15:54:57Z,2026-06-29T15:54:57Z
ord_0307bf84c36a,intent_138bbdfdca9a,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201906_01,MNQ,paper,buy,limit,1,0,filled,7211.25,,false,entry,,,2019-06-05,2019-07-01T00:00:00,2026-06-29T15:54:57Z,2026-06-29T15:54:57Z
