fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_5db99d2b5d19,ord_214fb48bcc4a,intent_137a8853b91a,mnq_yearly_orb_scaleout3_range_close_20pct,mnq_yearly_orb_scaleout3_range_close_20pct_2020_01,MNQ,paper,buy,3,9763.25,2020-06-05,entry
fill_23ccea72e0b1,ord_bdeb09c9e796,intent_1d4f31301285,mnq_yearly_orb_scaleout3_range_close_20pct,mnq_yearly_orb_scaleout3_range_close_20pct_2020_01,MNQ,paper,sell,1,10546.5625,2020-07-06,target
fill_bab5c95fe5f7,ord_67c820da1c11,intent_e1ff20434e97,mnq_yearly_orb_scaleout3_range_close_20pct,mnq_yearly_orb_scaleout3_range_close_20pct_2020_01,MNQ,paper,sell,1,12897.25,2020-12-29,target
fill_bdfdbfa60556,ord_eda1b1d53d46,intent_beea87aeb762,mnq_yearly_orb_scaleout3_range_close_20pct,mnq_yearly_orb_scaleout3_range_close_20pct_2020_01,MNQ,paper,sell,1,12888.0,2021-01-03,close
fill_5d13bafb46b5,ord_9b0b5cd01906,intent_f8ab44dc2861,mnq_yearly_orb_scaleout3_range_close_20pct,mnq_yearly_orb_scaleout3_range_close_20pct_2021_01,MNQ,paper,buy,3,13901.0,2021-04-13,entry
fill_1e2884d83340,ord_a1156b61ebb6,intent_f3382b910ba9,mnq_yearly_orb_scaleout3_range_close_20pct,mnq_yearly_orb_scaleout3_range_close_20pct_2021_01,MNQ,paper,sell,3,13512.75,2021-05-04,stop
fill_8c0d27a9e81b,ord_f478245753ed,intent_f7acee17b4b1,mnq_yearly_orb_scaleout3_range_close_20pct,mnq_yearly_orb_scaleout3_range_close_20pct_2021_02,MNQ,paper,buy,3,13901.0,2021-06-08,entry
fill_bfdb928d79c0,ord_ac95fdb7edf7,intent_4b8497a67245,mnq_yearly_orb_scaleout3_range_close_20pct,mnq_yearly_orb_scaleout3_range_close_20pct_2021_02,MNQ,paper,sell,1,14324.0625,2021-06-24,target
fill_e1c6ff209bcb,ord_f24e1829184e,intent_bc304ec488f5,mnq_yearly_orb_scaleout3_range_close_20pct,mnq_yearly_orb_scaleout3_range_close_20pct_2021_02,MNQ,paper,sell,1,15594.0,2021-08-30,target
fill_6295e12d5bb5,ord_be3b37a498e3,intent_eea82edc3b21,mnq_yearly_orb_scaleout3_range_close_20pct,mnq_yearly_orb_scaleout3_range_close_20pct_2021_02,MNQ,paper,sell,1,16354.75,2022-01-02,close
fill_16d95b58d763,ord_ab0b9717cfa2,intent_500353c48885,mnq_yearly_orb_scaleout3_range_close_20pct,mnq_yearly_orb_scaleout3_range_close_20pct_2022_01,MNQ,paper,sell,3,12941.5,2022-04-26,entry
fill_5f8a8b043c53,ord_c0c00dd5cb5c,intent_bcec2d18ad74,mnq_yearly_orb_scaleout3_range_close_20pct,mnq_yearly_orb_scaleout3_range_close_20pct_2022_01,MNQ,paper,buy,1,12036.1875,2022-05-11,target
fill_2a5bf4372119,ord_f3d612864d2d,intent_1e7c6d18d08a,mnq_yearly_orb_scaleout3_range_close_20pct,mnq_yearly_orb_scaleout3_range_close_20pct_2022_01,MNQ,paper,buy,2,13541.25,2022-08-15,close
fill_35ba53718bd4,ord_87cde622f1a3,intent_87ad8c7abdce,mnq_yearly_orb_scaleout3_range_close_20pct,mnq_yearly_orb_scaleout3_range_close_20pct_2022_02,MNQ,paper,sell,3,12941.5,2022-08-22,entry
fill_6f173720d090,ord_ad59c1ad12b3,intent_77d0b81b8af1,mnq_yearly_orb_scaleout3_range_close_20pct,mnq_yearly_orb_scaleout3_range_close_20pct_2022_02,MNQ,paper,buy,1,12036.1875,2022-09-01,target
fill_fbd459eeb5e2,ord_8a4c716b587b,intent_42012b96623b,mnq_yearly_orb_scaleout3_range_close_20pct,mnq_yearly_orb_scaleout3_range_close_20pct_2022_02,MNQ,paper,buy,2,11117.25,2023-01-02,close
fill_4dc7b63b054e,ord_26835c325ca6,intent_0a367de397e3,mnq_yearly_orb_scaleout3_range_close_20pct,mnq_yearly_orb_scaleout3_range_close_20pct_2023_01,MNQ,paper,buy,3,13311.75,2023-04-04,entry
fill_efd80f8adacd,ord_f7bb6ad0ba59,intent_7e131b440710,mnq_yearly_orb_scaleout3_range_close_20pct,mnq_yearly_orb_scaleout3_range_close_20pct_2023_01,MNQ,paper,sell,1,13951.625,2023-05-18,target
fill_fae72fdec495,ord_f78831a70e08,intent_c272f5809d98,mnq_yearly_orb_scaleout3_range_close_20pct,mnq_yearly_orb_scaleout3_range_close_20pct_2023_01,MNQ,paper,sell,1,15872.0,2023-07-17,target
fill_3afc7960c2a9,ord_e4c3e417f1ab,intent_6b2ba9e38f81,mnq_yearly_orb_scaleout3_range_close_20pct,mnq_yearly_orb_scaleout3_range_close_20pct_2023_01,MNQ,paper,sell,1,17018.5,2024-01-01,close
fill_8704a075b9b2,ord_a1dfb53d3d4c,intent_fb169dc5ea30,mnq_yearly_orb_scaleout3_range_close_20pct,mnq_yearly_orb_scaleout3_range_close_20pct_2024_01,MNQ,paper,buy,3,18708.75,2024-05-15,entry
fill_65de5c30d377,ord_690ca3c15e70,intent_83a5f5374293,mnq_yearly_orb_scaleout3_range_close_20pct,mnq_yearly_orb_scaleout3_range_close_20pct_2024_01,MNQ,paper,sell,1,19302.0625,2024-06-12,target
fill_e45824b94e16,ord_5187ab851709,intent_b28fc887fa77,mnq_yearly_orb_scaleout3_range_close_20pct,mnq_yearly_orb_scaleout3_range_close_20pct_2024_01,MNQ,paper,sell,2,18072.25,2024-08-05,stop
