broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_d7998620fd3a,intent_6a52a7d70814,mym_atr_daily_3initial_10max,mym_atr_daily_3initial_10max_20190606_001,MYM,paper,buy,market,3,0,filled,,,false,entry,,,2019-06-06,,2026-06-29T16:08:47Z,2026-06-29T16:08:47Z
ord_f51326d92288,intent_8d90dffd8470,mym_atr_daily_3initial_10max,mym_atr_daily_3initial_10max_20190606_001,MYM,paper,buy,market,1,0,filled,,,false,entry,,,2019-06-14,,2026-06-29T16:08:47Z,2026-06-29T16:08:47Z
ord_f53c5a9be47b,intent_7cdda2d3f8b5,mym_atr_daily_3initial_10max,mym_atr_daily_3initial_10max_20190606_001,MYM,paper,buy,market,1,0,filled,,,false,entry,,,2019-06-28,,2026-06-29T16:08:47Z,2026-06-29T16:08:47Z
ord_97951a9911b5,intent_b7b28bfa8315,mym_atr_daily_3initial_10max,mym_atr_daily_3initial_10max_20190606_001,MYM,paper,buy,market,1,0,filled,,,false,entry,,,2019-07-12,,2026-06-29T16:08:47Z,2026-06-29T16:08:47Z
ord_b0daf63e3de9,intent_671f1573b913,mym_atr_daily_3initial_10max,mym_atr_daily_3initial_10max_20190606_001,MYM,paper,buy,market,1,0,filled,,,false,entry,,,2019-07-26,,2026-06-29T16:08:47Z,2026-06-29T16:08:47Z
ord_316bb1832e18,intent_8a6715456931,mym_atr_daily_3initial_10max,mym_atr_daily_3initial_10max_20190606_001,MYM,paper,sell,market,7,0,filled,,,true,close,,,2019-08-01,,2026-06-29T16:08:47Z,2026-06-29T16:08:47Z
ord_b23993480e78,intent_3ba9298eca88,mym_atr_daily_3initial_10max,mym_atr_daily_3initial_10max_20190904_002,MYM,paper,buy,market,3,0,filled,,,false,entry,,,2019-09-04,,2026-06-29T16:08:47Z,2026-06-29T16:08:47Z
ord_3a8cdbf6fcf9,intent_0cba44d4ff4d,mym_atr_daily_3initial_10max,mym_atr_daily_3initial_10max_20190904_002,MYM,paper,buy,market,1,0,filled,,,false,entry,,,2019-09-13,,2026-06-29T16:08:47Z,2026-06-29T16:08:47Z
ord_4c294b63e259,intent_369ba1f10b99,mym_atr_daily_3initial_10max,mym_atr_daily_3initial_10max_20190904_002,MYM,paper,buy,market,1,0,filled,,,false,entry,,,2019-09-27,,2026-06-29T16:08:47Z,2026-06-29T16:08:47Z
ord_4586bf8cb114,intent_64a9fa887665,mym_atr_daily_3initial_10max,mym_atr_daily_3initial_10max_20190904_002,MYM,paper,sell,market,5,0,filled,,,true,close,,,2019-10-01,,2026-06-29T16:08:47Z,2026-06-29T16:08:47Z
ord_4f8efed5fe15,intent_b8067b84ca61,mym_atr_daily_3initial_10max,mym_atr_daily_3initial_10max_20191015_003,MYM,paper,buy,market,3,0,filled,,,false,entry,,,2019-10-15,,2026-06-29T16:08:47Z,2026-06-29T16:08:47Z
ord_956d100d9eb6,intent_f99161d651a7,mym_atr_daily_3initial_10max,mym_atr_daily_3initial_10max_20191015_003,MYM,paper,sell,market,3,0,filled,,,true,close,,,2019-10-18,,2026-06-29T16:08:47Z,2026-06-29T16:08:47Z
ord_5a78824c818a,intent_75c9280ac9d1,mym_atr_daily_3initial_10max,mym_atr_daily_3initial_10max_20191027_004,MYM,paper,buy,market,3,0,filled,,,false,entry,,,2019-10-27,,2026-06-29T16:08:47Z,2026-06-29T16:08:47Z
ord_e445a084d84d,intent_c2aef9e85ba2,mym_atr_daily_3initial_10max,mym_atr_daily_3initial_10max_20191027_004,MYM,paper,buy,market,1,0,filled,,,false,entry,,,2019-11-08,,2026-06-29T16:08:48Z,2026-06-29T16:08:48Z
ord_b741a04d83bb,intent_be7e35a58d52,mym_atr_daily_3initial_10max,mym_atr_daily_3initial_10max_20191027_004,MYM,paper,buy,market,1,0,filled,,,false,entry,,,2019-11-22,,2026-06-29T16:08:48Z,2026-06-29T16:08:48Z
ord_33dd8f3e2724,intent_9809e84dd22e,mym_atr_daily_3initial_10max,mym_atr_daily_3initial_10max_20191027_004,MYM,paper,sell,market,5,0,filled,,,true,close,,,2019-12-03,,2026-06-29T16:08:48Z,2026-06-29T16:08:48Z
ord_f1a97f3c2074,intent_df04deaf034b,mym_atr_daily_3initial_10max,mym_atr_daily_3initial_10max_20191212_005,MYM,paper,buy,market,3,0,filled,,,false,entry,,,2019-12-12,,2026-06-29T16:08:48Z,2026-06-29T16:08:48Z
ord_616d78fe9153,intent_a39159e9ee43,mym_atr_daily_3initial_10max,mym_atr_daily_3initial_10max_20191212_005,MYM,paper,sell,market,3,0,filled,,,true,close,,,2019-12-15,,2026-06-29T16:08:48Z,2026-06-29T16:08:48Z
ord_8a14a298a1a7,intent_4e93044deb6f,mym_atr_daily_3initial_10max,mym_atr_daily_3initial_10max_20191216_006,MYM,paper,buy,market,3,0,filled,,,false,entry,,,2019-12-16,,2026-06-29T16:08:48Z,2026-06-29T16:08:48Z
ord_f3b2f156f7d1,intent_58ffc080954b,mym_atr_daily_3initial_10max,mym_atr_daily_3initial_10max_20191216_006,MYM,paper,buy,market,1,0,filled,,,false,entry,,,2019-12-27,,2026-06-29T16:08:48Z,2026-06-29T16:08:48Z
