verification_id,intent_id,strategy_id,account_mode,status,challenge,created_at,approved_at
verify_dc26541c84c8,intent_913db2e9fe02,mym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-e9fe02,2026-05-21T04:23:29Z,2026-05-21T04:23:29Z
verify_f119a3462591,intent_42157d537859,mym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-537859,2026-05-21T04:23:29Z,2026-05-21T04:23:29Z
verify_4e6dbb580144,intent_f18226170c65,mym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-170c65,2026-05-21T04:23:29Z,2026-05-21T04:23:29Z
verify_776c039e27c2,intent_5b70214cfe7d,mym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-4cfe7d,2026-05-21T04:23:29Z,2026-05-21T04:23:29Z
verify_67481df9439c,intent_d317043b4888,mym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-3b4888,2026-05-21T04:23:29Z,2026-05-21T04:23:29Z
verify_88803c9d526e,intent_ec3812706d95,mym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-706d95,2026-05-21T04:23:29Z,2026-05-21T04:23:29Z
verify_568491ee5d16,intent_1ddf0ff2318f,mym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-f2318f,2026-05-21T04:23:29Z,2026-05-21T04:23:29Z
verify_46e9826f9f25,intent_9ac6b65a9e34,mym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-5a9e34,2026-05-21T04:23:29Z,2026-05-21T04:23:29Z
verify_8a1b3ed82911,intent_b6bb1381e781,mym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-81e781,2026-05-21T04:23:29Z,2026-05-21T04:23:29Z
verify_0983b1aadb03,intent_319dc08c9f54,mym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-8c9f54,2026-05-21T04:23:29Z,2026-05-21T04:23:29Z
verify_7ab1c230fd14,intent_ec6b53f86ba4,mym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-f86ba4,2026-05-21T04:23:30Z,2026-05-21T04:23:30Z
verify_d346a090f9b8,intent_4c59db1c3f5b,mym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-1c3f5b,2026-05-21T04:23:30Z,2026-05-21T04:23:30Z
verify_548fed3fe251,intent_7910c78e2932,mym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-8e2932,2026-05-21T04:23:30Z,2026-05-21T04:23:30Z
verify_7484e81399fd,intent_01b68f45391f,mym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-45391f,2026-05-21T04:23:30Z,2026-05-21T04:23:30Z
verify_0839def8c384,intent_0c4f7e82be1a,mym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-82be1a,2026-05-21T04:23:30Z,2026-05-21T04:23:30Z
verify_5a7b3a4172b6,intent_9a8e35826c5c,mym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-826c5c,2026-05-21T04:23:30Z,2026-05-21T04:23:30Z
verify_bc6d31b972dd,intent_e5e166deb62a,mym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-deb62a,2026-05-21T04:23:30Z,2026-05-21T04:23:30Z
verify_a7d7e76a8b0b,intent_794248466287,mym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-466287,2026-05-21T04:23:30Z,2026-05-21T04:23:30Z
