fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_badd2ede0068,ord_a68c05002924,intent_fddc3beeecd5,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2020_01,MYM,paper,buy,3,29542.0,2020-11-09,entry
fill_51502ca8194b,ord_33b02159d665,intent_2b5a5001894d,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2020_01,MYM,paper,sell,3,30479.0,2021-01-03,close
fill_23a09a2b04e0,ord_b64943f15e13,intent_fb3d2e83be22,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2021_01,MYM,paper,buy,3,33134.0,2021-04-02,entry
fill_de3ea90bc616,ord_affc21da39d0,intent_a8d4b620ceb4,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2021_01,MYM,paper,sell,1,34028.5,2021-04-16,target
fill_eba415cc2ce2,ord_1cbc473a8f41,intent_ca64468533d8,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2021_01,MYM,paper,sell,2,36300.0,2022-01-02,close
fill_e4442a517bf5,ord_f97f3f51bbca,intent_77f254b5db23,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2022_01,MYM,paper,sell,3,32162.0,2022-05-09,entry
fill_c1c5c01edeb1,ord_bf21be009980,intent_102701efb21d,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2022_01,MYM,paper,buy,1,30995.75,2022-05-19,target
fill_ad08069df6c7,ord_351241265233,intent_486a5d399490,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2022_01,MYM,paper,buy,2,32534.0,2022-05-27,close
fill_3aed99726e5b,ord_7172643938a7,intent_1c0d4f506fe6,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2022_02,MYM,paper,sell,3,32162.0,2022-06-10,entry
fill_4d9efced72f6,ord_98d7ad023f0f,intent_858723a9ea51,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2022_02,MYM,paper,buy,1,30995.75,2022-06-12,target
fill_b2674d958cdb,ord_c23a9fdc9454,intent_c19c55abc516,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2022_02,MYM,paper,buy,2,33230.0,2022-08-10,stop
fill_494f63b5f174,ord_4d99695cac0c,intent_c25f541d5771,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2022_03,MYM,paper,sell,3,32162.0,2022-08-26,entry
fill_90d4c3662b07,ord_5374beb9ac50,intent_75fbe92e9ffe,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2022_03,MYM,paper,buy,1,30995.75,2022-09-06,target
fill_f47ea3fef46e,ord_7160b154efcd,intent_7f1e08d708e6,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2022_03,MYM,paper,buy,2,32851.0,2022-11-08,close
fill_05b282651118,ord_15ccd8469b9c,intent_8770b20b6bed,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2023_01,MYM,paper,buy,3,34552.0,2023-06-13,entry
fill_7c57aedc83bb,ord_360d2cd5b410,intent_9e42710804f2,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2023_01,MYM,paper,sell,3,34070.0,2023-06-23,close
fill_710f0937c98c,ord_bee4de161a4b,intent_0858404576e1,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2023_02,MYM,paper,buy,3,34552.0,2023-06-30,entry
fill_f598fdceaaba,ord_cca864094939,intent_6c7461a05237,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2023_02,MYM,paper,sell,3,34126.0,2023-07-07,close
fill_6026c70fc56a,ord_4d90427c1fe0,intent_8abf4e009cdc,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2023_03,MYM,paper,buy,3,34552.0,2023-07-12,entry
fill_1c8d3bf5b4fa,ord_983d8418f608,intent_53c7be48ccf4,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2023_03,MYM,paper,sell,1,35278.75,2023-07-19,target
fill_3ece61f90982,ord_5f8992da3ec5,intent_6251679c77ca,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2023_03,MYM,paper,sell,2,34171.0,2023-09-26,close
fill_9578ce8a620a,ord_7c39a22cd52b,intent_aafff4b86479,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2023_04,MYM,paper,buy,3,34552.0,2023-11-14,entry
fill_7ae4dfe14daa,ord_377b56c2053b,intent_8775e194b5c4,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2023_04,MYM,paper,sell,1,35278.75,2023-11-20,target
fill_024c58c53ef4,ord_d3aa110d9cc7,intent_da02241a9446,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2023_04,MYM,paper,sell,1,37462.0,2023-12-13,target
fill_24380a97752a,ord_d0016226e7f6,intent_93f85e4565e5,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2023_04,MYM,paper,sell,1,37968.0,2024-01-01,close
fill_429d87818179,ord_04c4a8f69574,intent_41c3ffa120e3,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2024_01,MYM,paper,buy,3,40359.0,2024-07-12,entry
fill_795485bb94fc,ord_aba99d9ee140,intent_41cd02e4aad2,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2024_01,MYM,paper,sell,1,41121.75,2024-07-16,target
fill_809a56f3cbdb,ord_a3ccbf0dfe9b,intent_59c270cfcc7c,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2024_01,MYM,paper,sell,2,39624.0,2024-08-04,close
fill_bcea7250dde2,ord_897961a7a741,intent_9ecbb6f42dfa,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2024_02,MYM,paper,buy,3,40359.0,2024-08-15,entry
fill_5a16927989c7,ord_293ff9543494,intent_50ca091fc363,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2024_02,MYM,paper,sell,1,41121.75,2024-08-22,target
fill_a4243ed31ae7,ord_ac98fc97867e,intent_f234c917f3a5,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2024_02,MYM,paper,sell,1,43413.0,2024-10-14,target
fill_acd9b5ddcfb7,ord_7c5e326d1afa,intent_9c383e2b928a,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2024_02,MYM,paper,sell,1,42887.0,2025-01-01,close
fill_69443e46ca31,ord_01ca45d6b183,intent_ae6fd31d40c9,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2025_01,MYM,paper,sell,3,40707.0,2025-04-03,entry
fill_9c30d62741cd,ord_471d29e012fd,intent_8aa51bd8b1c8,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2025_01,MYM,paper,buy,1,39578.5,2025-04-04,target
fill_6665e9f00722,ord_95eccb34d009,intent_d84f236f004b,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2025_01,MYM,paper,buy,2,41699.0,2025-05-11,close
fill_045354b1ec58,ord_3e3eba0fdbba,intent_2ddf8b0a5276,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2025_02,MYM,paper,buy,3,45227.0,2025-07-23,entry
fill_53ca2d25df78,ord_3aa95a0a96af,intent_7342d147d329,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2025_02,MYM,paper,sell,3,44752.0,2025-07-31,close
fill_dbbc8607e273,ord_bf34e4193adc,intent_f79e51fa6ba9,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2025_03,MYM,paper,buy,3,45227.0,2025-08-14,entry
fill_180c4221bac7,ord_4d6e8da40967,intent_010557a414f3,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2025_03,MYM,paper,sell,1,46355.5,2025-09-17,target
fill_7e5134638484,ord_e2d88f31e127,intent_6eb603bc5ffe,mym_yearly_orb_scaleout3_range_close_20pct,mym_yearly_orb_scaleout3_range_close_20pct_2025_03,MYM,paper,sell,2,48359.0,2026-01-01,close
