fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_0b136ca75590,ord_16cb69a0334d,intent_b7e4ed20ff82,nq_monthly_orb_restricted_scaleout3,nq_monthly_orb_restricted_scaleout3_201006_01,NQ,paper,buy,1,1845.5,2010-06-14,runner_entry
fill_4c7b5066e28a,ord_2949363c7e98,intent_6be0821ce63e,nq_monthly_orb_restricted_scaleout3,nq_monthly_orb_restricted_scaleout3_201006_01,NQ,paper,buy,1,1845.5,2010-06-14,entry
fill_e8eddd709f66,ord_a5cf764a8f04,intent_d093bfa52c80,nq_monthly_orb_restricted_scaleout3,nq_monthly_orb_restricted_scaleout3_201006_01,NQ,paper,buy,1,1845.5,2010-06-14,entry
fill_778a06a9ad9e,ord_b2ec5fb2492b,intent_9db355f8bb06,nq_monthly_orb_restricted_scaleout3,nq_monthly_orb_restricted_scaleout3_201006_01,NQ,paper,sell,1,1864.375,2010-06-14,target
fill_484351ea359d,ord_bc61e5c1c275,intent_ab59283f801c,nq_monthly_orb_restricted_scaleout3,nq_monthly_orb_restricted_scaleout3_201006_01,NQ,paper,sell,1,1921.0,2010-06-18,target
fill_baa39804290b,ord_87ca6042693c,intent_aa1f47dcc1b5,nq_monthly_orb_restricted_scaleout3,nq_monthly_orb_restricted_scaleout3_201006_01,NQ,paper,sell,1,1845.25,2010-06-24,runner_stop
fill_f8917a66e148,ord_1dfd5799e346,intent_d866be332258,nq_monthly_orb_restricted_scaleout3,nq_monthly_orb_restricted_scaleout3_201006_02,NQ,paper,sell,1,1770.0,2010-06-30,runner_entry
fill_f44b15f3f221,ord_397051f2b94c,intent_27b5911a453a,nq_monthly_orb_restricted_scaleout3,nq_monthly_orb_restricted_scaleout3_201006_02,NQ,paper,sell,1,1770.0,2010-06-30,entry
fill_2cfb894d1154,ord_5240a7bee319,intent_819454a12405,nq_monthly_orb_restricted_scaleout3,nq_monthly_orb_restricted_scaleout3_201006_02,NQ,paper,sell,1,1770.0,2010-06-30,entry
fill_44440799b114,ord_219cdd3c9779,intent_1b0ea7362388,nq_monthly_orb_restricted_scaleout3,nq_monthly_orb_restricted_scaleout3_201006_02,NQ,paper,buy,1,1751.125,2010-06-30,target
fill_e2b78e8cfb76,ord_10b29f1faec0,intent_73eaa4542b6e,nq_monthly_orb_restricted_scaleout3,nq_monthly_orb_restricted_scaleout3_201006_02,NQ,paper,buy,2,1737.5,2010-06-30,close
fill_d3227fa92b1e,ord_3fbd09b702b2,intent_b5d528a41021,nq_monthly_orb_restricted_scaleout3,nq_monthly_orb_restricted_scaleout3_201008_01,NQ,paper,buy,1,1901.75,2010-08-05,runner_entry
fill_59f9335da7a6,ord_73abab1b3fe1,intent_2c66214ae66e,nq_monthly_orb_restricted_scaleout3,nq_monthly_orb_restricted_scaleout3_201008_01,NQ,paper,buy,1,1901.75,2010-08-05,entry
fill_56693a7ecf82,ord_a9fa908e14fe,intent_c3d8e6cae831,nq_monthly_orb_restricted_scaleout3,nq_monthly_orb_restricted_scaleout3_201008_01,NQ,paper,buy,1,1901.75,2010-08-05,entry
fill_40004097f470,ord_f7185ec68919,intent_4815c6da6657,nq_monthly_orb_restricted_scaleout3,nq_monthly_orb_restricted_scaleout3_201008_01,NQ,paper,sell,1,1911.0625,2010-08-05,target
fill_834f4110a7e6,ord_ba2c845d9737,intent_1c4944b334eb,nq_monthly_orb_restricted_scaleout3,nq_monthly_orb_restricted_scaleout3_201008_01,NQ,paper,sell,1,1864.25,2010-08-11,stop
fill_f171cd80bfb6,ord_d535c96a6ced,intent_2718f27c74ee,nq_monthly_orb_restricted_scaleout3,nq_monthly_orb_restricted_scaleout3_201008_01,NQ,paper,sell,1,1864.25,2010-08-11,runner_stop
fill_149737647f3b,ord_097c72be1d57,intent_54e0c71b9bcf,nq_monthly_orb_restricted_scaleout3,nq_monthly_orb_restricted_scaleout3_201010_01,NQ,paper,buy,1,2015.5,2010-10-06,entry
fill_d488e2edebaa,ord_1aaec6261515,intent_640ef84f885e,nq_monthly_orb_restricted_scaleout3,nq_monthly_orb_restricted_scaleout3_201010_01,NQ,paper,buy,1,2015.5,2010-10-06,entry
