verification_id,intent_id,strategy_id,account_mode,status,challenge,created_at,approved_at
verify_697a85ee1b61,intent_36071ddfe018,nq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-dfe018,2026-05-21T03:24:17Z,2026-05-21T03:24:17Z
verify_9efb1de19b50,intent_3ac6f64d251a,nq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-4d251a,2026-05-21T03:24:17Z,2026-05-21T03:24:17Z
verify_59ce79f6be06,intent_1ca96c3d3063,nq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-3d3063,2026-05-21T03:24:17Z,2026-05-21T03:24:17Z
verify_3c831b9f2cb3,intent_fd3480e492e0,nq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-e492e0,2026-05-21T03:24:17Z,2026-05-21T03:24:17Z
verify_68d450aa4aa1,intent_e406dea10050,nq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-a10050,2026-05-21T03:24:17Z,2026-05-21T03:24:17Z
verify_43765bc4d56a,intent_543672f2b94a,nq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-f2b94a,2026-05-21T03:24:17Z,2026-05-21T03:24:17Z
verify_03b70b36962f,intent_788b94e59d5b,nq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-e59d5b,2026-05-21T03:24:17Z,2026-05-21T03:24:17Z
verify_38ab5d078ca9,intent_b65c155649f7,nq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-5649f7,2026-05-21T03:24:17Z,2026-05-21T03:24:17Z
verify_0027e53551c1,intent_bb559316fcbc,nq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-16fcbc,2026-05-21T03:24:17Z,2026-05-21T03:24:17Z
verify_8ddea8a2f4f4,intent_0cc298840c44,nq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-840c44,2026-05-21T03:24:17Z,2026-05-21T03:24:17Z
