fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_286be3b3784b,ord_f7bf534f375e,intent_31d3436d831b,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_01,NQ,paper,buy,3,2403.25,2011-04-27,entry
fill_afd59b7ffe3d,ord_1eab9325ec33,intent_ad9f5172de32,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_01,NQ,paper,sell,3,2361.0,2011-05-16,close
fill_e6c0aeed42aa,ord_e3fe26d72f3b,intent_7dd81f16e5c3,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_02,NQ,paper,sell,3,2185.5,2011-06-16,entry
fill_64ef9f9950dc,ord_0656131494a0,intent_de919f3ec45d,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_02,NQ,paper,buy,3,2204.25,2011-06-21,close
fill_f774511af044,ord_e5b578f8ba4b,intent_ddfde088fc00,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_03,NQ,paper,buy,3,2403.25,2011-07-07,entry
fill_2a84224f66b1,ord_284e900b6cc2,intent_b60c94524416,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_03,NQ,paper,sell,3,2351.25,2011-07-11,stop
fill_6c089e857c0a,ord_8a507cbe8355,intent_c04d30a9958b,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_04,NQ,paper,buy,3,2403.25,2011-07-19,entry
fill_14ea93205de1,ord_8c545472a902,intent_a0f10fb22138,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_04,NQ,paper,sell,3,2421.0,2011-07-27,close
fill_2448bca300a9,ord_5be4da5031f4,intent_a9a580c75f2d,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_05,NQ,paper,sell,3,2185.5,2011-08-05,entry
fill_35fec570441c,ord_eba3cfc25193,intent_a221879ee9a2,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_05,NQ,paper,buy,1,2131.4375,2011-08-07,target
fill_30c84aeb2f7e,ord_19a211daa1b2,intent_3034bc924b79,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_05,NQ,paper,buy,2,2223.75,2011-08-31,close
fill_830be1d43076,ord_0ef17de54f25,intent_f5074c5a2495,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_06,NQ,paper,sell,3,2185.5,2011-09-02,entry
fill_3d9571593626,ord_77e12ca3da89,intent_41d775c1feb7,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_06,NQ,paper,buy,1,2131.4375,2011-09-05,target
fill_1bbfb0cc640f,ord_ddbddeb8678e,intent_18de8bfc6e95,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_06,NQ,paper,buy,2,2268.75,2011-09-14,stop
fill_ce7d00e8f042,ord_bae7c5ef0ccb,intent_1677b65e94c8,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_07,NQ,paper,sell,3,2185.5,2011-09-22,entry
fill_786bb5b4ba47,ord_b43f24a9a9b6,intent_d4c13a841b0e,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_07,NQ,paper,buy,3,2222.25,2011-09-27,close
fill_2bc61541cd44,ord_41dfdfcf1c20,intent_da99cf2b0385,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_08,NQ,paper,sell,3,2185.5,2011-09-29,entry
fill_107cbe3a2db3,ord_c4c3ee2b6163,intent_8b6ddbb24942,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_08,NQ,paper,buy,1,2131.4375,2011-09-30,target
fill_4b5efd02c092,ord_1f2529596bb5,intent_e4c706795e97,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_08,NQ,paper,buy,2,2217.75,2011-10-10,close
fill_3e5a82469360,ord_246ff012f713,intent_8a948c846229,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_09,NQ,paper,buy,3,2403.25,2011-10-27,entry
fill_6642f6457cb1,ord_9980d15bebaa,intent_d8a4c2f11a98,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_09,NQ,paper,sell,3,2386.25,2011-10-31,close
fill_4543bfe6c75f,ord_555871b77e15,intent_a895f3dc5058,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_10,NQ,paper,sell,3,2185.5,2011-11-23,entry
fill_eb89eda7a3d6,ord_4f0261bf02a8,intent_b25439fcceba,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_10,NQ,paper,buy,3,2205.25,2011-11-30,close
fill_3387ed03d4b8,ord_3ba0d697ec7a,intent_0ca1365b0ac7,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2012_01,NQ,paper,buy,3,2790.5,2012-04-03,entry
fill_038584c2f303,ord_67fe64494680,intent_c4690ff524bc,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2012_01,NQ,paper,sell,3,2736.75,2012-04-04,stop
fill_cfb4a58a4ee3,ord_ae18d9c54714,intent_e4af5d3b0f0a,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2012_02,NQ,paper,buy,3,2790.5,2012-08-21,entry
fill_7b3444242881,ord_e9be73a3c257,intent_ed34e1ed61ae,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2012_02,NQ,paper,sell,3,2718.25,2012-10-10,stop
fill_98fc83f09888,ord_0166ce38e055,intent_ed1bcce35ba2,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2013_01,NQ,paper,buy,3,2817.25,2013-04-02,entry
fill_a63002d95572,ord_3a33d40bfd8c,intent_d8a33eb687bf,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2013_01,NQ,paper,sell,3,2814.0,2013-04-03,close
fill_2806239b6fba,ord_fcceed8b6a18,intent_0e1cd6755579,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2013_02,NQ,paper,buy,3,2817.25,2013-04-10,entry
fill_3a547dd3404b,ord_57df436649c0,intent_397a2acc3dad,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2013_02,NQ,paper,sell,1,2849.6875,2013-04-11,target
fill_26f2de50388a,ord_2159f6bff721,intent_498041409ed0,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2013_02,NQ,paper,sell,2,2824.0,2013-04-17,close
fill_a90a94a67f69,ord_f70092f19b5d,intent_4459b9042284,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2013_03,NQ,paper,buy,3,2817.25,2013-04-23,entry
fill_be20e4c88eca,ord_c3805704edfe,intent_5ef63409b98c,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2013_03,NQ,paper,sell,1,2849.6875,2013-04-25,target
fill_80741cf8bf99,ord_561dfcebff63,intent_44a5e98fac8c,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2013_03,NQ,paper,sell,1,2947.75,2013-05-03,target
fill_8030a2ee49ef,ord_15543d1212fc,intent_10a9f4b91675,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2013_03,NQ,paper,sell,1,3575.5,2014-01-02,close
fill_1237bf167b1e,ord_94441e3b54ec,intent_38106791f859,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2014_01,NQ,paper,sell,3,3411.75,2014-04-15,entry
fill_6a6417bdc844,ord_323b10e706f4,intent_22f5447664a9,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2014_01,NQ,paper,buy,3,3471.0,2014-04-15,close
fill_a11f69ed7946,ord_c22eaa444fda,intent_8c3649f1f971,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2014_02,NQ,paper,buy,3,3740.75,2014-05-30,entry
fill_fbee866dbad4,ord_ba28ca3f52a5,intent_f9b91fb8e526,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2014_02,NQ,paper,sell,1,3822.625,2014-06-24,target
fill_feb92a8bd561,ord_4ff208f80ca3,intent_6c1ff50d68ac,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2014_02,NQ,paper,sell,1,4069.0,2014-08-25,target
fill_c80044aff030,ord_4aff8080ed36,intent_35e1449ed386,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2014_02,NQ,paper,sell,1,3740.5,2014-10-15,stop
fill_9e3085cd60cf,ord_a3dbb0de6c7d,intent_97fb0638c9d9,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2014_03,NQ,paper,buy,3,3750.5,2014-10-16,entry
fill_115ddaa1250d,ord_8678c95cf239,intent_e4c3ec3b4ab7,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2014_03,NQ,paper,sell,1,3822.625,2014-10-17,target
fill_1d770596175f,ord_f6e3d6873394,intent_9ad8b51929c0,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2014_03,NQ,paper,sell,1,4069.0,2014-10-28,target
fill_3329aa17f677,ord_ae7bb81eadf8,intent_1439e3d89767,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2014_03,NQ,paper,sell,1,4240.0,2015-01-01,close
fill_3786b09f079b,ord_cd79c1099e3e,intent_2527a948ae9a,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2015_01,NQ,paper,buy,3,4483.5,2015-04-23,entry
fill_8d75e795e799,ord_6ddd679db32f,intent_9a8fde88ecda,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2015_01,NQ,paper,sell,3,4410.75,2015-05-06,close
fill_b2b67b07852a,ord_3fb723e9a7f7,intent_a7f19d3a589a,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2015_02,NQ,paper,buy,3,4483.5,2015-05-14,entry
fill_08d7a4b3e34f,ord_07fa90c0e683,intent_62a291a22c00,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2015_02,NQ,paper,sell,3,4374.25,2015-06-29,stop
fill_fee2fca822b3,ord_8436211a2baf,intent_234b6ff6fcf7,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2015_03,NQ,paper,buy,3,4483.5,2015-07-13,entry
fill_7309a4c4e6e1,ord_abaf70e93706,intent_b263a1eb2533,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2015_03,NQ,paper,sell,1,4593.6875,2015-07-16,target
fill_317e8acfe336,ord_6296363552ea,intent_7bb217f06ec3,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2015_03,NQ,paper,sell,2,4505.25,2015-08-20,close
fill_da7853dd9202,ord_dc1e1c01d850,intent_9946e08cbef8,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2015_04,NQ,paper,sell,3,4041.25,2015-08-24,entry
fill_f2098d88c8dd,ord_cd9f4d63d331,intent_05b7ecb4b3f0,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2015_04,NQ,paper,buy,3,3961.5,2015-08-26,close
fill_e2771b043db7,ord_d046830605bf,intent_b8a214b964f5,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2015_05,NQ,paper,sell,3,4041.25,2015-09-29,entry
fill_0bdc19b5b15b,ord_b6737d82902a,intent_2de37e70ecf0,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2015_05,NQ,paper,buy,3,4076.75,2015-09-30,close
fill_a9b5f5ed1c53,ord_89f969b71e3b,intent_f1f465514ae0,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2015_06,NQ,paper,buy,3,4483.5,2015-10-22,entry
fill_b9a947362137,ord_1fa690e14b2c,intent_c393f485da23,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2015_06,NQ,paper,sell,1,4593.6875,2015-10-23,target
fill_a023b31e3d08,ord_df0bae43053d,intent_11919f9d8646,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2015_06,NQ,paper,sell,2,4592.25,2016-01-03,close
fill_43079c48a79e,ord_244c99207bcb,intent_4cd9d07106ed,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2016_01,NQ,paper,buy,3,4607.0,2016-07-14,entry
fill_496e4f24a235,ord_e15637695ff0,intent_c4e2e1323528,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2016_01,NQ,paper,sell,1,4792.875,2016-08-05,target
fill_6b0c4dc1a413,ord_5e3f89efc4e2,intent_c8377e4ffe7c,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2016_01,NQ,paper,sell,2,4876.5,2017-01-02,close
fill_c2eaee928847,ord_8b019d246bfb,intent_180097d781a6,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2017_01,NQ,paper,buy,3,5453.0,2017-04-03,entry
fill_79d3a8fe8e94,ord_aa00bf565f4d,intent_563cbd696987,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2017_01,NQ,paper,sell,3,5420.75,2017-04-04,stop
fill_8ebc9f2cde05,ord_9e6f17d86de6,intent_c1ac4ec51b09,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2017_02,NQ,paper,buy,3,5453.0,2017-04-05,entry
fill_de88caf7eea5,ord_56ebbe4fea47,intent_a01b56faa2dd,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2017_02,NQ,paper,sell,3,5411.0,2017-04-06,stop
fill_d9f3b2bb384b,ord_d58467f49d8f,intent_04725e5d36cc,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2017_03,NQ,paper,buy,3,5453.0,2017-04-20,entry
fill_380829a95e45,ord_f741e6a51dd1,intent_49a86cd6a848,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2017_03,NQ,paper,sell,1,5596.75,2017-04-27,target
fill_e98dc3bcd384,ord_11adf2437b40,intent_65d4c0b9f405,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2017_03,NQ,paper,sell,1,6028.75,2017-10-05,target
fill_04b6b07f0a2f,ord_2165d8ff4981,intent_517db2bc0566,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2017_03,NQ,paper,sell,1,6404.75,2018-01-01,close
fill_8c45eaf2eb3e,ord_a80fe94ca4f7,intent_da7dc83d4e41,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2018_01,NQ,paper,buy,3,7214.75,2018-06-06,entry
fill_cbaa9f1a9d0e,ord_26fa746d86c9,intent_fb32f3415220,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2018_01,NQ,paper,sell,1,7477.125,2018-07-24,target
fill_24c5e3c4710f,ord_2c13a6065708,intent_95bd2ede0955,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2018_01,NQ,paper,sell,2,6890.25,2018-10-24,stop
fill_e4358c8b0072,ord_9acf3860d538,intent_bc5f3093a698,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2018_02,NQ,paper,buy,3,7214.75,2018-11-07,entry
fill_b8bd28eb0987,ord_ef4d7bfbd0c6,intent_758aa4b459a3,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2018_02,NQ,paper,sell,3,6864.75,2018-11-12,stop
fill_1c1caed5267c,ord_d25c1436bf30,intent_08b67fb2a5a1,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2018_03,NQ,paper,sell,3,6163.75,2018-12-21,entry
fill_e95000e54950,ord_06f6730471ae,intent_a65d1581e591,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2018_03,NQ,paper,buy,1,5901.375,2018-12-24,target
fill_ae304a32d013,ord_b82e96f2724e,intent_af177516f772,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2018_03,NQ,paper,buy,2,6349.75,2019-01-01,close
fill_5ac676694a6e,ord_7ee90f161fea,intent_8eb543a74bf0,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2019_01,NQ,paper,buy,3,7545.0,2019-04-03,entry
fill_90a22c44cdb8,ord_91aedb0a4f79,intent_4b5b4ac8edb2,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2019_01,NQ,paper,sell,3,7275.75,2019-05-23,stop
fill_08444b39ad5e,ord_8e8e4b499571,intent_b5803e402fb6,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2019_02,NQ,paper,buy,3,7545.0,2019-06-10,entry
fill_36ab5f497cf4,ord_0429444d5142,intent_455dd0ae69a0,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2019_02,NQ,paper,sell,1,7896.8125,2019-07-03,target
fill_6ea91aff5f92,ord_ce1d84cdae0a,intent_f71be5f94832,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2019_02,NQ,paper,sell,2,7681.5,2019-08-05,close
fill_301b36f30b75,ord_1e4a593574f1,intent_9bd3412565cb,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2019_03,NQ,paper,buy,3,7545.0,2019-08-07,entry
fill_e49bcccb8da9,ord_be3fff7c8522,intent_a3d8d8ea181d,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2019_03,NQ,paper,sell,3,7420.75,2019-08-15,stop
fill_0002e8156d31,ord_bf6ccc508cbd,intent_43a3b032a48e,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2019_04,NQ,paper,buy,3,7545.0,2019-08-16,entry
fill_0ed106cb9e48,ord_5a8d32496ef5,intent_9e2a8c6e80fc,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2019_04,NQ,paper,sell,3,7420.75,2019-08-25,stop
fill_d39a2de6ce1c,ord_298e9610ed76,intent_cec629b04718,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2019_05,NQ,paper,buy,3,7545.0,2019-08-26,entry
fill_b2105de5acc1,ord_d1b0adf9b574,intent_2aee31abd52b,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2019_05,NQ,paper,sell,1,7896.8125,2019-09-11,target
fill_af8d3eac7671,ord_8b2d95034427,intent_41f4480e804c,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2019_05,NQ,paper,sell,2,8776.5,2020-01-01,close
fill_1410e6f6311b,ord_c64f82703f7c,intent_0df85fbb8fa5,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2020_01,NQ,paper,buy,3,9763.25,2020-06-05,entry
fill_dcbb0eb3e4c9,ord_15c16178d3fa,intent_73b1b0bf1a8f,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2020_01,NQ,paper,sell,1,10546.5625,2020-07-06,target
fill_5bdd381079d7,ord_c43e97a299a6,intent_90357446467c,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2020_01,NQ,paper,sell,1,12897.25,2020-12-29,target
fill_ec613cc80258,ord_4a4e62dc68e1,intent_30d36635a578,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2020_01,NQ,paper,sell,1,12888.75,2021-01-03,close
fill_8a79d4394e6b,ord_9d9257644fb7,intent_7c0480fc9f88,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2021_01,NQ,paper,buy,3,13900.75,2021-04-13,entry
fill_fe6af7bb2a8f,ord_c88ed0ff2184,intent_9856f6b922e1,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2021_01,NQ,paper,sell,3,13512.25,2021-05-04,stop
