intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_31d3436d831b,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_01,NQ,paper,buy,stop,3,,2403.0,long_oco_entry,submitted,true,verify_e6f6ea54817c,,false,entry,,,nq_yearly_orb_scaleout3_range_close_20pct_2011_01_entry_oco,GTC,2011-04-01,2011-12-31T23:59:59,2026-05-21T03:23:35Z,2026-05-21T03:23:35Z
intent_265ef56bd3f6,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_01,NQ,paper,sell,stop,3,,2185.75,short_oco_entry,submitted,true,verify_a3d466bb02ea,,false,entry,,,nq_yearly_orb_scaleout3_range_close_20pct_2011_01_entry_oco,GTC,2011-04-01,2011-12-31T23:59:59,2026-05-21T03:23:35Z,2026-05-21T03:23:35Z
intent_8ee122dfece8,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_01,NQ,paper,sell,stop,3,,2250.25,protective_stop,submitted,false,,,true,stop,,,,GTC,2011-04-27,,2026-05-21T03:23:35Z,2026-05-21T03:23:35Z
intent_77e9fb163c97,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_01,NQ,paper,sell,limit,1,2457.3125,,target,submitted,false,,,true,target,,,,GTC,2011-04-27,,2026-05-21T03:23:35Z,2026-05-21T03:23:35Z
intent_6d2380ae5787,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_01,NQ,paper,sell,limit,1,2620.25,,target,submitted,false,,,true,target,,,,GTC,2011-04-27,,2026-05-21T03:23:35Z,2026-05-21T03:23:35Z
intent_ad9f5172de32,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_01,NQ,paper,sell,market,3,,,range_close,submitted,false,,,true,close,,,,GTC,,,2026-05-21T03:23:35Z,2026-05-21T03:23:35Z
intent_a3b566628dd1,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_02,NQ,paper,buy,stop,3,,2403.0,long_oco_entry,submitted,true,verify_0ce1637ed669,,false,entry,,,nq_yearly_orb_scaleout3_range_close_20pct_2011_02_entry_oco,GTC,2011-05-17,2011-12-31T23:59:59,2026-05-21T03:23:35Z,2026-05-21T03:23:35Z
intent_7dd81f16e5c3,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_02,NQ,paper,sell,stop,3,,2185.75,short_oco_entry,submitted,true,verify_304f91b7a843,,false,entry,,,nq_yearly_orb_scaleout3_range_close_20pct_2011_02_entry_oco,GTC,2011-05-17,2011-12-31T23:59:59,2026-05-21T03:23:35Z,2026-05-21T03:23:35Z
intent_b9a555492d3c,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_02,NQ,paper,buy,stop,3,,2252.75,protective_stop,submitted,false,,,true,stop,,,,GTC,2011-06-16,,2026-05-21T03:23:35Z,2026-05-21T03:23:35Z
intent_882d3890d6d8,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_02,NQ,paper,buy,limit,1,2131.4375,,target,submitted,false,,,true,target,,,,GTC,2011-06-16,,2026-05-21T03:23:35Z,2026-05-21T03:23:35Z
intent_66f1edc4373d,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_02,NQ,paper,buy,limit,1,1968.5,,target,submitted,false,,,true,target,,,,GTC,2011-06-16,,2026-05-21T03:23:35Z,2026-05-21T03:23:35Z
intent_de919f3ec45d,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_02,NQ,paper,buy,market,3,,,range_close,submitted,false,,,true,close,,,,GTC,,,2026-05-21T03:23:35Z,2026-05-21T03:23:35Z
intent_ddfde088fc00,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_03,NQ,paper,buy,stop,3,,2403.0,long_oco_entry,submitted,true,verify_7c1dde9e656c,,false,entry,,,nq_yearly_orb_scaleout3_range_close_20pct_2011_03_entry_oco,GTC,2011-06-22,2011-12-31T23:59:59,2026-05-21T03:23:35Z,2026-05-21T03:23:35Z
intent_4b7f679c47da,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_03,NQ,paper,sell,stop,3,,2185.75,short_oco_entry,submitted,true,verify_d505604bf531,,false,entry,,,nq_yearly_orb_scaleout3_range_close_20pct_2011_03_entry_oco,GTC,2011-06-22,2011-12-31T23:59:59,2026-05-21T03:23:35Z,2026-05-21T03:23:35Z
intent_b60c94524416,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_03,NQ,paper,sell,stop,3,,2351.5,protective_stop,submitted,false,,,true,stop,,,,GTC,2011-07-07,,2026-05-21T03:23:35Z,2026-05-21T03:23:35Z
intent_e4630cb3e898,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_03,NQ,paper,sell,limit,1,2457.3125,,target,submitted,false,,,true,target,,,,GTC,2011-07-07,,2026-05-21T03:23:35Z,2026-05-21T03:23:35Z
intent_05de3dbd2b4f,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_03,NQ,paper,sell,limit,1,2620.25,,target,submitted,false,,,true,target,,,,GTC,2011-07-07,,2026-05-21T03:23:35Z,2026-05-21T03:23:35Z
intent_c04d30a9958b,nq_yearly_orb_scaleout3_range_close_20pct,nq_yearly_orb_scaleout3_range_close_20pct_2011_04,NQ,paper,buy,stop,3,,2403.0,long_oco_entry,submitted,true,verify_d25c455466c9,,false,entry,,,nq_yearly_orb_scaleout3_range_close_20pct_2011_04_entry_oco,GTC,2011-07-11,2011-12-31T23:59:59,2026-05-21T03:23:35Z,2026-05-21T03:23:35Z
