alert_id,strategy_id,level,message,payload_json,status,created_at
alert_92d6d1787390,ym_atr_weekly_2initial_3add_6max,order_submitted,ATR Supertrend intent created,{},sent,2026-06-29T16:07:13Z
alert_a1eeeda138bf,ym_atr_weekly_2initial_3add_6max,order_submitted,Submitted buy 2 YM,{},sent,2026-06-29T16:07:13Z
alert_004bc4cc2a6b,ym_atr_weekly_2initial_3add_6max,order_submitted,ATR Supertrend intent created,{},sent,2026-06-29T16:07:13Z
alert_31f0efc0f030,ym_atr_weekly_2initial_3add_6max,order_submitted,Submitted buy 3 YM,{},sent,2026-06-29T16:07:13Z
alert_1826a50ec7b1,ym_atr_weekly_2initial_3add_6max,order_submitted,ATR Supertrend intent created,{},sent,2026-06-29T16:07:13Z
alert_a533601170fe,ym_atr_weekly_2initial_3add_6max,order_submitted,Submitted buy 1 YM,{},sent,2026-06-29T16:07:13Z
alert_2b629a86d80c,ym_atr_weekly_2initial_3add_6max,order_submitted,ATR Supertrend intent created,{},sent,2026-06-29T16:07:13Z
alert_2060a9d947ef,ym_atr_weekly_2initial_3add_6max,order_submitted,Submitted sell 6 YM,{},sent,2026-06-29T16:07:13Z
alert_f1c62a45b720,ym_atr_weekly_2initial_3add_6max,order_submitted,ATR Supertrend intent created,{},sent,2026-06-29T16:07:13Z
alert_cf7c9595994c,ym_atr_weekly_2initial_3add_6max,order_submitted,Submitted buy 2 YM,{},sent,2026-06-29T16:07:13Z
alert_8b2415a54a09,ym_atr_weekly_2initial_3add_6max,order_submitted,ATR Supertrend intent created,{},sent,2026-06-29T16:07:13Z
alert_63e4bd4e6f5e,ym_atr_weekly_2initial_3add_6max,order_submitted,Submitted buy 3 YM,{},sent,2026-06-29T16:07:13Z
alert_a57bffafc0e7,ym_atr_weekly_2initial_3add_6max,order_submitted,ATR Supertrend intent created,{},sent,2026-06-29T16:07:13Z
alert_725859558405,ym_atr_weekly_2initial_3add_6max,order_submitted,Submitted buy 1 YM,{},sent,2026-06-29T16:07:13Z
alert_1bf9369bfac7,ym_atr_weekly_2initial_3add_6max,order_submitted,ATR Supertrend intent created,{},sent,2026-06-29T16:07:20Z
alert_25a1e4a75d6c,ym_atr_weekly_2initial_3add_6max,order_submitted,Submitted sell 6 YM,{},sent,2026-06-29T16:07:20Z
alert_9f71a77c8c02,ym_atr_weekly_2initial_3add_6max,order_submitted,ATR Supertrend intent created,{},sent,2026-06-29T16:07:21Z
alert_f5587b65a1d0,ym_atr_weekly_2initial_3add_6max,order_submitted,Submitted buy 2 YM,{},sent,2026-06-29T16:07:21Z
alert_c941a0217ccc,ym_atr_weekly_2initial_3add_6max,order_submitted,ATR Supertrend intent created,{},sent,2026-06-29T16:07:21Z
alert_fcf10d0e88ef,ym_atr_weekly_2initial_3add_6max,order_submitted,Submitted sell 2 YM,{},sent,2026-06-29T16:07:21Z
alert_47ab9a2acd91,ym_atr_weekly_2initial_3add_6max,order_submitted,ATR Supertrend intent created,{},sent,2026-06-29T16:07:21Z
alert_c0ba1f732f89,ym_atr_weekly_2initial_3add_6max,order_submitted,Submitted buy 2 YM,{},sent,2026-06-29T16:07:21Z
alert_764f1f9e3c85,ym_atr_weekly_2initial_3add_6max,order_submitted,ATR Supertrend intent created,{},sent,2026-06-29T16:07:21Z
alert_7cc69b4b8bda,ym_atr_weekly_2initial_3add_6max,order_submitted,Submitted sell 2 YM,{},sent,2026-06-29T16:07:21Z
alert_543809b9e93b,ym_atr_weekly_2initial_3add_6max,order_submitted,ATR Supertrend intent created,{},sent,2026-06-29T16:07:21Z
alert_986fbb3e87bd,ym_atr_weekly_2initial_3add_6max,order_submitted,Submitted buy 2 YM,{},sent,2026-06-29T16:07:21Z
alert_0247e72bc6fa,ym_atr_weekly_2initial_3add_6max,order_submitted,ATR Supertrend intent created,{},sent,2026-06-29T16:07:21Z
alert_ec447cb7c06f,ym_atr_weekly_2initial_3add_6max,order_submitted,Submitted sell 2 YM,{},sent,2026-06-29T16:07:21Z
