verification_id,intent_id,strategy_id,account_mode,status,challenge,created_at,approved_at
verify_b732215c7a9a,intent_f204041f9f5c,ym_atr_weekly_2initial_3add_6max,paper,approved,SPOOF-1f9f5c,2026-06-29T16:07:13Z,2026-06-29T16:07:13Z
verify_4465331503d5,intent_87e3762b8d17,ym_atr_weekly_2initial_3add_6max,paper,approved,SPOOF-2b8d17,2026-06-29T16:07:13Z,2026-06-29T16:07:13Z
verify_f058a4b51fdd,intent_a1b17852011b,ym_atr_weekly_2initial_3add_6max,paper,approved,SPOOF-52011b,2026-06-29T16:07:13Z,2026-06-29T16:07:13Z
verify_1b56855dd7c6,intent_dd7deb1de061,ym_atr_weekly_2initial_3add_6max,paper,approved,SPOOF-1de061,2026-06-29T16:07:13Z,2026-06-29T16:07:13Z
verify_cd4982c04d21,intent_61b3132b0ecc,ym_atr_weekly_2initial_3add_6max,paper,approved,SPOOF-2b0ecc,2026-06-29T16:07:13Z,2026-06-29T16:07:13Z
verify_458707ccaa60,intent_6eb0a4c282ac,ym_atr_weekly_2initial_3add_6max,paper,approved,SPOOF-c282ac,2026-06-29T16:07:13Z,2026-06-29T16:07:13Z
verify_ddb412a6aa1a,intent_634f67a42c75,ym_atr_weekly_2initial_3add_6max,paper,approved,SPOOF-a42c75,2026-06-29T16:07:21Z,2026-06-29T16:07:21Z
verify_93254a5fdd1b,intent_19dea280d3f6,ym_atr_weekly_2initial_3add_6max,paper,approved,SPOOF-80d3f6,2026-06-29T16:07:21Z,2026-06-29T16:07:21Z
verify_a170fc3b9fe0,intent_7b79d7a5f203,ym_atr_weekly_2initial_3add_6max,paper,approved,SPOOF-a5f203,2026-06-29T16:07:21Z,2026-06-29T16:07:21Z
verify_35c3797bc94b,intent_a583debea82d,ym_atr_weekly_2initial_3add_6max,paper,approved,SPOOF-bea82d,2026-06-29T16:07:22Z,2026-06-29T16:07:22Z
verify_de15d3d821cc,intent_596939382be3,ym_atr_weekly_2initial_3add_6max,paper,approved,SPOOF-382be3,2026-06-29T16:07:22Z,2026-06-29T16:07:22Z
verify_23cac48ebe68,intent_35eaa9e78114,ym_atr_weekly_2initial_3add_6max,paper,approved,SPOOF-e78114,2026-06-29T16:07:22Z,2026-06-29T16:07:22Z
verify_066f2ce3bbd3,intent_5d77ce4596c3,ym_atr_weekly_2initial_3add_6max,paper,approved,SPOOF-4596c3,2026-06-29T16:07:22Z,2026-06-29T16:07:22Z
verify_8300b4a6effd,intent_ec4c8af6c09f,ym_atr_weekly_2initial_3add_6max,paper,approved,SPOOF-f6c09f,2026-06-29T16:07:22Z,2026-06-29T16:07:22Z
verify_072466e598bd,intent_a03086ca9270,ym_atr_weekly_2initial_3add_6max,paper,approved,SPOOF-ca9270,2026-06-29T16:07:22Z,2026-06-29T16:07:22Z
verify_170d19a728dd,intent_c2c04c495cce,ym_atr_weekly_2initial_3add_6max,paper,approved,SPOOF-495cce,2026-06-29T16:07:22Z,2026-06-29T16:07:22Z
verify_32af14795949,intent_2b2d89c3eb47,ym_atr_weekly_2initial_3add_6max,paper,approved,SPOOF-c3eb47,2026-06-29T16:07:23Z,2026-06-29T16:07:23Z
