verification_id,intent_id,strategy_id,account_mode,status,challenge,created_at,approved_at
verify_456ad79a2f78,intent_324cf1a32427,ym_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-a32427,2026-06-29T16:04:22Z,2026-06-29T16:04:22Z
verify_32f8b4cdbf29,intent_e82740a8a268,ym_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-a8a268,2026-06-29T16:04:22Z,2026-06-29T16:04:22Z
verify_69a01c90d7d0,intent_6cf9014a13ae,ym_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-4a13ae,2026-06-29T16:04:22Z,2026-06-29T16:04:22Z
verify_5a9427af020a,intent_481624a76dbc,ym_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-a76dbc,2026-06-29T16:04:22Z,2026-06-29T16:04:22Z
verify_6e95d7f80a2a,intent_3bbffcae14b2,ym_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-ae14b2,2026-06-29T16:04:22Z,2026-06-29T16:04:22Z
verify_98d5ec6cca60,intent_e86221809e68,ym_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-809e68,2026-06-29T16:04:22Z,2026-06-29T16:04:22Z
verify_525cd61e1d0c,intent_cb817cb85c4a,ym_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-b85c4a,2026-06-29T16:04:22Z,2026-06-29T16:04:22Z
verify_64b2a3420cf7,intent_50549284cc31,ym_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-84cc31,2026-06-29T16:04:22Z,2026-06-29T16:04:22Z
verify_31c234659c16,intent_0774219fdfea,ym_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-9fdfea,2026-06-29T16:04:22Z,2026-06-29T16:04:22Z
verify_eb6fd3519d8e,intent_b1f4d2cf456a,ym_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-cf456a,2026-06-29T16:04:22Z,2026-06-29T16:04:22Z
verify_ce383154ceaa,intent_73d93b682d4e,ym_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-682d4e,2026-06-29T16:04:22Z,2026-06-29T16:04:22Z
