intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_4eb1490bc247,ym_monthly_orb_restricted_scaleout3_boundary_stop,ym_monthly_orb_restricted_scaleout3_boundary_stop_201006_01,YM,paper,buy,stop,3,,9975.0,long_boundary_stop_entry,submitted,true,verify_d226c656e66a,,false,entry,,,ym_monthly_orb_restricted_scaleout3_boundary_stop_201006_01_entry_oco,GTC,2010-06-08,2010-07-01T00:00:00,2026-05-21T04:08:44Z,2026-05-21T04:08:44Z
intent_d1efbf67d676,ym_monthly_orb_restricted_scaleout3_boundary_stop,ym_monthly_orb_restricted_scaleout3_boundary_stop_201006_01,YM,paper,sell,stop,3,,9673.0,short_boundary_stop_entry,submitted,true,verify_650c26fb9a96,,false,entry,,,ym_monthly_orb_restricted_scaleout3_boundary_stop_201006_01_entry_oco,GTC,2010-06-08,2010-07-01T00:00:00,2026-05-21T04:08:44Z,2026-05-21T04:08:44Z
intent_21a9fcbd6790,ym_monthly_orb_restricted_scaleout3_boundary_stop,ym_monthly_orb_restricted_scaleout3_boundary_stop_201006_01,YM,paper,sell,stop,3,,9673.0,long_protective_stop,submitted,false,,,true,stop,,,,GTC,2010-06-09,,2026-05-21T04:08:44Z,2026-05-21T04:08:44Z
intent_21c1a59c6b03,ym_monthly_orb_restricted_scaleout3_boundary_stop,ym_monthly_orb_restricted_scaleout3_boundary_stop_201006_01,YM,paper,sell,limit,1,10050.5,,target,submitted,false,,,true,target,,,,GTC,2010-06-09,,2026-05-21T04:08:44Z,2026-05-21T04:08:44Z
intent_e79562e7222b,ym_monthly_orb_restricted_scaleout3_boundary_stop,ym_monthly_orb_restricted_scaleout3_boundary_stop_201006_01,YM,paper,sell,limit,1,10277.0,,target,submitted,false,,,true,target,,,,GTC,2010-06-09,,2026-05-21T04:08:44Z,2026-05-21T04:08:44Z
intent_203acc346a45,ym_monthly_orb_restricted_scaleout3_boundary_stop,ym_monthly_orb_restricted_scaleout3_boundary_stop_201006_02,YM,paper,buy,stop,3,,9975.0,long_boundary_stop_entry,submitted,true,verify_bfbabb4a905e,,false,entry,,,ym_monthly_orb_restricted_scaleout3_boundary_stop_201006_02_entry_oco,GTC,2010-06-29,2010-07-01T00:00:00,2026-05-21T04:08:44Z,2026-05-21T04:08:44Z
intent_8d791fe82e98,ym_monthly_orb_restricted_scaleout3_boundary_stop,ym_monthly_orb_restricted_scaleout3_boundary_stop_201006_02,YM,paper,sell,stop,3,,9673.0,short_boundary_stop_entry,submitted,true,verify_6663825172e7,,false,entry,,,ym_monthly_orb_restricted_scaleout3_boundary_stop_201006_02_entry_oco,GTC,2010-06-29,2010-07-01T00:00:00,2026-05-21T04:08:44Z,2026-05-21T04:08:44Z
intent_a7f9bf56bc63,ym_monthly_orb_restricted_scaleout3_boundary_stop,ym_monthly_orb_restricted_scaleout3_boundary_stop_201007_01,YM,paper,buy,stop,3,,9753.0,long_boundary_stop_entry,submitted,true,verify_c792acc3643d,,false,entry,,,ym_monthly_orb_restricted_scaleout3_boundary_stop_201007_01_entry_oco,GTC,2010-07-04,2010-08-01T00:00:00,2026-05-21T04:08:44Z,2026-05-21T04:08:44Z
intent_d7c94fecff34,ym_monthly_orb_restricted_scaleout3_boundary_stop,ym_monthly_orb_restricted_scaleout3_boundary_stop_201007_01,YM,paper,sell,stop,3,,9552.0,short_boundary_stop_entry,submitted,true,verify_9f1f6e0e38bf,,false,entry,,,ym_monthly_orb_restricted_scaleout3_boundary_stop_201007_01_entry_oco,GTC,2010-07-04,2010-08-01T00:00:00,2026-05-21T04:08:44Z,2026-05-21T04:08:44Z
intent_c99435b423cd,ym_monthly_orb_restricted_scaleout3_boundary_stop,ym_monthly_orb_restricted_scaleout3_boundary_stop_201007_01,YM,paper,buy,stop,3,,9753.0,short_protective_stop,submitted,false,,,true,stop,,,,GTC,2010-07-05,,2026-05-21T04:08:44Z,2026-05-21T04:08:44Z
intent_3489021a78b9,ym_monthly_orb_restricted_scaleout3_boundary_stop,ym_monthly_orb_restricted_scaleout3_boundary_stop_201007_01,YM,paper,buy,limit,1,9501.75,,target,submitted,false,,,true,target,,,,GTC,2010-07-05,,2026-05-21T04:08:44Z,2026-05-21T04:08:44Z
intent_4f4d5b7ba606,ym_monthly_orb_restricted_scaleout3_boundary_stop,ym_monthly_orb_restricted_scaleout3_boundary_stop_201007_01,YM,paper,buy,limit,1,9351.0,,target,submitted,false,,,true,target,,,,GTC,2010-07-05,,2026-05-21T04:08:44Z,2026-05-21T04:08:44Z
intent_b06ff9b3770d,ym_monthly_orb_restricted_scaleout3_boundary_stop,ym_monthly_orb_restricted_scaleout3_boundary_stop_201007_02,YM,paper,buy,stop,3,,9753.0,long_boundary_stop_entry,submitted,true,verify_3caa24d983f2,,false,entry,,,ym_monthly_orb_restricted_scaleout3_boundary_stop_201007_02_entry_oco,GTC,2010-07-06,2010-08-01T00:00:00,2026-05-21T04:08:44Z,2026-05-21T04:08:44Z
intent_bddb2540b389,ym_monthly_orb_restricted_scaleout3_boundary_stop,ym_monthly_orb_restricted_scaleout3_boundary_stop_201007_02,YM,paper,sell,stop,3,,9552.0,short_boundary_stop_entry,submitted,true,verify_c306762c0ece,,false,entry,,,ym_monthly_orb_restricted_scaleout3_boundary_stop_201007_02_entry_oco,GTC,2010-07-06,2010-08-01T00:00:00,2026-05-21T04:08:44Z,2026-05-21T04:08:44Z
intent_0221e15172ac,ym_monthly_orb_restricted_scaleout3_boundary_stop,ym_monthly_orb_restricted_scaleout3_boundary_stop_201007_02,YM,paper,sell,stop,3,,9552.0,long_protective_stop,submitted,false,,,true,stop,,,,GTC,2010-07-07,,2026-05-21T04:08:44Z,2026-05-21T04:08:44Z
intent_7de60f5e6786,ym_monthly_orb_restricted_scaleout3_boundary_stop,ym_monthly_orb_restricted_scaleout3_boundary_stop_201007_02,YM,paper,sell,limit,1,9803.25,,target,submitted,false,,,true,target,,,,GTC,2010-07-07,,2026-05-21T04:08:44Z,2026-05-21T04:08:44Z
intent_a575dd4c6c09,ym_monthly_orb_restricted_scaleout3_boundary_stop,ym_monthly_orb_restricted_scaleout3_boundary_stop_201007_02,YM,paper,sell,limit,1,9954.0,,target,submitted,false,,,true,target,,,,GTC,2010-07-07,,2026-05-21T04:08:44Z,2026-05-21T04:08:44Z
intent_18df6f279457,ym_monthly_orb_restricted_scaleout3_boundary_stop,ym_monthly_orb_restricted_scaleout3_boundary_stop_201007_02,YM,paper,sell,market_close,1,,,month_end_flatten,submitted,false,,,true,close,,,,GTC,2010-07-30,,2026-05-21T04:08:44Z,2026-05-21T04:08:44Z
intent_fffd4808a27b,ym_monthly_orb_restricted_scaleout3_boundary_stop,ym_monthly_orb_restricted_scaleout3_boundary_stop_201008_01,YM,paper,buy,stop,3,,10643.0,long_boundary_stop_entry,submitted,true,verify_cf3c8d7c6fcf,,false,entry,,,ym_monthly_orb_restricted_scaleout3_boundary_stop_201008_01_entry_oco,GTC,2010-08-03,2010-09-01T00:00:00,2026-05-21T04:08:44Z,2026-05-21T04:08:44Z
intent_ec24c2f16e48,ym_monthly_orb_restricted_scaleout3_boundary_stop,ym_monthly_orb_restricted_scaleout3_boundary_stop_201008_01,YM,paper,sell,stop,3,,10448.0,short_boundary_stop_entry,submitted,true,verify_2d439593ed7c,,false,entry,,,ym_monthly_orb_restricted_scaleout3_boundary_stop_201008_01_entry_oco,GTC,2010-08-03,2010-09-01T00:00:00,2026-05-21T04:08:44Z,2026-05-21T04:08:44Z
intent_ab448ae8c91d,ym_monthly_orb_restricted_scaleout3_boundary_stop,ym_monthly_orb_restricted_scaleout3_boundary_stop_201008_01,YM,paper,sell,stop,3,,10448.0,long_protective_stop,submitted,false,,,true,stop,,,,GTC,2010-08-04,,2026-05-21T04:08:44Z,2026-05-21T04:08:44Z
intent_96c04484acbb,ym_monthly_orb_restricted_scaleout3_boundary_stop,ym_monthly_orb_restricted_scaleout3_boundary_stop_201008_01,YM,paper,sell,limit,1,10691.75,,target,submitted,false,,,true,target,,,,GTC,2010-08-04,,2026-05-21T04:08:44Z,2026-05-21T04:08:44Z
