verification_id,intent_id,strategy_id,account_mode,status,challenge,created_at,approved_at
verify_643f68669f14,intent_62ec81ad8d40,ym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-ad8d40,2026-06-29T16:04:35Z,2026-06-29T16:04:35Z
verify_d29234ad74fd,intent_09ce807eb030,ym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-7eb030,2026-06-29T16:04:35Z,2026-06-29T16:04:35Z
verify_782f632cf833,intent_cb95e5e61d67,ym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-e61d67,2026-06-29T16:04:35Z,2026-06-29T16:04:35Z
verify_ab422f835b74,intent_77a16567b982,ym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-67b982,2026-06-29T16:04:35Z,2026-06-29T16:04:35Z
verify_0153ea680eac,intent_d84f70d6d1a7,ym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-d6d1a7,2026-06-29T16:04:35Z,2026-06-29T16:04:35Z
verify_675314413b7f,intent_37fe6187aaef,ym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-87aaef,2026-06-29T16:04:35Z,2026-06-29T16:04:35Z
verify_903a40f02dc3,intent_d22b564c1368,ym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-4c1368,2026-06-29T16:04:35Z,2026-06-29T16:04:35Z
verify_1487e026ef6f,intent_0f5ee75526f9,ym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-5526f9,2026-06-29T16:04:35Z,2026-06-29T16:04:35Z
verify_637926ef8ee1,intent_44391675bf84,ym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-75bf84,2026-06-29T16:04:35Z,2026-06-29T16:04:35Z
verify_a6e1dee0d50c,intent_fce9154b519c,ym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-4b519c,2026-06-29T16:04:35Z,2026-06-29T16:04:35Z
verify_b563f181602d,intent_02897d30ef68,ym_monthly_orb_restricted_scaleout3_boundary_stop,paper,approved,SPOOF-30ef68,2026-06-29T16:04:35Z,2026-06-29T16:04:35Z
