fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_0c37a93eb10d,ord_08e3e14f82c4,intent_43f6b15d6fa1,ym_yearly_orb_scaleout3,ym_yearly_orb_scaleout3_2011_01,YM,paper,buy,1,12379.0,2011-05-17,runner_entry
fill_fac57ece8f72,ord_8896c650ddf5,intent_53b738768cb0,ym_yearly_orb_scaleout3,ym_yearly_orb_scaleout3_2011_01,YM,paper,buy,1,12379.0,2011-05-17,entry
fill_4648fc01af6f,ord_baf16bacc909,intent_f5572d0cce2b,ym_yearly_orb_scaleout3,ym_yearly_orb_scaleout3_2011_01,YM,paper,buy,1,12379.0,2011-05-17,entry
fill_9e034054f0a0,ord_b6fa2744f3c4,intent_60c796c6d935,ym_yearly_orb_scaleout3,ym_yearly_orb_scaleout3_2011_01,YM,paper,sell,1,12611.0,2011-05-19,target
fill_68a1c5457899,ord_084fc924efd2,intent_ab3de125287b,ym_yearly_orb_scaleout3,ym_yearly_orb_scaleout3_2011_01,YM,paper,sell,2,12451.0,2011-05-23,close
fill_55ffdb2e3bef,ord_31893312632d,intent_a9502cd39daa,ym_yearly_orb_scaleout3,ym_yearly_orb_scaleout3_2011_02,YM,paper,buy,1,12379.0,2011-06-01,runner_entry
fill_4ca39631991b,ord_3c09f654f88e,intent_994e7e778e85,ym_yearly_orb_scaleout3,ym_yearly_orb_scaleout3_2011_02,YM,paper,buy,1,12379.0,2011-06-01,entry
fill_7e23094fcce3,ord_41417e5a743a,intent_02fb5f4af5d6,ym_yearly_orb_scaleout3,ym_yearly_orb_scaleout3_2011_02,YM,paper,buy,1,12379.0,2011-06-01,entry
fill_292bf1a2efe1,ord_f382a56964f5,intent_957b5ede5cda,ym_yearly_orb_scaleout3,ym_yearly_orb_scaleout3_2011_02,YM,paper,sell,3,12572.0,2011-06-01,close
fill_5e7fa20caf77,ord_317133bc4f55,intent_07dec1634e74,ym_yearly_orb_scaleout3,ym_yearly_orb_scaleout3_2011_03,YM,paper,buy,1,12379.0,2011-07-12,runner_entry
fill_8e62aa313662,ord_3b152206d78f,intent_3e407372a51a,ym_yearly_orb_scaleout3,ym_yearly_orb_scaleout3_2011_03,YM,paper,buy,1,12379.0,2011-07-12,entry
fill_9455128265d6,ord_b480c16df3e8,intent_0aa475aa1e06,ym_yearly_orb_scaleout3,ym_yearly_orb_scaleout3_2011_03,YM,paper,buy,1,12379.0,2011-07-12,entry
fill_f4dce0163719,ord_955e3573598c,intent_0a01be5349d4,ym_yearly_orb_scaleout3,ym_yearly_orb_scaleout3_2011_03,YM,paper,sell,3,12397.0,2011-07-14,close
fill_3754ad1398e7,ord_7036e0e1ecff,intent_7f2b8f03c68a,ym_yearly_orb_scaleout3,ym_yearly_orb_scaleout3_2011_04,YM,paper,buy,1,12379.0,2011-07-18,runner_entry
