fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_dbad235bcbee,ord_88ee22e46d8a,intent_ca1fc7dd88f8,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2011_01,YM,paper,buy,3,12380.0,2011-04-06,entry
fill_4de2ba175a19,ord_a27cf398af37,intent_725c534ec75c,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2011_01,YM,paper,sell,3,12285.0,2011-04-07,stop
fill_2219c4927a08,ord_5fde0bd72c5e,intent_e5a376ce91e4,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2011_02,YM,paper,buy,3,12380.0,2011-04-08,entry
fill_11d406af2d29,ord_84c33f1ac1ee,intent_2d6d5ddc7d24,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2011_02,YM,paper,sell,3,12285.0,2011-04-12,stop
fill_887ba5b36b72,ord_43b0c52c0a2f,intent_8772dbb63c3a,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2011_03,YM,paper,buy,3,12380.0,2011-04-20,entry
fill_53303664fd43,ord_dd3211170f98,intent_c7f88d95cfe0,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2011_03,YM,paper,sell,1,12611.0,2011-04-27,target
fill_da033bd4afbb,ord_2f7f0e93e239,intent_0478a43b8ab7,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2011_03,YM,paper,sell,2,12231.0,2011-06-03,close
fill_f50b24256f3a,ord_0cc715dd5d19,intent_3d7b4d321334,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2011_04,YM,paper,buy,3,12380.0,2011-07-01,entry
fill_b4421631fb61,ord_3f5a72090d0e,intent_699da6d0c1db,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2011_04,YM,paper,sell,1,12611.0,2011-07-07,target
fill_64981e431a9a,ord_58ce1aae690b,intent_3c661b579689,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2011_04,YM,paper,sell,2,12240.0,2011-07-28,close
fill_ad83dbaf1ba1,ord_1788ea218d7f,intent_250850cbbffd,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2011_05,YM,paper,sell,3,11450.0,2011-08-04,entry
fill_9846ecbfa109,ord_ef2518b97ede,intent_1e806bdf0910,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2011_05,YM,paper,buy,1,11219.0,2011-08-05,target
fill_1b1826a1fe52,ord_eb17f6b74ed3,intent_9e9c0cae95df,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2011_05,YM,paper,buy,1,10523.0,2011-08-09,target
fill_26ee16dda3e4,ord_b177551c3ba7,intent_1a5d74e6b6ce,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2011_05,YM,paper,buy,1,11451.0,2011-08-16,stop
fill_10e8b7656d50,ord_c9ba7a7a8f09,intent_40d1e4400938,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2011_06,YM,paper,sell,3,11352.0,2011-08-17,entry
fill_e68d83e1b243,ord_e3ae8d6929c2,intent_bfd24148e1a7,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2011_06,YM,paper,buy,1,11219.0,2011-08-18,target
fill_f84ee83bb039,ord_406afbcaa6f6,intent_9d225253e4b7,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2011_06,YM,paper,buy,1,10523.0,2011-09-22,target
fill_15952e768fd0,ord_013eb998e8a5,intent_555a7d3314ea,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2011_06,YM,paper,buy,1,11353.0,2011-10-10,stop
fill_86d322b06f1f,ord_424908bd786e,intent_d97d03d1967b,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2011_07,YM,paper,sell,3,11354.0,2011-10-11,entry
fill_c085ceec2b14,ord_1902a863a2c0,intent_d8ee9e2f7589,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2011_07,YM,paper,buy,1,11219.0,2011-10-18,target
fill_bd1948d7b54d,ord_4dba7b98f9e1,intent_edb7c0665893,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2011_07,YM,paper,buy,2,11706.0,2011-10-21,stop
fill_3880ed1f5ccd,ord_2783e6a0aad0,intent_98b2a7872374,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2011_08,YM,paper,sell,3,11450.0,2011-11-21,entry
fill_fee59cabcaff,ord_0f83b21c000d,intent_30c9f9aae3e9,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2011_08,YM,paper,buy,1,11219.0,2011-11-23,target
fill_4daa7a5133a3,ord_1cc99a338747,intent_b8da516143b7,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2011_08,YM,paper,buy,2,11517.0,2011-11-30,close
fill_0ed59f3d50d7,ord_b587b5d6621b,intent_f814c2194e51,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2012_01,YM,paper,buy,3,13246.0,2012-05-01,entry
fill_c779b88da6c7,ord_7fea95717cb6,intent_707c470e593d,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2012_01,YM,paper,sell,3,13143.0,2012-05-04,close
fill_4ea714e7b1d1,ord_965c20174bdc,intent_f22a069112c9,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2012_02,YM,paper,sell,3,12218.0,2012-06-01,entry
fill_517c78631da0,ord_406d653b5454,intent_270ebfeb59ef,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2012_02,YM,paper,buy,3,12152.0,2012-06-06,close
fill_5a5200bcf392,ord_be9f07c6e91b,intent_3f24ed01dcc0,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2012_03,YM,paper,buy,3,13246.0,2012-08-16,entry
fill_98406b1c69d6,ord_e9012a8ae2e0,intent_6acc1de707d8,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2012_03,YM,paper,sell,3,13072.0,2012-08-23,stop
fill_87eae87d9f1e,ord_6e96ad9dae50,intent_a810bd92a7b6,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2012_04,YM,paper,buy,3,13246.0,2012-09-06,entry
fill_a341854d9787,ord_864605092c28,intent_40f7825201d4,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2012_04,YM,paper,sell,1,13501.5,2012-09-13,target
fill_2d0b4e24f5e4,ord_0d72eac29e29,intent_0bd1c424b42e,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2012_04,YM,paper,sell,2,13059.0,2012-10-24,close
fill_b1545801a35e,ord_c2b9d995b1db,intent_ee210daf7fbd,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2012_05,YM,paper,buy,3,13246.0,2012-11-07,entry
fill_90c55e004185,ord_8b55ec4f06f9,intent_ec96c95cffdf,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2012_05,YM,paper,sell,3,13185.0,2012-11-07,close
fill_4a05c1f104af,ord_17b7824dd229,intent_b134794e1e85,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2012_06,YM,paper,buy,3,13246.0,2012-12-11,entry
fill_950e7c9cf5bb,ord_b5eb5614b8f7,intent_b088be575ba2,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2012_06,YM,paper,sell,3,12904.0,2012-12-27,stop
fill_a6f85472d533,ord_87a343167e0f,intent_ba226ab6466d,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2013_01,YM,paper,buy,3,14518.0,2013-04-02,entry
fill_69580caec2de,ord_927d8661e515,intent_ebab3760de78,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2013_01,YM,paper,sell,3,14363.0,2013-04-05,stop
fill_09a2491fa2b5,ord_b85fa34bccbd,intent_b795b63c096b,ym_yearly_orb_scaleout3_range_close_20pct,ym_yearly_orb_scaleout3_range_close_20pct_2013_02,YM,paper,buy,3,14518.0,2013-04-08,entry
