candidate,slug,instrument,units,trades,net_usd,close_mtm_dd_usd,intrabar_mtm_dd_usd,max_open_units,net_over_stress_dd
ES Yearly ORB scaleout3,es_yearly_orb_scaleout3,ES,219,73,328727.75,-38875.00,-40403.00,3,8.14
NQ Yearly ORB scaleout3,nq_yearly_orb_scaleout3,NQ,204,68,850314.00,-103790.00,-106720.00,3,7.97
YM Yearly ORB scaleout3,ym_yearly_orb_scaleout3,YM,243,81,288756.75,-39490.00,-39810.00,3,7.25
MNQ Yearly ORB scaleout3,mnq_yearly_orb_scaleout3,MNQ,72,24,67942.12,-10370.00,-10669.00,3,6.37
NQ ATR daily ladder 1/1/2/2/2 10-max,nq_atr_daily_ladder112221_10max,NQ,402,149,1572142.00,-236014.50,-255950.00,10,6.14
MNQ ATR daily ladder 1/1/2/2/2 10-max,mnq_atr_daily_ladder112221_10max,MNQ,162,52,146875.00,-23456.50,-25610.00,10,5.74
NQ ATR daily 3-initial 10-max,nq_atr_daily_3initial_10max,NQ,623,149,1717280.50,-299713.00,-309068.50,10,5.56
MNQ ATR daily 3-initial 10-max,mnq_atr_daily_3initial_10max,MNQ,233,52,159819.00,-28734.00,-29350.50,10,5.45
NQ Yearly ORB scaleout3 20% range-close,nq_yearly_orb_scaleout3_range_close_20pct,NQ,138,46,741289.25,-127940.00,-141210.00,3,5.25
MNQ Yearly ORB scaleout3 20% range-close,mnq_yearly_orb_scaleout3_range_close_20pct,MNQ,30,10,66845.25,-12785.00,-14141.00,3,4.73
ES ATR weekly 2-initial / 3-add / 6-max,es_atr_weekly_2initial_3add_6max,ES,142,42,853549.50,-194833.00,-200208.00,6,4.26
ES Yearly ORB scaleout3 20% range-close,es_yearly_orb_scaleout3_range_close_20pct,ES,165,55,350746.25,-76176.00,-86332.50,3,4.06
MYM Yearly ORB scaleout3,mym_yearly_orb_scaleout3,MYM,81,27,15122.75,-3570.00,-3916.00,3,3.86
NQ ATR weekly 2-initial / 3-add / 6-max,nq_atr_weekly_2initial_3add_6max,NQ,127,38,1443304.50,-407338.00,-428513.00,6,3.37
YM Yearly ORB scaleout3 20% range-close,ym_yearly_orb_scaleout3_range_close_20pct,YM,147,49,182899.50,-61418.00,-63597.50,3,2.88
MNQ ATR weekly 2-initial / 3-add / 6-max,mnq_atr_weekly_2initial_3add_6max,MNQ,54,17,119295.00,-40744.50,-42836.50,6,2.78
MES ATR weekly 2-initial / 3-add / 6-max,mes_atr_weekly_2initial_3add_6max,MES,28,8,37444.25,-14496.25,-17212.50,6,2.18
YM Monthly ORB restricted scaleout3,ym_monthly_orb_restricted_scaleout3,YM,705,235,118122.50,-52388.50,-56855.75,3,2.08
ES ATR daily 3-initial 10-max,es_atr_daily_3initial_10max,ES,631,148,567916.00,-274459.50,-278247.00,10,2.04
MYM Yearly ORB scaleout3 20% range-close,mym_yearly_orb_scaleout3_range_close_20pct,MYM,42,14,12097.62,-5954.00,-6098.00,3,1.98
ES ATR daily ladder 1/1/2/2/2 10-max,es_atr_daily_ladder112221_10max,ES,417,148,448399.50,-240399.50,-246499.50,10,1.82
YM ATR daily 3-initial 10-max,ym_atr_daily_3initial_10max,YM,611,145,289998.50,-162760.00,-166754.50,10,1.74
YM ATR weekly 2-initial / 3-add / 6-max,ym_atr_weekly_2initial_3add_6max,YM,157,49,406094.50,-231969.50,-246159.50,6,1.65
MYM ATR weekly 2-initial / 3-add / 6-max,mym_atr_weekly_2initial_3add_6max,MYM,83,27,24726.50,-18963.00,-19032.00,6,1.30
MYM ATR daily 3-initial 10-max,mym_atr_daily_3initial_10max,MYM,249,58,16016.50,-12351.00,-13278.00,10,1.21
MYM Monthly ORB restricted scaleout3 boundary-stop entry,mym_monthly_orb_restricted_scaleout3_boundary_stop,MYM,573,191,9436.25,-7467.88,-8030.12,3,1.18
MES Yearly ORB scaleout3 20% range-close,mes_yearly_orb_scaleout3_range_close_20pct,MES,33,11,9878.31,-7633.50,-8545.50,3,1.16
YM Monthly ORB restricted scaleout3 boundary-stop entry,ym_monthly_orb_restricted_scaleout3_boundary_stop,YM,1317,439,93420.75,-79478.00,-84545.50,3,1.10
MES Monthly ORB restricted scaleout3 boundary-stop entry,mes_monthly_orb_restricted_scaleout3_boundary_stop,MES,336,112,9685.06,-9229.50,-9836.25,3,0.98
NQ Monthly ORB restricted scaleout3,nq_monthly_orb_restricted_scaleout3,NQ,687,229,173383.25,-198062.00,-201682.00,3,0.86
MES Yearly ORB scaleout3,mes_yearly_orb_scaleout3,MES,36,12,1954.75,-2616.00,-2859.00,3,0.68
MYM Monthly ORB restricted scaleout3,mym_monthly_orb_restricted_scaleout3,MYM,288,96,5470.88,-9320.75,-9977.75,3,0.55
MES Monthly ORB restricted scaleout3,mes_monthly_orb_restricted_scaleout3,MES,171,57,3820.06,-6932.87,-7390.37,3,0.52
MNQ Monthly ORB restricted scaleout3 boundary-stop entry,mnq_monthly_orb_restricted_scaleout3_boundary_stop,MNQ,555,185,10755.38,-20536.00,-21705.38,3,0.50
YM ATR daily ladder 1/1/2/2/2 10-max,ym_atr_daily_ladder112221_10max,YM,408,145,101693.00,-223105.50,-225220.50,10,0.45
MNQ Monthly ORB restricted scaleout3,mnq_monthly_orb_restricted_scaleout3,MNQ,291,97,8848.88,-19968.62,-20334.62,3,0.44
NQ Monthly ORB restricted scaleout3 boundary-stop entry,nq_monthly_orb_restricted_scaleout3_boundary_stop,NQ,1308,436,80948.00,-201943.75,-213575.75,3,0.38
ES Monthly ORB restricted scaleout3,es_monthly_orb_restricted_scaleout3,ES,672,224,28207.62,-96566.87,-97016.87,3,0.29
ES Monthly ORB restricted scaleout3 boundary-stop entry,es_monthly_orb_restricted_scaleout3_boundary_stop,ES,1305,435,26530.00,-154439.88,-171539.88,3,0.15
MYM ATR daily ladder 1/1/2/2/2 10-max,mym_atr_daily_ladder112221_10max,MYM,173,58,2366.50,-19284.50,-19707.50,10,0.12
MES ATR daily 3-initial 10-max,mes_atr_daily_3initial_10max,MES,172,41,1719.50,-27553.25,-27935.75,10,0.06
MES ATR daily ladder 1/1/2/2/2 10-max,mes_atr_daily_ladder112221_10max,MES,112,41,-1831.75,-24104.50,-24714.50,10,-0.07
