intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_ae0e210ea365,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201905_01,MNQ,paper,sell,limit,1,7581.5,,short_tp25_entry,submitted,true,verify_0e2a5e25b2f8,,false,entry,7817.5,7522.5,,GTC,2019-05-12,2019-06-01T00:00:00,2026-05-19T15:11:28Z,2026-05-19T15:11:28Z
intent_1e3680428544,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201905_01,MNQ,paper,sell,limit,1,7581.5,,short_tp_entry,submitted,true,verify_ae3247c976e9,,false,entry,7817.5,7345.5,,GTC,2019-05-12,2019-06-01T00:00:00,2026-05-19T15:11:28Z,2026-05-19T15:11:28Z
intent_74e6a7debc97,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201905_01,MNQ,paper,sell,limit,1,7581.5,,short_runner_entry,submitted,true,verify_2d136f0664b1,,false,runner_entry,7817.5,,,GTC,2019-05-12,2019-06-01T00:00:00,2026-05-19T15:11:28Z,2026-05-19T15:11:28Z
intent_c434bd2999fb,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201905_01,MNQ,paper,buy,stop,1,,7817.5,protective_stop,submitted,false,,intent_ae0e210ea365,true,stop,,,ord_a59d81e46fdd_bracket,GTC,,,2026-05-19T15:11:28Z,2026-05-19T15:11:28Z
intent_ce34891efed1,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201905_01,MNQ,paper,buy,limit,1,7522.5,,target,submitted,false,,intent_ae0e210ea365,true,target,,,ord_a59d81e46fdd_bracket,GTC,,,2026-05-19T15:11:28Z,2026-05-19T15:11:28Z
intent_1169b7cb9d66,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201905_01,MNQ,paper,buy,stop,1,,7817.5,protective_stop,submitted,false,,intent_1e3680428544,true,stop,,,ord_3106f7797593_bracket,GTC,,,2026-05-19T15:11:28Z,2026-05-19T15:11:28Z
intent_d9aeba2997d0,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201905_01,MNQ,paper,buy,limit,1,7345.5,,target,submitted,false,,intent_1e3680428544,true,target,,,ord_3106f7797593_bracket,GTC,,,2026-05-19T15:11:28Z,2026-05-19T15:11:28Z
intent_8076ef1e9b19,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201905_01,MNQ,paper,buy,stop,1,,7817.5,protective_stop,submitted,false,,intent_74e6a7debc97,true,runner_stop,,,ord_3f9358412a49_bracket,GTC,,,2026-05-19T15:11:28Z,2026-05-19T15:11:28Z
intent_48f4d6e2294d,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201905_01,MNQ,paper,buy,market_close,1,,,month_end_flatten,submitted,false,,,true,close,,,,GTC,2019-05-31,,2026-05-19T15:11:28Z,2026-05-19T15:11:28Z
intent_8c928e6e78a8,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201906_01,MNQ,paper,buy,limit,1,7211.25,,long_tp25_entry,submitted,true,verify_92c8666b2806,,false,entry,6940.5,7278.9375,,GTC,2019-06-05,2019-07-01T00:00:00,2026-05-19T15:11:28Z,2026-05-19T15:11:28Z
intent_ce6707c291d1,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201906_01,MNQ,paper,buy,limit,1,7211.25,,long_tp_entry,submitted,true,verify_d11606a2f620,,false,entry,6940.5,7482.0,,GTC,2019-06-05,2019-07-01T00:00:00,2026-05-19T15:11:28Z,2026-05-19T15:11:28Z
intent_b19953ef0d1e,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201906_01,MNQ,paper,buy,limit,1,7211.25,,long_runner_entry,submitted,true,verify_dde2cec0cbf9,,false,runner_entry,6940.5,,,GTC,2019-06-05,2019-07-01T00:00:00,2026-05-19T15:11:28Z,2026-05-19T15:11:28Z
intent_897e6a1955bb,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201906_01,MNQ,paper,sell,stop,1,,6940.5,protective_stop,submitted,false,,intent_8c928e6e78a8,true,stop,,,ord_b6d418a6d851_bracket,GTC,,,2026-05-19T15:11:28Z,2026-05-19T15:11:28Z
intent_7333eba54171,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201906_01,MNQ,paper,sell,limit,1,7278.9375,,target,submitted,false,,intent_8c928e6e78a8,true,target,,,ord_b6d418a6d851_bracket,GTC,,,2026-05-19T15:11:28Z,2026-05-19T15:11:28Z
intent_3004446d323d,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201906_01,MNQ,paper,sell,stop,1,,6940.5,protective_stop,submitted,false,,intent_ce6707c291d1,true,stop,,,ord_04f39ce97a24_bracket,GTC,,,2026-05-19T15:11:28Z,2026-05-19T15:11:28Z
intent_1cdbf0d0921e,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201906_01,MNQ,paper,sell,limit,1,7482.0,,target,submitted,false,,intent_ce6707c291d1,true,target,,,ord_04f39ce97a24_bracket,GTC,,,2026-05-19T15:11:28Z,2026-05-19T15:11:28Z
intent_73e122e86341,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201906_01,MNQ,paper,sell,stop,1,,6940.5,protective_stop,submitted,false,,intent_b19953ef0d1e,true,runner_stop,,,ord_a2bb4c56c08b_bracket,GTC,,,2026-05-19T15:11:28Z,2026-05-19T15:11:28Z
intent_177b48f5c4c7,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201906_01,MNQ,paper,sell,market_close,1,,,month_end_flatten,submitted,false,,,true,close,,,,GTC,2019-06-30,,2026-05-19T15:11:28Z,2026-05-19T15:11:28Z
intent_93ebff3d01bd,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201907_01,MNQ,paper,buy,limit,1,7900.75,,long_tp25_entry,submitted,true,verify_531012ab7dce,,false,entry,7758.75,7936.25,,GTC,2019-07-04,2019-08-01T00:00:00,2026-05-19T15:11:29Z,2026-05-19T15:11:29Z
intent_14a73d83c513,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201907_01,MNQ,paper,buy,limit,1,7900.75,,long_tp_entry,submitted,true,verify_722264be5054,,false,entry,7758.75,8042.75,,GTC,2019-07-04,2019-08-01T00:00:00,2026-05-19T15:11:29Z,2026-05-19T15:11:29Z
intent_f6299158c516,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201907_01,MNQ,paper,buy,limit,1,7900.75,,long_runner_entry,submitted,true,verify_ded58b6d9a9b,,false,runner_entry,7758.75,,,GTC,2019-07-04,2019-08-01T00:00:00,2026-05-19T15:11:29Z,2026-05-19T15:11:29Z
intent_b38e9a4028aa,mnq_monthly_orb_restricted_scaleout3,mnq_monthly_orb_restricted_scaleout3_201907_01,MNQ,paper,sell,stop,1,,7758.75,protective_stop,submitted,false,,intent_93ebff3d01bd,true,stop,,,ord_9bf7397beb30_bracket,GTC,,,2026-05-19T15:11:29Z,2026-05-19T15:11:29Z
