verification_id,intent_id,strategy_id,account_mode,status,challenge,created_at,approved_at
verify_0e2a5e25b2f8,intent_ae0e210ea365,mnq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-0ea365,2026-05-19T15:11:28Z,2026-05-19T15:11:28Z
verify_ae3247c976e9,intent_1e3680428544,mnq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-428544,2026-05-19T15:11:28Z,2026-05-19T15:11:28Z
verify_2d136f0664b1,intent_74e6a7debc97,mnq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-debc97,2026-05-19T15:11:28Z,2026-05-19T15:11:28Z
verify_92c8666b2806,intent_8c928e6e78a8,mnq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-6e78a8,2026-05-19T15:11:28Z,2026-05-19T15:11:28Z
verify_d11606a2f620,intent_ce6707c291d1,mnq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-c291d1,2026-05-19T15:11:28Z,2026-05-19T15:11:28Z
verify_dde2cec0cbf9,intent_b19953ef0d1e,mnq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-ef0d1e,2026-05-19T15:11:28Z,2026-05-19T15:11:28Z
verify_531012ab7dce,intent_93ebff3d01bd,mnq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-3d01bd,2026-05-19T15:11:29Z,2026-05-19T15:11:29Z
verify_722264be5054,intent_14a73d83c513,mnq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-83c513,2026-05-19T15:11:29Z,2026-05-19T15:11:29Z
verify_ded58b6d9a9b,intent_f6299158c516,mnq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-58c516,2026-05-19T15:11:29Z,2026-05-19T15:11:29Z
verify_77256b181393,intent_2371aa811521,mnq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-811521,2026-05-19T15:11:29Z,2026-05-19T15:11:29Z
verify_a1aa25999897,intent_276a7c999de7,mnq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-999de7,2026-05-19T15:11:29Z,2026-05-19T15:11:29Z
verify_c31ac4c9bc57,intent_4ff993299e12,mnq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-299e12,2026-05-19T15:11:29Z,2026-05-19T15:11:29Z
verify_cae5b53a0ede,intent_cfce7ec12a1e,mnq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-c12a1e,2026-05-19T15:11:29Z,2026-05-19T15:11:29Z
verify_e34c1336bbf5,intent_f30f780a10a4,mnq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-0a10a4,2026-05-19T15:11:29Z,2026-05-19T15:11:29Z
verify_329b47f3274d,intent_44a8ff3c1ac4,mnq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-3c1ac4,2026-05-19T15:11:29Z,2026-05-19T15:11:29Z
verify_cb170e62a950,intent_1b23d64abe3e,mnq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-4abe3e,2026-05-19T15:11:29Z,2026-05-19T15:11:29Z
verify_e9fc6d13faa3,intent_f37e509e48b5,mnq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-9e48b5,2026-05-19T15:11:29Z,2026-05-19T15:11:29Z
verify_5364c3f3adaf,intent_bc38961f098c,mnq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-1f098c,2026-05-19T15:11:29Z,2026-05-19T15:11:29Z
verify_45f6517f5243,intent_d5e5c54845a5,mnq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-4845a5,2026-05-19T15:11:29Z,2026-05-19T15:11:29Z
verify_26a4feb978ac,intent_380615b1d44f,mnq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-b1d44f,2026-05-19T15:11:29Z,2026-05-19T15:11:29Z
verify_d45034dac0a3,intent_db7e50218a68,mnq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-218a68,2026-05-19T15:11:29Z,2026-05-19T15:11:29Z
verify_055787cdc3c5,intent_3e53f88fd5e4,mnq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-8fd5e4,2026-05-19T15:11:29Z,2026-05-19T15:11:29Z
verify_e647b48fd8fc,intent_a0d3e24eb360,mnq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-4eb360,2026-05-19T15:11:29Z,2026-05-19T15:11:29Z
verify_d11c5b12aedc,intent_8281f4393e12,mnq_monthly_orb_restricted_scaleout3,paper,approved,SPOOF-393e12,2026-05-19T15:11:29Z,2026-05-19T15:11:29Z
