alert_id,strategy_id,level,message,payload_json,status,created_at
alert_41ad535d6479,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted buy 3 MNQ,{},sent,2026-05-19T15:13:17Z
alert_3aed8e26dbb8,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted sell 3 MNQ,{},sent,2026-05-19T15:13:17Z
alert_32a4dd2ac9a4,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted buy 3 MNQ,{},sent,2026-05-19T15:13:17Z
alert_7e270eef5fa5,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-19T15:13:17Z
alert_a353e2ecbe80,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-19T15:13:17Z
alert_01f1a5f5736b,mnq_monthly_orb_restricted_scaleout3_boundary_stop,info,Modified order ord_315f49398f65,{},sent,2026-05-19T15:13:17Z
alert_fa36e5c3d773,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted buy 3 MNQ,{},sent,2026-05-19T15:13:17Z
alert_018780c31890,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted sell 3 MNQ,{},sent,2026-05-19T15:13:17Z
alert_28cfb73ac861,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted buy 3 MNQ,{},sent,2026-05-19T15:13:17Z
alert_d5a0c16b9660,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-19T15:13:17Z
alert_d37234250a52,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-19T15:13:17Z
alert_c387bb301c4f,mnq_monthly_orb_restricted_scaleout3_boundary_stop,info,Modified order ord_95382018bbf6,{},sent,2026-05-19T15:13:17Z
alert_02b08fdd75f4,mnq_monthly_orb_restricted_scaleout3_boundary_stop,info,Monthly ORB month-end flatten requested,{},sent,2026-05-19T15:13:17Z
alert_38477b0d5428,mnq_monthly_orb_restricted_scaleout3_boundary_stop,info,Cancelled order ord_315f49398f65,{},sent,2026-05-19T15:13:17Z
alert_fa2c95b81f26,mnq_monthly_orb_restricted_scaleout3_boundary_stop,info,Cancelled order ord_95382018bbf6,{},sent,2026-05-19T15:13:17Z
alert_5328698506d9,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-19T15:13:17Z
alert_be143e4702f9,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted buy 3 MNQ,{},sent,2026-05-19T15:13:17Z
alert_0405d3507b02,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted sell 3 MNQ,{},sent,2026-05-19T15:13:17Z
alert_8a9dc814a4c2,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted sell 3 MNQ,{},sent,2026-05-19T15:13:17Z
alert_bdf7b934194a,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted sell 1 MNQ,{},sent,2026-05-19T15:13:17Z
alert_68ab09d4bfe1,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted sell 1 MNQ,{},sent,2026-05-19T15:13:17Z
alert_da05d5f82973,mnq_monthly_orb_restricted_scaleout3_boundary_stop,info,Modified order ord_69f5b1c09331,{},sent,2026-05-19T15:13:17Z
alert_3f8e58e2d57f,mnq_monthly_orb_restricted_scaleout3_boundary_stop,info,Monthly ORB month-end flatten requested,{},sent,2026-05-19T15:13:17Z
alert_912cc11fa193,mnq_monthly_orb_restricted_scaleout3_boundary_stop,info,Cancelled order ord_69f5b1c09331,{},sent,2026-05-19T15:13:17Z
alert_3026a38d1798,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted sell 1 MNQ,{},sent,2026-05-19T15:13:17Z
alert_a762f1347076,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted buy 3 MNQ,{},sent,2026-05-19T15:13:17Z
alert_7c18888edbdb,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted sell 3 MNQ,{},sent,2026-05-19T15:13:17Z
alert_a6ea2f6f4724,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted sell 3 MNQ,{},sent,2026-05-19T15:13:17Z
alert_bb2244140e6b,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted sell 1 MNQ,{},sent,2026-05-19T15:13:17Z
alert_13cafbf246f3,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted sell 1 MNQ,{},sent,2026-05-19T15:13:17Z
alert_29329025e0b4,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted buy 3 MNQ,{},sent,2026-05-19T15:13:17Z
alert_49d2d8fb2700,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted sell 3 MNQ,{},sent,2026-05-19T15:13:17Z
alert_411be3210836,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted sell 3 MNQ,{},sent,2026-05-19T15:13:17Z
alert_87b7a7d85a38,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted sell 1 MNQ,{},sent,2026-05-19T15:13:17Z
alert_9e179a9d2039,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted sell 1 MNQ,{},sent,2026-05-19T15:13:17Z
alert_8077f5ef7e2b,mnq_monthly_orb_restricted_scaleout3_boundary_stop,info,Modified order ord_99944a49e323,{},sent,2026-05-19T15:13:17Z
alert_4043f2d1af24,mnq_monthly_orb_restricted_scaleout3_boundary_stop,info,Cancelled order ord_99944a49e323,{},sent,2026-05-19T15:13:18Z
alert_cd73d43dd23d,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted buy 3 MNQ,{},sent,2026-05-19T15:13:18Z
alert_c21525f1b8af,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted sell 3 MNQ,{},sent,2026-05-19T15:13:18Z
alert_eef2c35ad1b8,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted buy 3 MNQ,{},sent,2026-05-19T15:13:18Z
alert_0a7a3b2155bb,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-19T15:13:18Z
alert_0541d4816d88,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-19T15:13:18Z
alert_0f1d06f06d88,mnq_monthly_orb_restricted_scaleout3_boundary_stop,info,Modified order ord_a75e9cb11a77,{},sent,2026-05-19T15:13:18Z
alert_612d4cc22795,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted buy 3 MNQ,{},sent,2026-05-19T15:13:18Z
alert_1051e22aff3a,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted sell 3 MNQ,{},sent,2026-05-19T15:13:18Z
alert_7569d30ec19a,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted buy 3 MNQ,{},sent,2026-05-19T15:13:18Z
alert_0dc5ab8684e0,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-19T15:13:18Z
alert_90b3fbcf48b7,mnq_monthly_orb_restricted_scaleout3_boundary_stop,order_submitted,Submitted buy 1 MNQ,{},sent,2026-05-19T15:13:18Z
alert_0e91cfaded39,mnq_monthly_orb_restricted_scaleout3_boundary_stop,info,Monthly ORB month-end flatten requested,{},sent,2026-05-19T15:13:18Z
alert_663b32f8fe43,mnq_monthly_orb_restricted_scaleout3_boundary_stop,info,Cancelled order ord_a75e9cb11a77,{},sent,2026-05-19T15:13:18Z
alert_6f8665e2eca8,mnq_monthly_orb_restricted_scaleout3_boundary_stop,info,Cancelled order ord_ce561737bb5e,{},sent,2026-05-19T15:13:18Z
