intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_78f9574a9f8b,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201905_01,MNQ,paper,buy,stop,3,,7817.5,long_boundary_stop_entry,submitted,true,verify_20e1af396046,,false,entry,,,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201905_01_entry_oco,GTC,2019-05-07,2019-06-01T00:00:00,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_249b9cdf01cf,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201905_01,MNQ,paper,sell,stop,3,,7581.5,short_boundary_stop_entry,submitted,true,verify_e9c9edf6ca7c,,false,entry,,,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201905_01_entry_oco,GTC,2019-05-07,2019-06-01T00:00:00,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_c03e96329209,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201905_01,MNQ,paper,buy,stop,3,,7817.5,short_protective_stop,submitted,false,,,true,stop,,,,GTC,2019-05-09,,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_fa6caa8f208d,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201905_01,MNQ,paper,buy,limit,1,7522.5,,target,submitted,false,,,true,target,,,,GTC,2019-05-09,,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_61b670e07e35,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201905_01,MNQ,paper,buy,limit,1,7345.5,,target,submitted,false,,,true,target,,,,GTC,2019-05-09,,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_b36455b4b9cb,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201905_02,MNQ,paper,buy,stop,3,,7817.5,long_boundary_stop_entry,submitted,true,verify_0ff4c5daacc1,,false,entry,,,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201905_02_entry_oco,GTC,2019-05-16,2019-06-01T00:00:00,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_bed3e91d2be1,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201905_02,MNQ,paper,sell,stop,3,,7581.5,short_boundary_stop_entry,submitted,true,verify_4dc7d5014ca9,,false,entry,,,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201905_02_entry_oco,GTC,2019-05-16,2019-06-01T00:00:00,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_eb8b856b2b26,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201905_02,MNQ,paper,buy,stop,3,,7817.5,short_protective_stop,submitted,false,,,true,stop,,,,GTC,2019-05-17,,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_f290ff85b6a7,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201905_02,MNQ,paper,buy,limit,1,7522.5,,target,submitted,false,,,true,target,,,,GTC,2019-05-17,,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_065a76a34035,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201905_02,MNQ,paper,buy,limit,1,7345.5,,target,submitted,false,,,true,target,,,,GTC,2019-05-17,,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_6e3f06829589,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201905_02,MNQ,paper,buy,market_close,1,,,month_end_flatten,submitted,false,,,true,close,,,,GTC,2019-05-31,,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_699b430da39f,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201906_01,MNQ,paper,buy,stop,3,,7211.25,long_boundary_stop_entry,submitted,true,verify_fafedddd6edd,,false,entry,,,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201906_01_entry_oco,GTC,2019-06-04,2019-07-01T00:00:00,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_b9c1bd7ff8da,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201906_01,MNQ,paper,sell,stop,3,,6940.5,short_boundary_stop_entry,submitted,true,verify_b9e8a1bc5591,,false,entry,,,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201906_01_entry_oco,GTC,2019-06-04,2019-07-01T00:00:00,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_60d40c31c6dc,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201906_01,MNQ,paper,sell,stop,3,,6940.5,long_protective_stop,submitted,false,,,true,stop,,,,GTC,2019-06-05,,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_c54f844db542,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201906_01,MNQ,paper,sell,limit,1,7278.9375,,target,submitted,false,,,true,target,,,,GTC,2019-06-05,,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_f176c46bbda9,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201906_01,MNQ,paper,sell,limit,1,7482.0,,target,submitted,false,,,true,target,,,,GTC,2019-06-05,,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_9084cf6540dc,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201906_01,MNQ,paper,sell,market_close,1,,,month_end_flatten,submitted,false,,,true,close,,,,GTC,2019-06-30,,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_82100b97647d,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201907_01,MNQ,paper,buy,stop,3,,7900.75,long_boundary_stop_entry,submitted,true,verify_59fc791372e3,,false,entry,,,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201907_01_entry_oco,GTC,2019-07-03,2019-08-01T00:00:00,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_7b68eb99493b,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201907_01,MNQ,paper,sell,stop,3,,7758.75,short_boundary_stop_entry,submitted,true,verify_d505bff17e83,,false,entry,,,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201907_01_entry_oco,GTC,2019-07-03,2019-08-01T00:00:00,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_e8f30efe5062,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201907_01,MNQ,paper,sell,stop,3,,7758.75,long_protective_stop,submitted,false,,,true,stop,,,,GTC,2019-07-04,,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_857ea38bff6e,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201907_01,MNQ,paper,sell,limit,1,7936.25,,target,submitted,false,,,true,target,,,,GTC,2019-07-04,,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_2b7efcfd3a89,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201907_01,MNQ,paper,sell,limit,1,8042.75,,target,submitted,false,,,true,target,,,,GTC,2019-07-04,,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_68115dd79b49,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201907_02,MNQ,paper,buy,stop,3,,7900.75,long_boundary_stop_entry,submitted,true,verify_a462ad26e176,,false,entry,,,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201907_02_entry_oco,GTC,2019-07-09,2019-08-01T00:00:00,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_b1464c62be9a,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201907_02,MNQ,paper,sell,stop,3,,7758.75,short_boundary_stop_entry,submitted,true,verify_61b7d90d9081,,false,entry,,,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201907_02_entry_oco,GTC,2019-07-09,2019-08-01T00:00:00,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_d5e436e9f58c,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201907_02,MNQ,paper,sell,stop,3,,7758.75,long_protective_stop,submitted,false,,,true,stop,,,,GTC,2019-07-10,,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_6d2deb2b9e0f,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201907_02,MNQ,paper,sell,limit,1,7936.25,,target,submitted,false,,,true,target,,,,GTC,2019-07-10,,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_273d69f1479c,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201907_02,MNQ,paper,sell,limit,1,8042.75,,target,submitted,false,,,true,target,,,,GTC,2019-07-10,,2026-05-19T15:13:17Z,2026-05-19T15:13:17Z
intent_cfbc5d833a78,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201908_01,MNQ,paper,buy,stop,3,,8014.5,long_boundary_stop_entry,submitted,true,verify_4d036d645672,,false,entry,,,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201908_01_entry_oco,GTC,2019-08-04,2019-09-01T00:00:00,2026-05-19T15:13:18Z,2026-05-19T15:13:18Z
intent_2595ee0e24ea,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201908_01,MNQ,paper,sell,stop,3,,7650.0,short_boundary_stop_entry,submitted,true,verify_95706703392d,,false,entry,,,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201908_01_entry_oco,GTC,2019-08-04,2019-09-01T00:00:00,2026-05-19T15:13:18Z,2026-05-19T15:13:18Z
intent_d700987a948c,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201908_01,MNQ,paper,buy,stop,3,,8014.5,short_protective_stop,submitted,false,,,true,stop,,,,GTC,2019-08-05,,2026-05-19T15:13:18Z,2026-05-19T15:13:18Z
intent_c1a9898a4dd3,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201908_01,MNQ,paper,buy,limit,1,7558.875,,target,submitted,false,,,true,target,,,,GTC,2019-08-05,,2026-05-19T15:13:18Z,2026-05-19T15:13:18Z
intent_cbbe83ee349e,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201908_01,MNQ,paper,buy,limit,1,7285.5,,target,submitted,false,,,true,target,,,,GTC,2019-08-05,,2026-05-19T15:13:18Z,2026-05-19T15:13:18Z
intent_a82d22c7f875,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201908_02,MNQ,paper,buy,stop,3,,8014.5,long_boundary_stop_entry,submitted,true,verify_91d690113074,,false,entry,,,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201908_02_entry_oco,GTC,2019-08-08,2019-09-01T00:00:00,2026-05-19T15:13:18Z,2026-05-19T15:13:18Z
intent_4ddc6f4f6bfe,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201908_02,MNQ,paper,sell,stop,3,,7650.0,short_boundary_stop_entry,submitted,true,verify_01436e10c7b3,,false,entry,,,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201908_02_entry_oco,GTC,2019-08-08,2019-09-01T00:00:00,2026-05-19T15:13:18Z,2026-05-19T15:13:18Z
intent_54738140880c,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201908_02,MNQ,paper,buy,stop,3,,8014.5,short_protective_stop,submitted,false,,,true,stop,,,,GTC,2019-08-09,,2026-05-19T15:13:18Z,2026-05-19T15:13:18Z
intent_4df99f7e5420,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201908_02,MNQ,paper,buy,limit,1,7558.875,,target,submitted,false,,,true,target,,,,GTC,2019-08-09,,2026-05-19T15:13:18Z,2026-05-19T15:13:18Z
intent_f713552cb414,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201908_02,MNQ,paper,buy,limit,1,7285.5,,target,submitted,false,,,true,target,,,,GTC,2019-08-09,,2026-05-19T15:13:18Z,2026-05-19T15:13:18Z
intent_9b8eb47ee968,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201908_02,MNQ,paper,buy,market_close,2,,,month_end_flatten,submitted,false,,,true,close,,,,GTC,2019-08-30,,2026-05-19T15:13:18Z,2026-05-19T15:13:18Z
intent_d9c89def9290,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201909_01,MNQ,paper,buy,stop,3,,7695.75,long_boundary_stop_entry,submitted,true,verify_4c90da80e611,,false,entry,,,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201909_01_entry_oco,GTC,2019-09-03,2019-10-01T00:00:00,2026-05-19T15:13:18Z,2026-05-19T15:13:18Z
intent_7335ddf88a22,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201909_01,MNQ,paper,sell,stop,3,,7581.5,short_boundary_stop_entry,submitted,true,verify_49bed769afd6,,false,entry,,,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201909_01_entry_oco,GTC,2019-09-03,2019-10-01T00:00:00,2026-05-19T15:13:18Z,2026-05-19T15:13:18Z
intent_b3128024d16d,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201909_01,MNQ,paper,sell,stop,3,,7581.5,long_protective_stop,submitted,false,,,true,stop,,,,GTC,2019-09-04,,2026-05-19T15:13:18Z,2026-05-19T15:13:18Z
intent_00fee3a5e3c2,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201909_01,MNQ,paper,sell,limit,1,7724.3125,,target,submitted,false,,,true,target,,,,GTC,2019-09-04,,2026-05-19T15:13:18Z,2026-05-19T15:13:18Z
intent_c2fe921dced7,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201909_01,MNQ,paper,sell,limit,1,7810.0,,target,submitted,false,,,true,target,,,,GTC,2019-09-04,,2026-05-19T15:13:18Z,2026-05-19T15:13:18Z
intent_0282eb5720fa,mnq_monthly_orb_restricted_scaleout3_boundary_stop,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201909_02,MNQ,paper,buy,stop,3,,7695.75,long_boundary_stop_entry,submitted,true,verify_dc3e3a915f3e,,false,entry,,,mnq_monthly_orb_restricted_scaleout3_boundary_stop_201909_02_entry_oco,GTC,2019-09-25,2019-10-01T00:00:00,2026-05-19T15:13:18Z,2026-05-19T15:13:18Z
