year,bars,net_pts,above_ma50_pct,chart
2010,179,392.5,62.56983240223464,charts/2010.png
2011,309,54.75,57.28155339805825,charts/2011.png
2012,311,346.75,65.27331189710611,charts/2012.png
2013,306,907.0,91.50326797385621,charts/2013.png
2014,302,706.0,74.83443708609272,charts/2014.png
2015,312,352.25,62.17948717948718,charts/2015.png
2016,310,269.75,62.58064516129033,charts/2016.png
2017,309,1508.25,91.58576051779936,charts/2017.png
2018,312,-52.75,61.21794871794872,charts/2018.png
2019,312,2422.5,78.2051282051282,charts/2019.png
2020,312,4106.25,78.84615384615384,charts/2020.png
2021,311,3442.5,75.88424437299035,charts/2021.png
2022,310,-5314.25,30.32258064516129,charts/2022.png
2023,310,5881.25,77.74193548387098,charts/2023.png
2024,313,4215.25,81.78913738019169,charts/2024.png
2025,312,4165.75,72.43589743589743,charts/2025.png
2026,57,-1263.25,36.84210526315789,charts/2026.png
