campaign_id,session_date,year,month,dow,entry_hour,strategy_book,base_size,base_realized_pnl,base_path_contribution,hp_flag,extra_size_multiplier,actual_extra_mask,actual_total_size,causal_flag_known_before_entry,condition,bucket,trade_id,entry_ts,net_usd
es_quarterly_range_breakout_t1,2010-07-04,2010,7,Saturday,20,es_quarterly_range_breakout,1.0,-24662.0,-24662.0,False,0.25,False,1.0,True,Weekly ATR trend vs trade,w_atr_aligned,es_quarterly_range_breakout_t1,2010-07-04 00:00:00+00:00,-24662.0
es_quarterly_range_breakout_t2,2010-09-21,2010,9,Monday,20,es_quarterly_range_breakout,1.0,2488.0,2488.0,True,0.25,True,1.25,True,Weekly ATR trend vs trade,w_atr_aligned,es_quarterly_range_breakout_t2,2010-09-21 00:00:00+00:00,2488.0
es_quarterly_range_breakout_t3,2010-10-06,2010,10,Tuesday,20,es_quarterly_range_breakout,1.0,28128.000000000007,28128.000000000007,True,0.25,True,1.25,True,Weekly ATR trend vs trade,w_atr_aligned,es_quarterly_range_breakout_t3,2010-10-06 00:00:00+00:00,28128.000000000007
es_quarterly_range_breakout_t4,2011-01-04,2011,1,Monday,19,es_quarterly_range_breakout,1.0,20027.999999999985,20027.999999999985,True,0.25,True,1.25,True,Weekly ATR trend vs trade,w_atr_aligned,es_quarterly_range_breakout_t4,2011-01-04 00:00:00+00:00,20027.999999999985
es_quarterly_range_breakout_t5,2011-04-27,2011,4,Tuesday,20,es_quarterly_range_breakout,1.0,-13389.50000000001,-13389.50000000001,True,0.25,True,1.25,True,Weekly ATR trend vs trade,w_atr_aligned,es_quarterly_range_breakout_t5,2011-04-27 00:00:00+00:00,-13389.50000000001
es_quarterly_range_breakout_t6,2011-08-03,2011,8,Tuesday,20,es_quarterly_range_breakout,1.0,24238.0,24238.0,False,0.25,False,1.0,True,Weekly ATR trend vs trade,w_atr_aligned,es_quarterly_range_breakout_t6,2011-08-03 00:00:00+00:00,24238.0
es_quarterly_range_breakout_t7,2012-01-13,2012,1,Thursday,19,es_quarterly_range_breakout,1.0,36463.0,36463.0,False,0.25,False,1.0,True,Weekly ATR trend vs trade,w_atr_aligned,es_quarterly_range_breakout_t7,2012-01-13 00:00:00+00:00,36463.0
es_quarterly_range_breakout_t8,2012-09-07,2012,9,Thursday,20,es_quarterly_range_breakout,1.0,4528.000000000009,4528.000000000009,True,0.25,True,1.25,True,Weekly ATR trend vs trade,w_atr_aligned,es_quarterly_range_breakout_t8,2012-09-07 00:00:00+00:00,4528.000000000009
es_quarterly_range_breakout_t9,2013-01-11,2013,1,Thursday,19,es_quarterly_range_breakout,1.0,23703.000000000007,23703.000000000007,True,0.25,True,1.25,True,Weekly ATR trend vs trade,w_atr_aligned,es_quarterly_range_breakout_t9,2013-01-11 00:00:00+00:00,23703.000000000007
es_quarterly_range_breakout_t10,2013-04-03,2013,4,Tuesday,20,es_quarterly_range_breakout,1.0,25238.0,25238.0,True,0.25,True,1.25,True,Weekly ATR trend vs trade,w_atr_aligned,es_quarterly_range_breakout_t10,2013-04-03 00:00:00+00:00,25238.0
