intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_50ded643a6e2,eurusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,eurusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t1,EURUSD,paper,sell,limit,1,1.181957702593769,,entry,submitted,true,quiet_intent_50ded643a6e2,,false,entry,1.1826328666942143,1.1726328666942143,,GTC,2003-06-01T22:00:00-04:00,,2026-07-18T21:52:39Z,2026-07-18T21:52:39Z
intent_792fff863d2b,eurusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,eurusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t2,EURUSD,paper,sell,limit,1,1.1782800423916366,,entry,submitted,true,quiet_intent_792fff863d2b,,false,entry,1.1774524855315642,1.1674524855315642,,GTC,2003-06-09T02:00:00-04:00,,2026-07-18T21:52:39Z,2026-07-18T21:52:39Z
intent_e0e4ae3c29bc,eurusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,eurusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t2,EURUSD,paper,buy,stop,1,,1.1774524855315642,protective_stop,submitted,false,,intent_792fff863d2b,true,stop,,,ord_177e4b445bc0_bracket,GTC,,,2026-07-18T21:52:39Z,2026-07-18T21:52:39Z
intent_dd659accd312,eurusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,eurusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t2,EURUSD,paper,buy,limit,1,1.1674524855315642,,target,submitted,false,,intent_792fff863d2b,true,target,,,ord_177e4b445bc0_bracket,GTC,,,2026-07-18T21:52:39Z,2026-07-18T21:52:39Z
intent_e9fcc3d635c7,eurusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,eurusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t3,EURUSD,paper,buy,limit,1,1.1660158407244772,,entry,submitted,true,quiet_intent_e9fcc3d635c7,,false,entry,1.1635158407244772,1.1735158407244772,,GTC,2003-06-09T13:00:00-04:00,,2026-07-18T21:52:39Z,2026-07-18T21:52:39Z
intent_47830b057879,eurusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,eurusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t4,EURUSD,paper,sell,limit,1,1.1783817827978866,,entry,submitted,true,quiet_intent_47830b057879,,false,entry,1.1808817827978866,1.1708817827978866,,GTC,2003-06-12T22:00:00-04:00,,2026-07-18T21:52:39Z,2026-07-18T21:52:39Z
intent_fc82b4a094f6,eurusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,eurusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t5,EURUSD,paper,sell,limit,1,1.1783817827978866,,entry,submitted,true,quiet_intent_fc82b4a094f6,,false,entry,1.1808817827978866,1.1708817827978866,,GTC,2003-06-13T01:00:00-04:00,,2026-07-18T21:52:39Z,2026-07-18T21:52:39Z
intent_53367cc1bd4f,eurusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,eurusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t6,EURUSD,paper,sell,limit,1,1.1783817827978866,,entry,submitted,true,quiet_intent_53367cc1bd4f,,false,entry,1.1808817827978866,1.1708817827978866,,GTC,2003-06-13T07:00:00-04:00,,2026-07-18T21:52:39Z,2026-07-18T21:52:39Z
intent_f580adba11d0,eurusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,eurusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t7,EURUSD,paper,sell,limit,1,1.1783817827978866,,entry,submitted,true,quiet_intent_f580adba11d0,,false,entry,1.1808817827978866,1.1708817827978866,,GTC,2003-06-13T12:00:00-04:00,,2026-07-18T21:52:39Z,2026-07-18T21:52:39Z
intent_61a9d947fdc4,eurusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior,eurusd_hourly_st_pmc_sl25_tp75_3r_ma_bull_prior_t7,EURUSD,paper,buy,stop,1,,1.1808817827978866,protective_stop,submitted,false,,intent_f580adba11d0,true,stop,,,ord_cdf4594023a0_bracket,GTC,,,2026-07-18T21:52:39Z,2026-07-18T21:52:39Z
