intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_d784460f7855,eurusd_st_daybias_f30_month,eurusd_st_daybias_f30_month_t2,EURUSD,paper,sell,limit,1,1.19495,,entry,submitted,true,quiet_intent_d784460f7855,,false,entry,,,,GTC,2015-01-06T00:00:00-05:00,,2026-07-18T23:34:34Z,2026-07-18T23:34:34Z
intent_9c53d06d997b,eurusd_st_daybias_f30_month,eurusd_st_daybias_f30_month_t2,EURUSD,paper,buy,stop,1,,1.19762,protective_stop,submitted,false,,,true,stop,,,,GTC,2015-01-06T02:00:00-05:00,,2026-07-18T23:34:34Z,2026-07-18T23:34:34Z
intent_3da8e88ca9f5,eurusd_st_daybias_f30_month,eurusd_st_daybias_f30_month_t2,EURUSD,paper,sell,limit,1,1.193192,,add,submitted,true,quiet_intent_3da8e88ca9f5,,false,add,,,,GTC,2015-01-07T00:00:00-05:00,,2026-07-18T23:34:34Z,2026-07-18T23:34:34Z
intent_17eb891967de,eurusd_st_daybias_f30_month,eurusd_st_daybias_f30_month_t2,EURUSD,paper,sell,limit,1,1.186828,,add,submitted,true,quiet_intent_17eb891967de,,false,add,,,,GTC,2015-01-08T00:00:00-05:00,,2026-07-18T23:34:34Z,2026-07-18T23:34:34Z
intent_615f3dbd7ac0,eurusd_st_daybias_f30_month,eurusd_st_daybias_f30_month_t2,EURUSD,paper,sell,limit,1,1.181954,,add,submitted,true,quiet_intent_615f3dbd7ac0,,false,add,,,,GTC,2015-01-09T00:00:00-05:00,,2026-07-18T23:34:34Z,2026-07-18T23:34:34Z
intent_6e1c7c52cdfc,eurusd_st_daybias_f30_month,eurusd_st_daybias_f30_month_t2,EURUSD,paper,buy,stop,2,,1.18475,protective_stop,submitted,false,,,true,stop,,,,GTC,2015-01-09T13:00:00-05:00,,2026-07-18T23:34:34Z,2026-07-18T23:34:34Z
intent_baf13b94181f,eurusd_st_daybias_f30_month,eurusd_st_daybias_f30_month_t4,EURUSD,paper,buy,limit,1,1.1852470000000002,,entry,submitted,true,quiet_intent_baf13b94181f,,false,entry,,,,GTC,2015-01-12T00:00:00-05:00,,2026-07-18T23:34:34Z,2026-07-18T23:34:34Z
intent_1b0c0c0c9e51,eurusd_st_daybias_f30_month,eurusd_st_daybias_f30_month_t4,EURUSD,paper,sell,stop,1,,1.1845,protective_stop,submitted,false,,,true,stop,,,,GTC,2015-01-12T01:00:00-05:00,,2026-07-18T23:34:34Z,2026-07-18T23:34:34Z
intent_d430ece88d2d,eurusd_st_daybias_f30_month,eurusd_st_daybias_f30_month_t6,EURUSD,paper,sell,limit,1,1.1827649999999998,,entry,submitted,true,quiet_intent_d430ece88d2d,,false,entry,,,,GTC,2015-01-14T00:00:00-05:00,,2026-07-18T23:34:34Z,2026-07-18T23:34:34Z
intent_8173f04c3e0c,eurusd_st_daybias_f30_month,eurusd_st_daybias_f30_month_t6,EURUSD,paper,buy,stop,1,,1.18596,protective_stop,submitted,false,,,true,stop,,,,GTC,2015-01-14T13:00:00-05:00,,2026-07-18T23:34:34Z,2026-07-18T23:34:34Z
