broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_9e9e677f9e0a,intent_cd211c9b73d6,eurusd_st_daybias_f40_month,eurusd_st_daybias_f40_month_t2,EURUSD,paper,sell,limit,1,0,filled,1.19406,,false,entry,,,2015-01-06T00:00:00-05:00,,2026-07-18T23:38:03Z,2026-07-18T23:38:03Z
ord_c15017131419,intent_234163ff7721,eurusd_st_daybias_f40_month,eurusd_st_daybias_f40_month_t2,EURUSD,paper,buy,stop,1,1,cancelled,,1.19762,true,stop,,,2015-01-06T00:57:00-05:00,,2026-07-18T23:38:03Z,2026-07-18T23:38:03Z
ord_1ba6f75d6031,intent_d5b02f7ddb41,eurusd_st_daybias_f40_month,eurusd_st_daybias_f40_month_t2,EURUSD,paper,sell,limit,1,1,cancelled,1.191966,,false,add,,,2015-01-07T00:00:00-05:00,,2026-07-18T23:38:03Z,2026-07-18T23:38:03Z
ord_583b48179901,intent_28f362244dac,eurusd_st_daybias_f40_month,eurusd_st_daybias_f40_month_t2,EURUSD,paper,sell,limit,1,1,cancelled,1.185884,,false,add,,,2015-01-08T00:00:00-05:00,,2026-07-18T23:38:03Z,2026-07-18T23:38:03Z
ord_08ab631cf543,intent_5e570e416fdc,eurusd_st_daybias_f40_month,eurusd_st_daybias_f40_month_t2,EURUSD,paper,sell,limit,1,0,filled,1.181022,,false,add,,,2015-01-09T00:00:00-05:00,,2026-07-18T23:38:03Z,2026-07-18T23:38:03Z
ord_683faa830504,intent_66329bdf44ba,eurusd_st_daybias_f40_month,eurusd_st_daybias_f40_month_t2,EURUSD,paper,buy,stop,2,0,filled,,1.18475,true,stop,,,2015-01-09T04:00:00-05:00,,2026-07-18T23:38:03Z,2026-07-18T23:38:03Z
ord_90c549bb9e4c,intent_ee96cddb5e02,eurusd_st_daybias_f40_month,eurusd_st_daybias_f40_month_t4,EURUSD,paper,buy,limit,1,0,filled,1.185496,,false,entry,,,2015-01-12T00:00:00-05:00,,2026-07-18T23:38:03Z,2026-07-18T23:38:03Z
ord_1390f8fe664f,intent_a7ae441fd77c,eurusd_st_daybias_f40_month,eurusd_st_daybias_f40_month_t4,EURUSD,paper,sell,stop,1,0,filled,,1.1845,true,stop,,,2015-01-12T01:00:00-05:00,,2026-07-18T23:38:03Z,2026-07-18T23:38:03Z
ord_3bb5004162ee,intent_43f2731c8087,eurusd_st_daybias_f40_month,eurusd_st_daybias_f40_month_t6,EURUSD,paper,sell,limit,1,0,filled,1.1817,,false,entry,,,2015-01-14T00:00:00-05:00,,2026-07-18T23:38:03Z,2026-07-18T23:38:03Z
ord_af5e6f461bf5,intent_634b493889f4,eurusd_st_daybias_f40_month,eurusd_st_daybias_f40_month_t6,EURUSD,paper,buy,stop,1,1,cancelled,,1.18596,true,stop,,,2015-01-14T13:00:00-05:00,,2026-07-18T23:38:03Z,2026-07-18T23:38:03Z
ord_1d10572c5c69,intent_8a7d493baeeb,eurusd_st_daybias_f40_month,eurusd_st_daybias_f40_month_t6,EURUSD,paper,sell,limit,1,1,cancelled,1.157322,,false,add,,,2015-01-18T22:00:00-05:00,,2026-07-18T23:38:03Z,2026-07-18T23:38:03Z
ord_784e08f68d9a,intent_ab91b2ca714e,eurusd_st_daybias_f40_month,eurusd_st_daybias_f40_month_t6,EURUSD,paper,sell,limit,1,0,filled,1.15647,,false,add,,,2015-01-19T00:00:00-05:00,,2026-07-18T23:38:03Z,2026-07-18T23:38:03Z
ord_a4965b574333,intent_fb0085c822ed,eurusd_st_daybias_f40_month,eurusd_st_daybias_f40_month_t6,EURUSD,paper,buy,stop,2,0,filled,,1.15735,true,stop,,,2015-01-19T00:03:00-05:00,,2026-07-18T23:38:03Z,2026-07-18T23:38:03Z
ord_3dce59824eab,intent_2a4f283763fb,eurusd_st_daybias_f40_month,eurusd_st_daybias_f40_month_t8,EURUSD,paper,buy,limit,1,0,filled,1.131238,,false,entry,,,2015-02-01T22:00:00-05:00,,2026-07-18T23:38:03Z,2026-07-18T23:38:03Z
ord_5ceaa5d40188,intent_dcf906ba832f,eurusd_st_daybias_f40_month,eurusd_st_daybias_f40_month_t8,EURUSD,paper,sell,stop,1,1,cancelled,,1.12783,true,stop,,,2015-02-01T22:01:00-05:00,,2026-07-18T23:38:03Z,2026-07-18T23:38:03Z
