fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_d35c443c4378,ord_71c81e71353f,intent_8829643c9d5e,eurusd_monthly_orb_fbo_filt_ema100_1h_atr80_1_2_3,eurusd_monthly_orb_fbo_filt_ema100_1h_atr80_1_2_3_200306_01,EURUSD,paper,buy,6,1.18392,2003-06-06,entry
fill_5f70a4c4e020,ord_18e6dfe707f5,intent_97ce3bdeb5c6,eurusd_monthly_orb_fbo_filt_ema100_1h_atr80_1_2_3,eurusd_monthly_orb_fbo_filt_ema100_1h_atr80_1_2_3_200306_01,EURUSD,paper,sell,1,1.1870925,2003-06-13,tp1
fill_cd9d86665f27,ord_8635ec7f9f76,intent_90969a34c163,eurusd_monthly_orb_fbo_filt_ema100_1h_atr80_1_2_3,eurusd_monthly_orb_fbo_filt_ema100_1h_atr80_1_2_3_200306_01,EURUSD,paper,sell,5,1.18177,2003-06-16,close
fill_a1034a06c633,ord_4d0040900a95,intent_fb2d85bbf242,eurusd_monthly_orb_fbo_filt_ema100_1h_atr80_1_2_3,eurusd_monthly_orb_fbo_filt_ema100_1h_atr80_1_2_3_200306_02,EURUSD,paper,sell,6,1.16503,2003-06-19,entry
fill_c10381a659ee,ord_e1f24823c32b,intent_02701df55ec2,eurusd_monthly_orb_fbo_filt_ema100_1h_atr80_1_2_3,eurusd_monthly_orb_fbo_filt_ema100_1h_atr80_1_2_3_200306_02,EURUSD,paper,buy,1,1.1618575,2003-06-20,tp1
fill_90f7ba9bca4c,ord_32f42db76871,intent_35dbea3d0d13,eurusd_monthly_orb_fbo_filt_ema100_1h_atr80_1_2_3,eurusd_monthly_orb_fbo_filt_ema100_1h_atr80_1_2_3_200306_02,EURUSD,paper,buy,2,1.1523400000000001,2003-06-23,tp2
fill_ff3d441ca9b1,ord_c952aad8fe1c,intent_a8e7a3628c6b,eurusd_monthly_orb_fbo_filt_ema100_1h_atr80_1_2_3,eurusd_monthly_orb_fbo_filt_ema100_1h_atr80_1_2_3_200306_02,EURUSD,paper,buy,3,1.1396500000000003,2003-06-30,tp3
fill_498d034b0f74,ord_9797c19abff7,intent_5e1193259571,eurusd_monthly_orb_fbo_filt_ema100_1h_atr80_1_2_3,eurusd_monthly_orb_fbo_filt_ema100_1h_atr80_1_2_3_200308_04,EURUSD,paper,sell,6,1.11337,2003-08-18,entry
fill_5beb6087a29c,ord_9379f194ea78,intent_d8843802bbac,eurusd_monthly_orb_fbo_filt_ema100_1h_atr80_1_2_3,eurusd_monthly_orb_fbo_filt_ema100_1h_atr80_1_2_3_200308_04,EURUSD,paper,buy,1,1.10738,2003-08-19,tp1
fill_5c05ba1a668e,ord_9cb793d7dbf4,intent_c1d2d69632a7,eurusd_monthly_orb_fbo_filt_ema100_1h_atr80_1_2_3,eurusd_monthly_orb_fbo_filt_ema100_1h_atr80_1_2_3_200308_04,EURUSD,paper,buy,2,1.08941,2003-08-21,tp2
