ts,realized_points,open_units,close_equity_points,intrabar_stress_points,peak_close_points,close_dd_usd,intrabar_dd_usd
2003-05-06,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-07,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-08,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-09,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-11,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-12,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-13,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-14,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-15,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-16,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-18,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-19,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-20,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-21,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-22,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-23,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-25,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-26,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-27,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-28,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-29,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-05-30,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-06-01,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-06-02,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-06-03,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-06-04,0.000000,0,0.000000,0.000000,0.000000,0.00,0.00
2003-06-05,0.000000,5,0.031150,-0.075050,0.031150,0.00,-10620.00
2003-06-06,0.000000,5,-0.040150,-0.047250,0.031150,-7130.00,-7840.00
2003-06-08,-0.029338,0,-0.029338,-0.029338,0.031150,-6048.75,-6048.75
2003-06-09,-0.029338,0,-0.029338,-0.029338,0.031150,-6048.75,-6048.75
2003-06-10,-0.029338,0,-0.029338,-0.029338,0.031150,-6048.75,-6048.75
2003-06-11,-0.029338,0,-0.029338,-0.029338,0.031150,-6048.75,-6048.75
2003-06-12,-0.029338,0,-0.029338,-0.029338,0.031150,-6048.75,-6048.75
2003-06-13,-0.029338,0,-0.029338,-0.029338,0.031150,-6048.75,-6048.75
2003-06-15,-0.029338,0,-0.029338,-0.029338,0.031150,-6048.75,-6048.75
2003-06-16,-0.029338,0,-0.029338,-0.029338,0.031150,-6048.75,-6048.75
2003-06-17,-0.029338,0,-0.029338,-0.029338,0.031150,-6048.75,-6048.75
2003-06-18,-0.029338,0,-0.029338,-0.029338,0.031150,-6048.75,-6048.75
2003-06-19,-0.029338,5,-0.056237,-0.072788,0.031150,-8738.75,-10393.75
2003-06-20,-0.029338,5,-0.004687,-0.070838,0.031150,-3583.75,-10198.75
2003-06-22,-0.026235,4,-0.000115,-0.005995,0.031150,-3126.50,-3714.50
2003-06-23,-0.026235,4,0.014285,-0.007235,0.031150,-1686.50,-3838.50
2003-06-24,0.024245,0,0.024245,0.024245,0.031150,-690.50,-690.50
