intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_04e7489e1b93,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200305_01,EURUSD,paper,sell,stop,5,,1.12723,short_boundary_stop_entry,submitted,true,verify_b85a508f209f,,false,entry,,,,GTC,2003-05-09,2003-06-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
intent_cb4682c0dab7,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200306_01,EURUSD,paper,buy,stop,5,,1.17773,long_boundary_stop_entry,submitted,true,verify_5767992d1eff,,false,entry,,,,GTC,2003-06-04,2003-07-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
intent_49642ab0c29a,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200306_01,EURUSD,paper,sell,limit,1,1.1809125,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,2003-06-05,2003-07-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
intent_a535463c4baf,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200306_01,EURUSD,paper,sell,limit,4,1.1904299999999999,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,2003-06-05,2003-07-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
intent_f55ffc7430a6,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200306_01,EURUSD,paper,sell,market_close,4,,,stop_close,submitted,false,,,true,close,,,,GTC,2003-06-06,,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
intent_36109d3f4614,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200306_02,EURUSD,paper,sell,stop,5,,1.16504,short_boundary_stop_entry,submitted,true,verify_3d7aada69f6a,,false,entry,,,,GTC,2003-06-09,2003-07-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
intent_a81053369ecc,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200306_02,EURUSD,paper,buy,limit,1,1.1618575,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,2003-06-19,2003-07-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
intent_414b8dfdae42,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200306_02,EURUSD,paper,buy,limit,4,1.1523400000000001,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,2003-06-19,2003-07-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
intent_49d373b5b504,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200307_01,EURUSD,paper,buy,stop,5,,1.16069,long_boundary_stop_entry,submitted,true,verify_9d0ea6a12419,,false,entry,,,,GTC,2003-07-07,2003-08-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
intent_97a4c9180336,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200308_01,EURUSD,paper,sell,stop,5,,1.11338,short_boundary_stop_entry,submitted,true,verify_d5a3903ce992,,false,entry,,,,GTC,2003-08-05,2003-09-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
intent_1c75cc4fd774,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200308_01,EURUSD,paper,buy,limit,1,1.10738,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,2003-08-18,2003-09-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
intent_747691a07a92,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200308_01,EURUSD,paper,buy,limit,4,1.08941,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,2003-08-18,2003-09-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
