broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_37520e9991b2,intent_04e7489e1b93,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200305_01,EURUSD,paper,sell,stop,5,5,cancelled,,1.12723,false,entry,,,2003-05-09,2003-06-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
ord_2e64a2974e94,intent_cb4682c0dab7,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200306_01,EURUSD,paper,buy,stop,5,0,filled,,1.17773,false,entry,,,2003-06-04,2003-07-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
ord_94e9408ea4aa,intent_49642ab0c29a,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200306_01,EURUSD,paper,sell,limit,1,0,filled,1.1809125,,true,tp1,,,2003-06-05,2003-07-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
ord_99bab79c87ed,intent_a535463c4baf,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200306_01,EURUSD,paper,sell,limit,4,4,cancelled,1.1904299999999999,,true,tp2,,,2003-06-05,2003-07-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
ord_564b9f65b1dc,intent_f55ffc7430a6,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200306_01,EURUSD,paper,sell,market_close,4,0,filled,,,true,close,,,2003-06-06,,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
ord_d8a697606071,intent_36109d3f4614,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200306_02,EURUSD,paper,sell,stop,5,0,filled,,1.16504,false,entry,,,2003-06-09,2003-07-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
ord_eeb9e1262902,intent_a81053369ecc,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200306_02,EURUSD,paper,buy,limit,1,0,filled,1.1618575,,true,tp1,,,2003-06-19,2003-07-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
ord_62fecb8df058,intent_414b8dfdae42,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200306_02,EURUSD,paper,buy,limit,4,0,filled,1.1523400000000001,,true,tp2,,,2003-06-19,2003-07-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
ord_fd0a9b0929ff,intent_49d373b5b504,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200307_01,EURUSD,paper,buy,stop,5,5,cancelled,,1.16069,false,entry,,,2003-07-07,2003-08-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
ord_30dcc342e90f,intent_97a4c9180336,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200308_01,EURUSD,paper,sell,stop,5,0,filled,,1.11338,false,entry,,,2003-08-05,2003-09-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
ord_e6adeef412a8,intent_1c75cc4fd774,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200308_01,EURUSD,paper,buy,limit,1,0,filled,1.10738,,true,tp1,,,2003-08-18,2003-09-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
ord_df4597c6014e,intent_747691a07a92,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200308_01,EURUSD,paper,buy,limit,4,0,filled,1.08941,,true,tp2,,,2003-08-18,2003-09-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
ord_369a3ca3cbc9,intent_ec25c150c1ce,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200308_02,EURUSD,paper,buy,stop,5,5,cancelled,,1.13734,false,entry,,,2003-08-21,2003-09-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
ord_b842b40efee1,intent_8bd29db6a7b9,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200309_01,EURUSD,paper,sell,stop,5,5,cancelled,,1.07606,false,entry,,,2003-09-05,2003-10-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
ord_5bb3b796fed8,intent_07a69e9a25ed,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200310_01,EURUSD,paper,buy,stop,5,0,filled,,1.17668,false,entry,,,2003-10-06,2003-11-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
ord_47cc12247e58,intent_c6314373c6d8,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200310_01,EURUSD,paper,sell,limit,1,0,filled,1.1821424999999999,,true,tp1,,,2003-10-07,2003-11-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
ord_f5e2317117d9,intent_198999266cf0,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200310_01,EURUSD,paper,sell,limit,4,4,cancelled,1.1985,,true,tp2,,,2003-10-07,2003-11-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
ord_05772cb7a810,intent_e92b85c3ed4a,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200310_01,EURUSD,paper,sell,market_close,4,0,filled,,,true,close,,,2003-10-09,,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
ord_bdf62133e18e,intent_b4d33034dd76,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200310_02,EURUSD,paper,sell,stop,5,5,cancelled,,1.15487,false,entry,,,2003-10-10,2003-11-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
ord_556069653050,intent_abb8fe1d4bf7,eurusd_monthly_orb_fbo_1_4_0_close,eurusd_monthly_orb_fbo_1_4_0_close_200311_01,EURUSD,paper,buy,stop,5,0,filled,,1.16177,false,entry,,,2003-11-05,2003-12-01T00:00:00,2026-07-19T03:01:53Z,2026-07-19T03:01:53Z
