trade_id,month,side,entry,tp2_px,R,hit_2r,touched_2r_path,touched_be_after_tp2,closed_thru_entry_after_tp2,mfe_r_after_tp2,mae_r_after_tp2,close_d1_R,close_d3_R,close_d5_R,hold_d1,hold_d3,hold_d5,outcome
eurusd_monthly_orb_fbo_r2r_be1_1_1_3_200306_02,2003-06,short,1.16503,1.15234,0.012689999999999868,True,True,False,False,1.001,0.765,0.217,0.791,0.788,True,True,True,hit_2R
eurusd_monthly_orb_fbo_r2r_be1_1_1_3_200308_01,2003-08,short,1.11337,1.08941,0.02395999999999998,False,False,False,False,0.43,0.896,0.088,0.282,0.179,True,True,True,month_end
eurusd_monthly_orb_fbo_r2r_be1_1_1_3_200311_01,2003-11,long,1.16178,1.18111,0.01933000000000007,True,True,False,False,1.131,0.454,-0.336,0.423,0.525,False,True,True,hit_2R
eurusd_monthly_orb_fbo_r2r_be1_1_1_3_200408_01,2004-08,long,1.20929,1.2191599999999998,0.009869999999999823,True,True,True,True,1.954,2.094,0.736,0.36,1.812,True,True,True,hit_2R
eurusd_monthly_orb_fbo_r2r_be1_1_1_3_200410_01,2004-10,long,1.24329,1.26096,0.017669999999999852,True,True,False,False,1.304,0.702,0.007,0.719,0.787,True,True,True,hit_2R
eurusd_monthly_orb_fbo_r2r_be1_1_1_3_200502_01,2005-02,long,1.30913,1.32425,0.015120000000000022,False,False,False,False,0.233,0.657,-0.431,0.034,,False,True,,month_end
eurusd_monthly_orb_fbo_r2r_be1_1_1_3_200503_01,2005-03,short,1.3086799999999998,1.2949699999999995,0.013710000000000111,False,False,False,False,0.701,0.581,-0.028,0.489,0.209,False,True,True,month_end
eurusd_monthly_orb_fbo_r2r_be1_1_1_3_200606_01,2006-06,short,1.27219,1.2507199999999998,0.0214700000000001,False,False,True,True,0.143,1.33,-0.625,-0.591,-0.421,False,False,False,month_end
eurusd_monthly_orb_fbo_r2r_be1_1_1_3_200702_01,2007-02,long,1.30616,1.31757,0.01140999999999992,False,False,False,False,0.72,0.842,-0.347,-0.114,0.135,False,False,True,month_end
eurusd_monthly_orb_fbo_r2r_be1_1_1_3_200703_01,2007-03,long,1.3239,1.3337100000000002,0.009810000000000096,False,False,False,False,0.737,0.853,-0.214,-0.241,-0.088,False,False,False,month_end
eurusd_monthly_orb_fbo_r2r_be1_1_1_3_200706_01,2007-06,short,1.33914,1.32851,0.010629999999999917,False,False,True,True,0.216,2.402,-0.215,-0.944,-1.296,False,False,False,stop_close_after_tp2
eurusd_monthly_orb_fbo_r2r_be1_1_1_3_200708_01,2007-08,short,1.3636199999999998,1.3454699999999995,0.01815000000000011,False,False,True,True,0.525,1.457,0.144,-0.087,-0.061,True,False,False,stop_close_after_tp2
