fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_17457c52c7b8,ord_700778e2fdd2,intent_c7c78e847e8f,eurusd_monthly_orb_fbo_r2r_be2_1_1_1,eurusd_monthly_orb_fbo_r2r_be2_1_1_1_200306_01,EURUSD,paper,buy,3,1.17774,2003-06-05,entry
fill_8e62d7a9a854,ord_da79f2732516,intent_832274c4637c,eurusd_monthly_orb_fbo_r2r_be2_1_1_1,eurusd_monthly_orb_fbo_r2r_be2_1_1_1_200306_01,EURUSD,paper,sell,1,1.1809125,2003-06-06,tp1
fill_d8649f7f1aa7,ord_df09089d1937,intent_962a41da7c42,eurusd_monthly_orb_fbo_r2r_be2_1_1_1,eurusd_monthly_orb_fbo_r2r_be2_1_1_1_200306_01,EURUSD,paper,sell,1,1.1904299999999999,2003-06-16,tp2
fill_be72837d308e,ord_15acb6af5243,intent_99cdf56c31bb,eurusd_monthly_orb_fbo_r2r_be2_1_1_1,eurusd_monthly_orb_fbo_r2r_be2_1_1_1_200306_01,EURUSD,paper,sell,1,1.1681599999999999,2003-06-18,close
fill_743173dea3ee,ord_bb7e40c4a425,intent_cc846776612b,eurusd_monthly_orb_fbo_r2r_be2_1_1_1,eurusd_monthly_orb_fbo_r2r_be2_1_1_1_200308_01,EURUSD,paper,sell,3,1.11337,2003-08-18,entry
fill_2b5b82843b98,ord_86b5ac5e2967,intent_bea2245c776f,eurusd_monthly_orb_fbo_r2r_be2_1_1_1,eurusd_monthly_orb_fbo_r2r_be2_1_1_1_200308_01,EURUSD,paper,buy,1,1.10738,2003-08-19,tp1
fill_667ed9613030,ord_f9359b30df2c,intent_a4e085f637d9,eurusd_monthly_orb_fbo_r2r_be2_1_1_1,eurusd_monthly_orb_fbo_r2r_be2_1_1_1_200308_01,EURUSD,paper,buy,1,1.08941,2003-08-21,tp2
fill_680bb2676cd1,ord_c0c3c36aa485,intent_d1f0209e1ebe,eurusd_monthly_orb_fbo_r2r_be2_1_1_1,eurusd_monthly_orb_fbo_r2r_be2_1_1_1_200308_01,EURUSD,paper,buy,1,1.09888,2003-08-31,close
fill_274a9e3ed168,ord_385d919e1dda,intent_9c8627cb5bf8,eurusd_monthly_orb_fbo_r2r_be2_1_1_1,eurusd_monthly_orb_fbo_r2r_be2_1_1_1_200310_01,EURUSD,paper,buy,3,1.17669,2003-10-07,entry
fill_126f50e4897c,ord_77827df36a75,intent_a55f530344df,eurusd_monthly_orb_fbo_r2r_be2_1_1_1,eurusd_monthly_orb_fbo_r2r_be2_1_1_1_200310_01,EURUSD,paper,sell,1,1.1821424999999999,2003-10-08,tp1
