broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_25277f688e61,intent_4a96ae189d44,eurusd_monthly_orb_fbo_wick_1_1_2,eurusd_monthly_orb_fbo_wick_1_1_2_200305_01,EURUSD,paper,sell,stop,4,4,cancelled,,1.12723,false,entry,,,2003-05-09,2003-06-01T00:00:00,2026-07-19T02:47:17Z,2026-07-19T02:47:17Z
ord_662ae2042edf,intent_eada2609a7b8,eurusd_monthly_orb_fbo_wick_1_1_2,eurusd_monthly_orb_fbo_wick_1_1_2_200306_01,EURUSD,paper,buy,stop,4,0,filled,,1.17773,false,entry,,,2003-06-04,2003-07-01T00:00:00,2026-07-19T02:47:17Z,2026-07-19T02:47:17Z
ord_d5f53f1e9484,intent_a3f09c490f30,eurusd_monthly_orb_fbo_wick_1_1_2,eurusd_monthly_orb_fbo_wick_1_1_2_200306_01,EURUSD,paper,sell,stop,4,4,cancelled,,1.16504,true,stop,,,2003-06-05,2003-07-01T00:00:00,2026-07-19T02:47:17Z,2026-07-19T02:47:17Z
ord_5b5add85a239,intent_d743f78a7752,eurusd_monthly_orb_fbo_wick_1_1_2,eurusd_monthly_orb_fbo_wick_1_1_2_200306_01,EURUSD,paper,sell,limit,1,0,filled,1.1809125,,true,tp1,,,2003-06-05,2003-07-01T00:00:00,2026-07-19T02:47:17Z,2026-07-19T02:47:17Z
ord_ca745a5681f5,intent_31cd681ee135,eurusd_monthly_orb_fbo_wick_1_1_2,eurusd_monthly_orb_fbo_wick_1_1_2_200306_01,EURUSD,paper,sell,limit,1,1,cancelled,1.1904299999999999,,true,tp2,,,2003-06-05,2003-07-01T00:00:00,2026-07-19T02:47:17Z,2026-07-19T02:47:17Z
ord_df07a2cbf17b,intent_d8f5d9645aa7,eurusd_monthly_orb_fbo_wick_1_1_2,eurusd_monthly_orb_fbo_wick_1_1_2_200306_01,EURUSD,paper,sell,stop,3,0,filled,,1.17774,true,runner_stop,,,,,2026-07-19T02:47:17Z,2026-07-19T02:47:17Z
ord_1faf2082feca,intent_25abb8eb50c4,eurusd_monthly_orb_fbo_wick_1_1_2,eurusd_monthly_orb_fbo_wick_1_1_2_200306_02,EURUSD,paper,sell,stop,4,0,filled,,1.16504,false,entry,,,2003-06-06,2003-07-01T00:00:00,2026-07-19T02:47:17Z,2026-07-19T02:47:17Z
ord_c1340eca0b30,intent_70c3ab04e9ae,eurusd_monthly_orb_fbo_wick_1_1_2,eurusd_monthly_orb_fbo_wick_1_1_2_200306_02,EURUSD,paper,buy,stop,4,4,cancelled,,1.17773,true,stop,,,2003-06-19,2003-07-01T00:00:00,2026-07-19T02:47:17Z,2026-07-19T02:47:17Z
ord_5b7ffe405f8f,intent_d9df4ce0b308,eurusd_monthly_orb_fbo_wick_1_1_2,eurusd_monthly_orb_fbo_wick_1_1_2_200306_02,EURUSD,paper,buy,limit,1,0,filled,1.1618575,,true,tp1,,,2003-06-19,2003-07-01T00:00:00,2026-07-19T02:47:17Z,2026-07-19T02:47:17Z
ord_52b19a3f2bd8,intent_bea8412931bb,eurusd_monthly_orb_fbo_wick_1_1_2,eurusd_monthly_orb_fbo_wick_1_1_2_200306_02,EURUSD,paper,buy,limit,1,1,cancelled,1.1523400000000001,,true,tp2,,,2003-06-19,2003-07-01T00:00:00,2026-07-19T02:47:17Z,2026-07-19T02:47:17Z
ord_0721a4cafec7,intent_4ac1f64adac7,eurusd_monthly_orb_fbo_wick_1_1_2,eurusd_monthly_orb_fbo_wick_1_1_2_200306_02,EURUSD,paper,buy,stop,3,0,filled,,1.16503,true,runner_stop,,,,,2026-07-19T02:47:17Z,2026-07-19T02:47:17Z
ord_597ac53e77a9,intent_fdc22cd223cb,eurusd_monthly_orb_fbo_wick_1_1_2,eurusd_monthly_orb_fbo_wick_1_1_2_200307_01,EURUSD,paper,buy,stop,4,4,cancelled,,1.16069,false,entry,,,2003-07-07,2003-08-01T00:00:00,2026-07-19T02:47:17Z,2026-07-19T02:47:17Z
ord_8f404311655a,intent_4fca1436bfb8,eurusd_monthly_orb_fbo_wick_1_1_2,eurusd_monthly_orb_fbo_wick_1_1_2_200308_01,EURUSD,paper,sell,stop,4,0,filled,,1.11338,false,entry,,,2003-08-05,2003-09-01T00:00:00,2026-07-19T02:47:17Z,2026-07-19T02:47:17Z
ord_5b206191ac65,intent_f22715d64e61,eurusd_monthly_orb_fbo_wick_1_1_2,eurusd_monthly_orb_fbo_wick_1_1_2_200308_01,EURUSD,paper,buy,stop,4,4,cancelled,,1.13734,true,stop,,,2003-08-18,2003-09-01T00:00:00,2026-07-19T02:47:17Z,2026-07-19T02:47:17Z
ord_cc745026c0b3,intent_31927b57ae1f,eurusd_monthly_orb_fbo_wick_1_1_2,eurusd_monthly_orb_fbo_wick_1_1_2_200308_01,EURUSD,paper,buy,limit,1,0,filled,1.10738,,true,tp1,,,2003-08-18,2003-09-01T00:00:00,2026-07-19T02:47:17Z,2026-07-19T02:47:17Z
ord_e745d377feae,intent_c5597d17839c,eurusd_monthly_orb_fbo_wick_1_1_2,eurusd_monthly_orb_fbo_wick_1_1_2_200308_01,EURUSD,paper,buy,limit,1,1,cancelled,1.08941,,true,tp2,,,2003-08-18,2003-09-01T00:00:00,2026-07-19T02:47:17Z,2026-07-19T02:47:17Z
ord_8f20941a2ba4,intent_c363770a24c3,eurusd_monthly_orb_fbo_wick_1_1_2,eurusd_monthly_orb_fbo_wick_1_1_2_200308_01,EURUSD,paper,buy,stop,3,0,filled,,1.11337,true,runner_stop,,,,,2026-07-19T02:47:17Z,2026-07-19T02:47:17Z
ord_fe302346352f,intent_15f894ca4d4b,eurusd_monthly_orb_fbo_wick_1_1_2,eurusd_monthly_orb_fbo_wick_1_1_2_200308_02,EURUSD,paper,buy,stop,4,4,cancelled,,1.13734,false,entry,,,2003-08-19,2003-09-01T00:00:00,2026-07-19T02:47:17Z,2026-07-19T02:47:17Z
