candidate,trade_id,unit_id,direction,entry_ts,entry_price,exit_ts,exit_price,exit_reason,points,usd
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200306_01,1,Long,2003-06-05,1.177740,2003-06-16,1.190430,tp2,0.012690,1269.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200306_02,2,Short,2003-06-19,1.165030,2003-06-23,1.152340,tp2,0.012690,1269.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200308_01,3,Short,2003-08-18,1.113370,2003-08-21,1.089410,tp2,0.023960,2396.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200310_01,4,Long,2003-10-07,1.176690,2003-10-31,1.158500,close,-0.018190,-1819.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200311_01,5,Long,2003-11-12,1.161780,2003-11-16,1.181110,tp2,0.019330,1933.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200401_01,6,Short,2004-01-16,1.246780,2004-01-21,1.265300,close,-0.018520,-1852.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200401_02,7,Short,2004-01-26,1.246780,2004-01-30,1.247320,close,-0.000540,-54.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200402_01,8,Short,2004-02-26,1.238810,2004-02-29,1.252980,close,-0.014170,-1417.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200405_01,9,Short,2004-05-07,1.191880,2004-05-27,1.226960,close,-0.035080,-3508.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200406_01,10,Long,2004-06-06,1.230310,2004-06-09,1.203080,close,-0.027230,-2723.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200407_01,11,Short,2004-07-23,1.213180,2004-07-30,1.201660,close,0.011520,1152.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200408_01,12,Long,2004-08-06,1.209290,2004-08-08,1.219160,tp2,0.009870,987.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200408_02,13,Short,2004-08-30,1.199400,2004-08-31,1.217690,close,-0.018290,-1829.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200409_01,14,Long,2004-09-09,1.221990,2004-09-30,1.239980,tp2,0.017990,1799.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200410_01,15,Long,2004-10-15,1.243290,2004-10-20,1.260960,tp2,0.017670,1767.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200412_01,16,Short,2004-12-08,1.323580,2004-12-23,1.350700,close,-0.027120,-2712.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200502_01,17,Long,2005-02-22,1.309130,2005-02-23,1.324250,tp2,0.015120,1512.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200503_01,18,Short,2005-03-22,1.308680,2005-03-24,1.294970,tp2,0.013710,1371.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200504_01,19,Long,2005-04-19,1.304460,2005-04-29,1.286840,close,-0.017620,-1762.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200505_01,20,Short,2005-05-06,1.282630,2005-05-12,1.274160,tp2,0.008470,847.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200506_01,21,Short,2005-06-10,1.215800,2005-06-30,1.208540,close,0.007260,726.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200507_01,22,Long,2005-07-12,1.210290,2005-07-31,1.212180,close,0.001890,189.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200510_01,23,Short,2005-10-19,1.189840,2005-10-25,1.209620,close,-0.019780,-1978.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200603_01,24,Short,2006-03-07,1.189020,2006-03-15,1.206820,close,-0.017800,-1780.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200606_01,25,Short,2006-06-08,1.272190,2006-06-14,1.250720,tp2,0.021470,2147.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200607_01,26,Long,2006-07-07,1.281970,2006-07-10,1.273490,close,-0.008480,-848.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200608_01,27,Short,2006-08-11,1.271810,2006-08-16,1.284960,close,-0.013150,-1315.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200610_01,28,Long,2006-10-31,1.276380,2006-10-31,1.276370,close,-0.000010,-1.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200702_01,29,Long,2007-02-14,1.306160,2007-02-20,1.317570,tp2,0.011410,1141.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200703_01,30,Long,2007-03-14,1.323900,2007-03-16,1.333710,tp2,0.009810,981.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200706_01,31,Short,2007-06-08,1.339140,2007-06-13,1.328510,tp2,0.010630,1063.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200706_02,32,Long,2007-06-29,1.349790,2007-06-29,1.353960,close,0.004170,417.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200708_01,33,Short,2007-08-13,1.363620,2007-08-15,1.345470,tp2,0.018150,1815.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200710_01,34,Long,2007-10-18,1.427520,2007-10-31,1.447120,tp2,0.019600,1960.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200801_01,35,Short,2008-01-21,1.457170,2008-01-22,1.436280,tp2,0.020890,2089.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200801_02,36,Long,2008-01-28,1.478080,2008-01-31,1.486180,close,0.008100,810.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200802_01,37,Long,2008-02-26,1.494690,2008-02-27,1.510980,tp2,0.016290,1629.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200805_01,38,Long,2008-05-20,1.564260,2008-05-30,1.554980,close,-0.009280,-928.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200806_01,39,Long,2008-06-06,1.562760,2008-06-13,1.537690,close,-0.025070,-2507.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200806_02,40,Long,2008-06-20,1.562760,2008-06-30,1.575890,close,0.013130,1313.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200807_01,41,Long,2008-07-11,1.591180,2008-07-29,1.558810,close,-0.032370,-3237.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200809_01,42,Long,2008-09-22,1.470300,2008-09-29,1.436540,close,-0.033760,-3376.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200811_01,43,Short,2008-11-11,1.252490,2008-11-30,1.266770,close,-0.014280,-1428.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200902_01,44,Short,2009-02-17,1.270540,2009-02-27,1.266910,close,0.003630,363.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200903_01,45,Long,2009-03-06,1.267760,2009-03-11,1.283410,tp2,0.015650,1565.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200904_01,46,Short,2009-04-08,1.316640,2009-04-30,1.324410,close,-0.007770,-777.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200907_01,47,Long,2009-07-20,1.419940,2009-07-31,1.425540,close,0.005600,560.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_200908_01,48,Short,2009-08-07,1.420240,2009-08-31,1.433500,close,-0.013260,-1326.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201001_01,49,Short,2010-01-19,1.425580,2010-01-21,1.405610,tp2,0.019970,1997.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201003_01,50,Short,2010-03-24,1.343440,2010-03-31,1.352580,close,-0.009140,-914.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201004_01,51,Long,2010-04-11,1.359050,2010-04-20,1.342150,close,-0.016900,-1690.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201006_01,52,Long,2010-06-17,1.235220,2010-06-30,1.222690,close,-0.012530,-1253.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201008_01,53,Short,2010-08-11,1.304970,2010-08-12,1.283800,tp2,0.021170,2117.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201009_01,54,Short,2010-09-08,1.266090,2010-09-14,1.299460,close,-0.033370,-3337.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201011_01,55,Short,2010-11-08,1.386190,2010-11-12,1.357740,tp2,0.028450,2845.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201101_01,56,Long,2011-01-14,1.342990,2011-01-21,1.360970,tp2,0.017980,1798.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201105_01,57,Short,2011-05-05,1.475390,2011-05-06,1.460640,tp2,0.014750,1475.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201106_01,58,Short,2011-06-15,1.430760,2011-06-30,1.447450,close,-0.016690,-1669.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201108_01,59,Long,2011-08-15,1.445270,2011-08-31,1.436330,close,-0.008940,-894.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201201_01,60,Long,2012-01-25,1.307590,2012-01-31,1.307530,close,-0.000060,-6.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201202_01,61,Short,2012-02-16,1.302590,2012-02-19,1.322330,close,-0.019740,-1974.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201203_01,62,Long,2012-03-26,1.335570,2012-03-30,1.334040,close,-0.001530,-153.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201209_01,63,Long,2012-09-06,1.262760,2012-09-07,1.272920,tp2,0.010160,1016.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201211_01,64,Long,2012-11-23,1.298240,2012-11-30,1.298590,close,0.000350,35.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201212_01,65,Short,2012-12-06,1.298180,2012-12-14,1.316270,close,-0.018090,-1809.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201301_01,66,Long,2013-01-11,1.329920,2013-01-30,1.357610,tp2,0.027690,2769.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201303_01,67,Long,2013-03-07,1.310110,2013-03-13,1.295900,close,-0.014210,-1421.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201303_02,68,Long,2013-03-15,1.310110,2013-03-17,1.289060,close,-0.021050,-2105.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201307_01,69,Long,2013-07-10,1.307800,2013-07-23,1.323300,tp2,0.015500,1550.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201308_01,70,Short,2013-08-30,1.318910,2013-08-30,1.322090,close,-0.003180,-318.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201309_01,71,Long,2013-09-09,1.322710,2013-09-11,1.331560,tp2,0.008850,885.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201310_01,72,Long,2013-10-17,1.364600,2013-10-22,1.378760,tp2,0.014160,1416.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201311_01,73,Long,2013-11-27,1.358160,2013-11-29,1.358980,close,0.000820,82.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201403_01,74,Long,2014-03-06,1.379270,2014-03-07,1.386450,tp2,0.007180,718.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201403_02,75,Short,2014-03-28,1.372070,2014-03-31,1.377400,close,-0.005330,-533.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201404_01,76,Long,2014-04-09,1.382030,2014-04-30,1.386780,close,0.004750,475.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201405_01,77,Short,2014-05-09,1.381210,2014-05-13,1.373510,tp2,0.007700,770.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201406_01,78,Short,2014-06-09,1.358740,2014-06-11,1.352710,tp2,0.006030,603.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201406_02,79,Long,2014-06-25,1.364790,2014-06-30,1.369130,close,0.004340,434.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201410_01,80,Short,2014-10-31,1.250040,2014-10-31,1.252250,close,-0.002210,-221.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201411_01,81,Long,2014-11-17,1.257740,2014-11-21,1.238700,close,-0.019040,-1904.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201412_01,82,Long,2014-12-16,1.250680,2014-12-18,1.228820,close,-0.021860,-2186.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201504_01,83,Short,2015-04-09,1.071830,2015-04-29,1.111220,close,-0.039390,-3939.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201505_01,84,Long,2015-05-06,1.129010,2015-05-15,1.145730,tp2,0.016720,1672.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201505_02,85,Short,2015-05-19,1.112270,2015-05-26,1.095550,tp2,0.016720,1672.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201507_01,86,Long,2015-07-10,1.117140,2015-07-13,1.098240,close,-0.018900,-1890.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201508_01,87,Long,2015-08-10,1.099580,2015-08-12,1.111260,tp2,0.011680,1168.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201510_01,88,Short,2015-10-22,1.113500,2015-10-28,1.095180,tp2,0.018320,1832.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201603_01,89,Short,2016-03-10,1.082540,2016-03-10,1.117640,close,-0.035100,-3510.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201604_01,90,Long,2016-04-07,1.143800,2016-04-13,1.127780,close,-0.016020,-1602.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201604_02,91,Long,2016-04-29,1.143800,2016-04-29,1.145020,close,0.001220,122.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201606_01,92,Short,2016-06-24,1.111400,2016-06-30,1.110310,close,0.001090,109.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201607_01,93,Long,2016-07-29,1.116940,2016-07-31,1.116700,close,-0.000240,-24.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201608_01,94,Long,2016-08-16,1.123370,2016-08-18,1.132670,tp2,0.009300,930.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201608_02,95,Short,2016-08-30,1.114050,2016-08-31,1.115630,close,-0.001580,-158.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201609_01,96,Short,2016-09-21,1.112750,2016-09-30,1.123930,close,-0.011180,-1118.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201611_01,97,Short,2016-11-09,1.095980,2016-11-14,1.079380,tp2,0.016600,1660.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201612_01,98,Short,2016-12-14,1.050540,2016-12-30,1.051510,close,-0.000970,-97.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201704_01,99,Long,2017-04-18,1.068520,2017-04-19,1.073480,tp2,0.004960,496.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201705_01,100,Short,2017-05-09,1.088120,2017-05-15,1.098000,close,-0.009880,-988.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201706_01,101,Long,2017-06-14,1.128510,2017-06-15,1.114850,close,-0.013660,-1366.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201706_02,102,Long,2017-06-27,1.128510,2017-06-28,1.136800,tp2,0.008290,829.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201707_01,103,Long,2017-07-07,1.142670,2017-07-18,1.151740,tp2,0.009070,907.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201708_01,104,Long,2017-08-25,1.191010,2017-08-29,1.203490,tp2,0.012480,1248.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201709_01,105,Short,2017-09-14,1.184980,2017-09-19,1.199260,close,-0.014280,-1428.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201709_02,106,Short,2017-09-25,1.184980,2017-09-27,1.171990,tp2,0.012990,1299.00
eurusd_monthly_orb_fbo_0_1_0,eurusd_monthly_orb_fbo_0_1_0_201710_01,107,Long,2017-10-10,1.181520,2017-10-26,1.163760,close,-0.017760,-1776.00
