intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_46beb3a75c57,eurusd_monthly_orb_fbo_tp25_1_0_0,eurusd_monthly_orb_fbo_tp25_1_0_0_200305_01,EURUSD,paper,sell,stop,1,,1.12723,short_boundary_stop_entry,submitted,true,verify_caf1610181b0,,false,entry,,,,GTC,2003-05-09,2003-06-01T00:00:00,2026-07-19T02:41:10Z,2026-07-19T02:41:10Z
intent_1baff4824b0a,eurusd_monthly_orb_fbo_tp25_1_0_0,eurusd_monthly_orb_fbo_tp25_1_0_0_200306_01,EURUSD,paper,buy,stop,1,,1.17773,long_boundary_stop_entry,submitted,true,verify_69cc35fc2565,,false,entry,,,,GTC,2003-06-04,2003-07-01T00:00:00,2026-07-19T02:41:10Z,2026-07-19T02:41:10Z
intent_696c899ae8eb,eurusd_monthly_orb_fbo_tp25_1_0_0,eurusd_monthly_orb_fbo_tp25_1_0_0_200306_01,EURUSD,paper,sell,limit,1,1.1809125,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,2003-06-05,2003-07-01T00:00:00,2026-07-19T02:41:10Z,2026-07-19T02:41:10Z
intent_5c8fcbddbd3b,eurusd_monthly_orb_fbo_tp25_1_0_0,eurusd_monthly_orb_fbo_tp25_1_0_0_200307_01,EURUSD,paper,buy,stop,1,,1.16069,long_boundary_stop_entry,submitted,true,verify_faf3f16acc88,,false,entry,,,,GTC,2003-07-07,2003-08-01T00:00:00,2026-07-19T02:41:10Z,2026-07-19T02:41:10Z
intent_57ac47de6787,eurusd_monthly_orb_fbo_tp25_1_0_0,eurusd_monthly_orb_fbo_tp25_1_0_0_200308_01,EURUSD,paper,sell,stop,1,,1.11338,short_boundary_stop_entry,submitted,true,verify_75215be1638f,,false,entry,,,,GTC,2003-08-05,2003-09-01T00:00:00,2026-07-19T02:41:10Z,2026-07-19T02:41:10Z
intent_de0d2f33c8f9,eurusd_monthly_orb_fbo_tp25_1_0_0,eurusd_monthly_orb_fbo_tp25_1_0_0_200308_01,EURUSD,paper,buy,limit,1,1.10738,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,2003-08-18,2003-09-01T00:00:00,2026-07-19T02:41:11Z,2026-07-19T02:41:11Z
intent_01d433949f76,eurusd_monthly_orb_fbo_tp25_1_0_0,eurusd_monthly_orb_fbo_tp25_1_0_0_200309_01,EURUSD,paper,sell,stop,1,,1.07606,short_boundary_stop_entry,submitted,true,verify_5d053088fdba,,false,entry,,,,GTC,2003-09-05,2003-10-01T00:00:00,2026-07-19T02:41:11Z,2026-07-19T02:41:11Z
intent_d619c655e89b,eurusd_monthly_orb_fbo_tp25_1_0_0,eurusd_monthly_orb_fbo_tp25_1_0_0_200310_01,EURUSD,paper,buy,stop,1,,1.17668,long_boundary_stop_entry,submitted,true,verify_96bf35aabe0a,,false,entry,,,,GTC,2003-10-06,2003-11-01T00:00:00,2026-07-19T02:41:11Z,2026-07-19T02:41:11Z
intent_b1e1005fa685,eurusd_monthly_orb_fbo_tp25_1_0_0,eurusd_monthly_orb_fbo_tp25_1_0_0_200310_01,EURUSD,paper,sell,limit,1,1.1821424999999999,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,2003-10-07,2003-11-01T00:00:00,2026-07-19T02:41:11Z,2026-07-19T02:41:11Z
intent_8be5049a8f9d,eurusd_monthly_orb_fbo_tp25_1_0_0,eurusd_monthly_orb_fbo_tp25_1_0_0_200311_01,EURUSD,paper,buy,stop,1,,1.16177,long_boundary_stop_entry,submitted,true,verify_44c577a31c11,,false,entry,,,,GTC,2003-11-05,2003-12-01T00:00:00,2026-07-19T02:41:11Z,2026-07-19T02:41:11Z
