fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_e001ea540593,ord_ed2aa4cd8d41,intent_f32c45062947,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200306_01,EURUSD,paper,buy,3,1.17774,2003-06-05,entry
fill_7698e04f8a2d,ord_b3a071c36cad,intent_0219c874944b,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200306_01,EURUSD,paper,sell,1,1.1809125,2003-06-06,tp1
fill_b6a65056b24e,ord_66dbf3da8f65,intent_336f1a81042e,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200306_01,EURUSD,paper,sell,2,1.1697,2003-06-06,close
fill_60b8e5433e33,ord_014c4e9718f2,intent_0eec4f25e1fa,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200306_02,EURUSD,paper,sell,3,1.16503,2003-06-19,entry
fill_70a66320b168,ord_4f6578c55ced,intent_05b3cb313c5c,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200306_02,EURUSD,paper,buy,1,1.1618575,2003-06-20,tp1
fill_1cdb8be6eeec,ord_430c4917444e,intent_4a4bb8ae2577,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200306_02,EURUSD,paper,buy,1,1.1523400000000001,2003-06-23,tp2
fill_9ca3fa83ac57,ord_2354365fbe16,intent_63ed205901de,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200306_02,EURUSD,paper,buy,1,1.1519700000000002,2003-06-30,close
fill_5f3ed3c957fe,ord_5bbde0220e16,intent_012d7c76451b,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200308_01,EURUSD,paper,sell,3,1.11337,2003-08-18,entry
fill_6e4da2ab99cc,ord_5793441dfd7d,intent_3649b826e6ee,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200308_01,EURUSD,paper,buy,1,1.10738,2003-08-19,tp1
fill_340aa92a1607,ord_dbc2f8b0f6e2,intent_323556608bb1,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200308_01,EURUSD,paper,buy,1,1.08941,2003-08-21,tp2
fill_42f2af59a9a6,ord_defd9d301a5e,intent_a7707b52f427,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200308_01,EURUSD,paper,buy,1,1.09888,2003-08-31,close
fill_5db85c4ffa00,ord_8ea96c6265ed,intent_f8b8f5f8cb70,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200310_01,EURUSD,paper,buy,3,1.17669,2003-10-07,entry
fill_36b020423418,ord_e31ecfbfeb9b,intent_05459107ab1f,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200310_01,EURUSD,paper,sell,1,1.1821424999999999,2003-10-08,tp1
fill_a2dd452754f2,ord_b8e71c5415ac,intent_c1683b91fde9,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200310_01,EURUSD,paper,sell,2,1.17343,2003-10-09,close
fill_dd01c6a08daf,ord_f0fba485003e,intent_acf9e966afa1,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200311_01,EURUSD,paper,buy,3,1.16178,2003-11-12,entry
fill_d3735c2df4b6,ord_c6d5c9164be0,intent_f32e30b4ce3f,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200311_01,EURUSD,paper,sell,1,1.1666125,2003-11-13,tp1
fill_6da1cbd2fc70,ord_e8e31eaa838c,intent_c11090f9b19e,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200311_01,EURUSD,paper,sell,1,1.18111,2003-11-16,tp2
fill_d26c5c9b881e,ord_b3e791e1715e,intent_57e0162b0ff4,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200311_01,EURUSD,paper,sell,1,1.20269,2003-11-30,close
fill_b6a7a7ff00c9,ord_ca19dfcb8164,intent_5b45a08aa6f8,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200401_01,EURUSD,paper,sell,3,1.24678,2004-01-16,entry
fill_fe788aa0501b,ord_36dcf3e13077,intent_a8949a977397,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200401_01,EURUSD,paper,buy,1,1.242285,2004-01-18,tp1
fill_e6601fc106fc,ord_5a8d3b8362c3,intent_7267fff79953,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200401_01,EURUSD,paper,buy,2,1.25813,2004-01-20,close
fill_df1ac009dc51,ord_75bc810f67b1,intent_d766deb6e3e7,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200401_02,EURUSD,paper,sell,3,1.24678,2004-01-26,entry
fill_4db6fd0be1b5,ord_763758a2d040,intent_219c504d4090,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200401_02,EURUSD,paper,buy,1,1.242285,2004-01-28,tp1
fill_3696ec1a002f,ord_565747ecb129,intent_ce63a4f986ee,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200401_02,EURUSD,paper,buy,2,1.24732,2004-01-30,close
fill_687544cf9387,ord_43718f120c8f,intent_7e5363a70b97,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200402_01,EURUSD,paper,sell,3,1.23881,2004-02-26,entry
fill_f9bdd689fad8,ord_2cdd08c58e34,intent_e4086fffc915,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200402_01,EURUSD,paper,buy,3,1.25298,2004-02-29,close
fill_e98f02afd3c0,ord_656bbb44d0d4,intent_5c4af77cbed9,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200405_01,EURUSD,paper,sell,3,1.1918799999999998,2004-05-07,entry
fill_b5b40bde7a53,ord_224683561a3b,intent_bb04a1a57224,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200405_01,EURUSD,paper,buy,1,1.1869199999999998,2004-05-09,tp1
fill_8f58bcd568d1,ord_aa5c15bc6a6c,intent_66c3f5f6f4eb,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200405_01,EURUSD,paper,buy,2,1.20365,2004-05-17,close
fill_e4c176f070ef,ord_8a512c5c3d93,intent_722eb5040890,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200405_02,EURUSD,paper,buy,3,1.21174,2004-05-25,entry
fill_cb211ce0bfa9,ord_78248c7c29a2,intent_1d6189a9de93,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200405_02,EURUSD,paper,sell,1,1.2167000000000001,2004-05-27,tp1
fill_31b71e0d5270,ord_06f87275dafb,intent_c99eeda2fcb5,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200405_02,EURUSD,paper,sell,2,1.2176399999999998,2004-05-31,close
fill_d090124bbf72,ord_dff13057e1bf,intent_2561d920caf9,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200406_01,EURUSD,paper,buy,3,1.23031,2004-06-06,entry
fill_4fc60a5864a7,ord_a6314a894ac5,intent_a5963d920166,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200406_01,EURUSD,paper,sell,1,1.2340275,2004-06-08,tp1
fill_c337f3ca39e0,ord_c3a77073d606,intent_0c24365657f3,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200406_01,EURUSD,paper,sell,2,1.22653,2004-06-08,close
fill_bf3935627555,ord_c2c26eaf393c,intent_06ce17f87e33,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200407_01,EURUSD,paper,sell,3,1.21318,2004-07-23,entry
fill_30c8905243f2,ord_494ac4318d61,intent_9c3a982793f6,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200407_01,EURUSD,paper,buy,1,1.2081024999999999,2004-07-27,tp1
fill_fbdb6c1d05ee,ord_b7d341920afd,intent_2bf37cc26c15,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200407_01,EURUSD,paper,buy,2,1.2016600000000002,2004-07-30,close
fill_9ab3a5887f43,ord_bf9d0a0cdbf4,intent_c935db1e05d8,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200408_01,EURUSD,paper,buy,3,1.20929,2004-08-06,entry
fill_d688235a34b5,ord_7442c6975624,intent_2cd3f7dcfd82,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200408_01,EURUSD,paper,sell,1,1.2117575,2004-08-08,tp1
fill_b97e810936d3,ord_83e1bfb2f5ac,intent_b990df63e0eb,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200408_01,EURUSD,paper,sell,1,1.2191599999999998,2004-08-08,tp2
fill_73ae981b2cfd,ord_ad6db9f170c5,intent_ecb0996400c5,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200408_01,EURUSD,paper,sell,1,1.2069999999999999,2004-08-24,close
fill_eb38eab84950,ord_6dac0c305b45,intent_48c7a8e17d45,eurusd_monthly_orb_fbo_tp25_1r_r1,eurusd_monthly_orb_fbo_tp25_1r_r1_200408_02,EURUSD,paper,sell,3,1.1994,2004-08-30,entry
