intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_f96cabb7e775,eurusd_monthly_orb_first_break_opp_tp25_1r_runner,eurusd_monthly_orb_first_break_opp_tp25_1r_runner_200305_01,EURUSD,paper,sell,stop,3,,1.12723,short_boundary_stop_entry,submitted,true,verify_daca4685df82,,false,entry,,,,GTC,2003-05-09,2003-06-01T00:00:00,2026-07-19T02:27:45Z,2026-07-19T02:27:45Z
intent_d1f336cf4ad4,eurusd_monthly_orb_first_break_opp_tp25_1r_runner,eurusd_monthly_orb_first_break_opp_tp25_1r_runner_200306_01,EURUSD,paper,buy,stop,3,,1.17773,long_boundary_stop_entry,submitted,true,verify_a5f985a57ca5,,false,entry,,,,GTC,2003-06-04,2003-07-01T00:00:00,2026-07-19T02:27:45Z,2026-07-19T02:27:45Z
intent_f9f5a7b3c159,eurusd_monthly_orb_first_break_opp_tp25_1r_runner,eurusd_monthly_orb_first_break_opp_tp25_1r_runner_200306_01,EURUSD,paper,sell,limit,1,1.1809125,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,2003-06-05,2003-07-01T00:00:00,2026-07-19T02:27:45Z,2026-07-19T02:27:45Z
intent_f556b2135616,eurusd_monthly_orb_first_break_opp_tp25_1r_runner,eurusd_monthly_orb_first_break_opp_tp25_1r_runner_200306_01,EURUSD,paper,sell,limit,1,1.1904299999999999,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,2003-06-05,2003-07-01T00:00:00,2026-07-19T02:27:45Z,2026-07-19T02:27:45Z
intent_c04b0b6664b9,eurusd_monthly_orb_first_break_opp_tp25_1r_runner,eurusd_monthly_orb_first_break_opp_tp25_1r_runner_200306_01,EURUSD,paper,sell,market_close,2,,,stop_close,submitted,false,,,true,close,,,,GTC,2003-06-06,,2026-07-19T02:27:45Z,2026-07-19T02:27:45Z
intent_400a0f730732,eurusd_monthly_orb_first_break_opp_tp25_1r_runner,eurusd_monthly_orb_first_break_opp_tp25_1r_runner_200306_02,EURUSD,paper,sell,stop,3,,1.16504,short_boundary_stop_entry,submitted,true,verify_a9dc31541585,,false,entry,,,,GTC,2003-06-09,2003-07-01T00:00:00,2026-07-19T02:27:45Z,2026-07-19T02:27:45Z
intent_3d679a4de079,eurusd_monthly_orb_first_break_opp_tp25_1r_runner,eurusd_monthly_orb_first_break_opp_tp25_1r_runner_200306_02,EURUSD,paper,buy,limit,1,1.1618575,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,2003-06-19,2003-07-01T00:00:00,2026-07-19T02:27:45Z,2026-07-19T02:27:45Z
intent_867bc5fdeba0,eurusd_monthly_orb_first_break_opp_tp25_1r_runner,eurusd_monthly_orb_first_break_opp_tp25_1r_runner_200306_02,EURUSD,paper,buy,limit,1,1.1523400000000001,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,2003-06-19,2003-07-01T00:00:00,2026-07-19T02:27:45Z,2026-07-19T02:27:45Z
intent_e3c6296cd1e2,eurusd_monthly_orb_first_break_opp_tp25_1r_runner,eurusd_monthly_orb_first_break_opp_tp25_1r_runner_200306_02,EURUSD,paper,buy,market_close,1,,,month_end_flatten,submitted,false,,,true,close,,,,GTC,2003-06-30,,2026-07-19T02:27:45Z,2026-07-19T02:27:45Z
intent_a6ecff69db52,eurusd_monthly_orb_first_break_opp_tp25_1r_runner,eurusd_monthly_orb_first_break_opp_tp25_1r_runner_200307_01,EURUSD,paper,buy,stop,3,,1.16069,long_boundary_stop_entry,submitted,true,verify_0286b5d3a677,,false,entry,,,,GTC,2003-07-07,2003-08-01T00:00:00,2026-07-19T02:27:45Z,2026-07-19T02:27:45Z
intent_a6e8a7096b93,eurusd_monthly_orb_first_break_opp_tp25_1r_runner,eurusd_monthly_orb_first_break_opp_tp25_1r_runner_200308_01,EURUSD,paper,sell,stop,3,,1.11338,short_boundary_stop_entry,submitted,true,verify_a615943d51f9,,false,entry,,,,GTC,2003-08-05,2003-09-01T00:00:00,2026-07-19T02:27:45Z,2026-07-19T02:27:45Z
