intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_93848bae0124,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200305_01,EURUSD,paper,buy,stop,2,,1.15077,long_boundary_stop_entry,submitted,true,verify_fd683e12d010,,false,entry,,,eurusd_monthly_orb_v2b_oco_S_1_1_0_200305_01_entry_oco,GTC,2003-05-08,2003-06-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
intent_bf5b5b7cc848,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200305_01,EURUSD,paper,sell,stop,2,,1.12723,short_boundary_stop_entry,submitted,true,verify_2c5f19ef5f11,,false,entry,,,eurusd_monthly_orb_v2b_oco_S_1_1_0_200305_01_entry_oco,GTC,2003-05-08,2003-06-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
intent_8bce6dad67ea,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200305_01,EURUSD,paper,sell,limit,1,1.1743200000000003,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,2003-05-09,2003-06-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
intent_ac55011d75d2,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200305_01,EURUSD,paper,sell,limit,1,1.1978600000000004,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,2003-05-09,2003-06-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
intent_429332de2f45,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200305_01,EURUSD,paper,sell,market_close,1,,,month_end_flatten,submitted,false,,,true,close,,,,GTC,2003-05-30,,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
intent_471fb5a2c028,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200306_01,EURUSD,paper,buy,stop,2,,1.17773,long_boundary_stop_entry,submitted,true,verify_d6fe23d014b1,,false,entry,,,eurusd_monthly_orb_v2b_oco_S_1_1_0_200306_01_entry_oco,GTC,2003-06-03,2003-07-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
intent_1a836bc54e53,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200306_01,EURUSD,paper,sell,stop,2,,1.16504,short_boundary_stop_entry,submitted,true,verify_0ef5935be261,,false,entry,,,eurusd_monthly_orb_v2b_oco_S_1_1_0_200306_01_entry_oco,GTC,2003-06-03,2003-07-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
intent_a87ca8ffb5f5,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200306_01,EURUSD,paper,buy,limit,1,1.1523400000000001,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,2003-06-04,2003-07-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
intent_6135e870b581,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200306_01,EURUSD,paper,buy,limit,1,1.1396500000000003,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,2003-06-04,2003-07-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
intent_a98353021adc,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200306_01,EURUSD,paper,buy,market_close,2,,,stop_close,submitted,false,,,true,close,,,,GTC,2003-06-05,,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
intent_3866effe6c5b,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200306_02,EURUSD,paper,buy,stop,2,,1.17773,long_boundary_stop_entry,submitted,true,verify_0c3cf9d99c0a,,false,entry,,,eurusd_monthly_orb_v2b_oco_S_1_1_0_200306_02_entry_oco,GTC,2003-06-06,2003-07-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
intent_8bdc4cddc910,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200306_02,EURUSD,paper,sell,stop,2,,1.16504,short_boundary_stop_entry,submitted,true,verify_0bda5bff59f4,,false,entry,,,eurusd_monthly_orb_v2b_oco_S_1_1_0_200306_02_entry_oco,GTC,2003-06-06,2003-07-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
intent_fd27985bdf7d,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200306_02,EURUSD,paper,sell,limit,1,1.1904299999999999,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,2003-06-09,2003-07-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
intent_feade228955b,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200306_02,EURUSD,paper,sell,limit,1,1.2031199999999997,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,2003-06-09,2003-07-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
intent_9229f45df8fa,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200306_02,EURUSD,paper,sell,market_close,1,,,stop_close,submitted,false,,,true,close,,,,GTC,2003-06-18,,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
intent_51d4550dddd6,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200307_01,EURUSD,paper,buy,stop,2,,1.16069,long_boundary_stop_entry,submitted,true,verify_01647cf37736,,false,entry,,,eurusd_monthly_orb_v2b_oco_S_1_1_0_200307_01_entry_oco,GTC,2003-07-03,2003-08-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
intent_f4b2953afb46,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200307_01,EURUSD,paper,sell,stop,2,,1.14316,short_boundary_stop_entry,submitted,true,verify_5fb00d8c67c5,,false,entry,,,eurusd_monthly_orb_v2b_oco_S_1_1_0_200307_01_entry_oco,GTC,2003-07-03,2003-08-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
intent_ba025b1b813d,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200307_01,EURUSD,paper,buy,limit,1,1.1256199999999998,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,2003-07-07,2003-08-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
intent_e0743e0f1978,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200307_01,EURUSD,paper,buy,limit,1,1.1080899999999998,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,2003-07-07,2003-08-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
intent_693b34b7141d,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200307_01,EURUSD,paper,buy,market_close,1,,,stop_close,submitted,false,,,true,close,,,,GTC,2003-07-23,,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
intent_3de7a9c3447f,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200307_02,EURUSD,paper,buy,stop,2,,1.16069,long_boundary_stop_entry,submitted,true,verify_a909b3b0622c,,false,entry,,,eurusd_monthly_orb_v2b_oco_S_1_1_0_200307_02_entry_oco,GTC,2003-07-24,2003-08-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
