broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_b80a0adf0f3b,intent_93848bae0124,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200305_01,EURUSD,paper,buy,stop,2,0,filled,,1.15077,false,entry,,eurusd_monthly_orb_v2b_oco_S_1_1_0_200305_01_entry_oco,2003-05-08,2003-06-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
ord_04926b86303c,intent_bf5b5b7cc848,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200305_01,EURUSD,paper,sell,stop,2,2,cancelled,,1.12723,false,entry,,eurusd_monthly_orb_v2b_oco_S_1_1_0_200305_01_entry_oco,2003-05-08,2003-06-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
ord_4cc6f307ac17,intent_8bce6dad67ea,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200305_01,EURUSD,paper,sell,limit,1,0,filled,1.1743200000000003,,true,tp1,,,2003-05-09,2003-06-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
ord_b739a5278c5f,intent_ac55011d75d2,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200305_01,EURUSD,paper,sell,limit,1,1,cancelled,1.1978600000000004,,true,tp2,,,2003-05-09,2003-06-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
ord_d4362f9122b4,intent_429332de2f45,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200305_01,EURUSD,paper,sell,market_close,1,0,filled,,,true,close,,,2003-05-30,,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
ord_40393b0dced0,intent_471fb5a2c028,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200306_01,EURUSD,paper,buy,stop,2,2,cancelled,,1.17773,false,entry,,eurusd_monthly_orb_v2b_oco_S_1_1_0_200306_01_entry_oco,2003-06-03,2003-07-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
ord_2054e404fab6,intent_1a836bc54e53,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200306_01,EURUSD,paper,sell,stop,2,0,filled,,1.16504,false,entry,,eurusd_monthly_orb_v2b_oco_S_1_1_0_200306_01_entry_oco,2003-06-03,2003-07-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
ord_fc8931e83f83,intent_a87ca8ffb5f5,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200306_01,EURUSD,paper,buy,limit,1,1,cancelled,1.1523400000000001,,true,tp1,,,2003-06-04,2003-07-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
ord_15f46e91ef96,intent_6135e870b581,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200306_01,EURUSD,paper,buy,limit,1,1,cancelled,1.1396500000000003,,true,tp2,,,2003-06-04,2003-07-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
ord_e84f52ca13e3,intent_a98353021adc,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200306_01,EURUSD,paper,buy,market_close,2,0,filled,,,true,close,,,2003-06-05,,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
ord_7a3d86d7457b,intent_3866effe6c5b,eurusd_monthly_orb_v2b_oco_S_1_1_0,eurusd_monthly_orb_v2b_oco_S_1_1_0_200306_02,EURUSD,paper,buy,stop,2,0,filled,,1.17773,false,entry,,eurusd_monthly_orb_v2b_oco_S_1_1_0_200306_02_entry_oco,2003-06-06,2003-07-01T00:00:00,2026-07-19T02:16:43Z,2026-07-19T02:16:43Z
