broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_82e61573a091,intent_4abf701ff27f,eurusd_or_fade_e3s2q1_or_boundary,eurusd_or_fade_e3s2q1_or_boundary_20040102_01,EURUSD,paper,buy,limit,1,0,filled,1.2585600000000001,,false,entry,,,2004-01-02T09:47:00-05:00,2004-01-02T15:59:00,2026-07-15T21:13:21Z,2026-07-15T21:13:21Z
ord_ae41610c6181,intent_458b3a065146,eurusd_or_fade_e3s2q1_or_boundary,eurusd_or_fade_e3s2q1_or_boundary_20040102_01,EURUSD,paper,sell,stop,1,0,filled,,1.2570800000000002,true,stop,,,,2004-01-02T15:59:00,2026-07-15T21:13:21Z,2026-07-15T21:13:21Z
ord_d354add3757e,intent_b3397a975945,eurusd_or_fade_e3s2q1_or_boundary,eurusd_or_fade_e3s2q1_or_boundary_20040102_01,EURUSD,paper,sell,limit,1,1,cancelled,1.26078,,true,tp_or,,,,2004-01-02T15:59:00,2026-07-15T21:13:21Z,2026-07-15T21:13:21Z
ord_4d1a5ce949e1,intent_5ad17a097455,eurusd_or_fade_e3s2q1_or_boundary,eurusd_or_fade_e3s2q1_or_boundary_20040105_01,EURUSD,paper,sell,limit,1,0,filled,1.26829,,false,entry,,,2004-01-05T09:45:00-05:00,2004-01-05T15:59:00,2026-07-15T21:13:21Z,2026-07-15T21:13:21Z
ord_6cd17002baa8,intent_9a3c0ff340ba,eurusd_or_fade_e3s2q1_or_boundary,eurusd_or_fade_e3s2q1_or_boundary_20040105_01,EURUSD,paper,buy,stop,1,1,cancelled,,1.27039,true,stop,,,,2004-01-05T15:59:00,2026-07-15T21:13:21Z,2026-07-15T21:13:21Z
ord_6279f0d36eae,intent_ad93922090f5,eurusd_or_fade_e3s2q1_or_boundary,eurusd_or_fade_e3s2q1_or_boundary_20040105_01,EURUSD,paper,buy,limit,1,0,filled,1.26514,,true,tp_or,,,,2004-01-05T15:59:00,2026-07-15T21:13:21Z,2026-07-15T21:13:21Z
ord_4eacf32e927c,intent_f05579273c5a,eurusd_or_fade_e3s2q1_or_boundary,eurusd_or_fade_e3s2q1_or_boundary_20040106_01,EURUSD,paper,buy,limit,1,1,cancelled,1.26907,,false,entry,,,2004-01-06T09:55:00-05:00,2004-01-06T15:59:00,2026-07-15T21:13:22Z,2026-07-15T21:13:22Z
ord_be544639ce64,intent_f78d4b3da843,eurusd_or_fade_e3s2q1_or_boundary,eurusd_or_fade_e3s2q1_or_boundary_20040107_01,EURUSD,paper,sell,limit,1,1,cancelled,1.2710000000000001,,false,entry,,,2004-01-07T09:50:00-05:00,2004-01-07T15:59:00,2026-07-15T21:13:22Z,2026-07-15T21:13:22Z
ord_0b016b727c2b,intent_8d8b137165b8,eurusd_or_fade_e3s2q1_or_boundary,eurusd_or_fade_e3s2q1_or_boundary_20040108_01,EURUSD,paper,sell,limit,1,0,filled,1.2601899999999995,,false,entry,,,2004-01-08T09:45:00-05:00,2004-01-08T15:59:00,2026-07-15T21:13:22Z,2026-07-15T21:13:22Z
ord_d84122187e54,intent_27224dd123c5,eurusd_or_fade_e3s2q1_or_boundary,eurusd_or_fade_e3s2q1_or_boundary_20040108_01,EURUSD,paper,buy,stop,1,0,filled,,1.2619099999999992,true,stop,,,,2004-01-08T15:59:00,2026-07-15T21:13:22Z,2026-07-15T21:13:22Z
ord_2281d2a7693c,intent_26eb9883ea9c,eurusd_or_fade_e3s2q1_or_boundary,eurusd_or_fade_e3s2q1_or_boundary_20040108_01,EURUSD,paper,buy,limit,1,1,cancelled,1.25761,,true,tp_or,,,,2004-01-08T15:59:00,2026-07-15T21:13:22Z,2026-07-15T21:13:22Z
ord_59ee15c001f6,intent_748cd7e35f48,eurusd_or_fade_e3s2q1_or_boundary,eurusd_or_fade_e3s2q1_or_boundary_20040109_01,EURUSD,paper,buy,limit,1,1,cancelled,1.2690900000000005,,false,entry,,,2004-01-09T09:45:00-05:00,2004-01-09T15:59:00,2026-07-15T21:13:22Z,2026-07-15T21:13:22Z
ord_b873236a1761,intent_afe786c53a00,eurusd_or_fade_e3s2q1_or_boundary,eurusd_or_fade_e3s2q1_or_boundary_20040112_01,EURUSD,paper,sell,limit,1,1,cancelled,1.2930899999999994,,false,entry,,,2004-01-12T10:06:00-05:00,2004-01-12T15:59:00,2026-07-15T21:13:22Z,2026-07-15T21:13:22Z
ord_cd4afae5a5db,intent_71e6900640ea,eurusd_or_fade_e3s2q1_or_boundary,eurusd_or_fade_e3s2q1_or_boundary_20040113_01,EURUSD,paper,buy,limit,1,0,filled,1.27334,,false,entry,,,2004-01-13T09:45:00-05:00,2004-01-13T15:59:00,2026-07-15T21:13:22Z,2026-07-15T21:13:22Z
