broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_fa98ab3bfefc,intent_1af37de69784,eurusd_weekly_mid_ma500_bias,eurusd_weekly_mid_ma500_bias-WMID-00001,EURUSD,paper,buy,limit,1,0,filled,1.14184,,false,entry,,,2003-05-13T05:00:00-04:00,,2026-07-14T04:46:18Z,2026-07-14T04:46:18Z
ord_045a85ee54f7,intent_5518b42f20af,eurusd_weekly_mid_ma500_bias,eurusd_weekly_mid_ma500_bias-WMID-00001,EURUSD,paper,sell,stop,1,0,filled,,1.13684,true,stop,ord_fa98ab3bfefc,ord_fa98ab3bfefc_bracket,,,2026-07-14T04:46:18Z,2026-07-14T04:46:18Z
ord_5409f567d605,intent_b5764f880f91,eurusd_weekly_mid_ma500_bias,eurusd_weekly_mid_ma500_bias-WMID-00001,EURUSD,paper,sell,limit,1,1,cancelled,1.17184,,true,target,ord_fa98ab3bfefc,ord_fa98ab3bfefc_bracket,,,2026-07-14T04:46:18Z,2026-07-14T04:46:18Z
ord_da820730fef5,intent_bd4396ffabdd,eurusd_weekly_mid_ma500_bias,eurusd_weekly_mid_ma500_bias-WMID-00002,EURUSD,paper,buy,limit,1,0,filled,1.14184,,false,entry,,,2003-05-16T10:00:00-04:00,,2026-07-14T04:46:18Z,2026-07-14T04:46:18Z
ord_b838e4993d68,intent_c5e1f710882e,eurusd_weekly_mid_ma500_bias,eurusd_weekly_mid_ma500_bias-WMID-00002,EURUSD,paper,sell,stop,1,1,cancelled,,1.13684,true,stop,ord_da820730fef5,ord_da820730fef5_bracket,,,2026-07-14T04:46:18Z,2026-07-14T04:46:19Z
ord_ea11f6953951,intent_5d0ec7433402,eurusd_weekly_mid_ma500_bias,eurusd_weekly_mid_ma500_bias-WMID-00002,EURUSD,paper,sell,limit,1,1,cancelled,1.17184,,true,target,ord_da820730fef5,ord_da820730fef5_bracket,,,2026-07-14T04:46:18Z,2026-07-14T04:46:19Z
ord_9b494ee943ef,intent_a709bec51e81,eurusd_weekly_mid_ma500_bias,eurusd_weekly_mid_ma500_bias-WMID-00002,EURUSD,paper,sell,market,1,0,filled,,,true,close,,,2003-05-19T00:00:00-04:00,,2026-07-14T04:46:19Z,2026-07-14T04:46:19Z
ord_29eaa01594a4,intent_836a46a42f95,eurusd_weekly_mid_ma500_bias,eurusd_weekly_mid_ma500_bias-WMID-00003,EURUSD,paper,buy,limit,1,1,cancelled,1.15258,,false,entry,,,2003-05-20T04:00:00-04:00,,2026-07-14T04:46:19Z,2026-07-14T04:46:19Z
ord_f35c56fa3edc,intent_7c32eb112f9e,eurusd_weekly_mid_ma500_bias,eurusd_weekly_mid_ma500_bias-WMID-00004,EURUSD,paper,buy,limit,1,0,filled,1.171805,,false,entry,,,2003-05-26T22:00:00-04:00,,2026-07-14T04:46:19Z,2026-07-14T04:46:19Z
ord_eca449397879,intent_fa4b9b0f7d02,eurusd_weekly_mid_ma500_bias,eurusd_weekly_mid_ma500_bias-WMID-00004,EURUSD,paper,sell,stop,1,1,cancelled,,1.166805,true,stop,ord_f35c56fa3edc,ord_f35c56fa3edc_bracket,,,2026-07-14T04:46:19Z,2026-07-14T04:46:19Z
ord_763ea71a9079,intent_bc155104f4f2,eurusd_weekly_mid_ma500_bias,eurusd_weekly_mid_ma500_bias-WMID-00004,EURUSD,paper,sell,limit,1,1,cancelled,1.201805,,true,target,ord_f35c56fa3edc,ord_f35c56fa3edc_bracket,,,2026-07-14T04:46:19Z,2026-07-14T04:46:19Z
ord_1c20cc3406f8,intent_cc080131c10e,eurusd_weekly_mid_ma500_bias,eurusd_weekly_mid_ma500_bias-WMID-00004,EURUSD,paper,sell,market,1,0,filled,,,true,close,,,2003-06-02T00:00:00-04:00,,2026-07-14T04:46:19Z,2026-07-14T04:46:19Z
ord_061fe241266b,intent_d51961426ca0,eurusd_weekly_mid_ma500_bias,eurusd_weekly_mid_ma500_bias-WMID-00005,EURUSD,paper,sell,limit,1,0,filled,1.180975,,false,entry,,,2003-06-02T09:00:00-04:00,,2026-07-14T04:46:19Z,2026-07-14T04:46:19Z
ord_83c4ddc98530,intent_678512e39d35,eurusd_weekly_mid_ma500_bias,eurusd_weekly_mid_ma500_bias-WMID-00005,EURUSD,paper,buy,stop,1,0,filled,,1.185975,true,stop,ord_061fe241266b,ord_061fe241266b_bracket,,,2026-07-14T04:46:19Z,2026-07-14T04:46:19Z
ord_8c3f1887b40e,intent_a81f63befb22,eurusd_weekly_mid_ma500_bias,eurusd_weekly_mid_ma500_bias-WMID-00005,EURUSD,paper,buy,limit,1,1,cancelled,1.150975,,true,target,ord_061fe241266b,ord_061fe241266b_bracket,,,2026-07-14T04:46:19Z,2026-07-14T04:46:19Z
ord_6bd652357a0d,intent_822c8fe919b3,eurusd_weekly_mid_ma500_bias,eurusd_weekly_mid_ma500_bias-WMID-00006,EURUSD,paper,sell,limit,1,0,filled,1.180975,,false,entry,,,2003-06-06T13:00:00-04:00,,2026-07-14T04:46:19Z,2026-07-14T04:46:19Z
ord_ba2b9a693c9d,intent_6ea775181295,eurusd_weekly_mid_ma500_bias,eurusd_weekly_mid_ma500_bias-WMID-00006,EURUSD,paper,buy,stop,1,1,cancelled,,1.185975,true,stop,ord_6bd652357a0d,ord_6bd652357a0d_bracket,,,2026-07-14T04:46:19Z,2026-07-14T04:46:19Z
ord_a901fa239745,intent_ca80c852f7fd,eurusd_weekly_mid_ma500_bias,eurusd_weekly_mid_ma500_bias-WMID-00006,EURUSD,paper,buy,limit,1,1,cancelled,1.150975,,true,target,ord_6bd652357a0d,ord_6bd652357a0d_bracket,,,2026-07-14T04:46:19Z,2026-07-14T04:46:19Z
ord_ae907835a131,intent_657033808b03,eurusd_weekly_mid_ma500_bias,eurusd_weekly_mid_ma500_bias-WMID-00006,EURUSD,paper,buy,market,1,0,filled,,,true,close,,,2003-06-09T00:00:00-04:00,,2026-07-14T04:46:19Z,2026-07-14T04:46:19Z
ord_2747807e2c54,intent_43489f588879,eurusd_weekly_mid_ma500_bias,eurusd_weekly_mid_ma500_bias-WMID-00007,EURUSD,paper,sell,limit,1,0,filled,1.175615,,false,entry,,,2003-06-09T01:00:00-04:00,,2026-07-14T04:46:19Z,2026-07-14T04:46:19Z
