fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_e6922bde93e1,ord_0d6059576df0,intent_a7b8d5338b4c,eurusd_yearly_orb_scaleout3,eurusd_yearly_orb_scaleout3_2004_01,EURUSD,paper,sell,1,1.20546,2004-04-06,entry
fill_49709e37778f,ord_5d752d160ae3,intent_5505b18f48e4,eurusd_yearly_orb_scaleout3,eurusd_yearly_orb_scaleout3_2004_01,EURUSD,paper,sell,1,1.20546,2004-04-06,entry
fill_afc715c78263,ord_b2ec442a2b88,intent_4778535dbdb4,eurusd_yearly_orb_scaleout3,eurusd_yearly_orb_scaleout3_2004_01,EURUSD,paper,sell,1,1.20546,2004-04-06,runner_entry
fill_8ab055e0747f,ord_3305680294b5,intent_19f983d4902d,eurusd_yearly_orb_scaleout3,eurusd_yearly_orb_scaleout3_2004_01,EURUSD,paper,buy,3,1.20087,2004-04-06,close
fill_d606de553546,ord_5ac824ec5aba,intent_cfbe3d63c42e,eurusd_yearly_orb_scaleout3,eurusd_yearly_orb_scaleout3_2004_02,EURUSD,paper,sell,1,1.20546,2004-04-19,runner_entry
fill_f81dcec9bd67,ord_88e442de70c3,intent_d32186821b22,eurusd_yearly_orb_scaleout3,eurusd_yearly_orb_scaleout3_2004_02,EURUSD,paper,sell,1,1.20546,2004-04-19,entry
fill_19747da782dd,ord_e14a5a4d311b,intent_30e534062c67,eurusd_yearly_orb_scaleout3,eurusd_yearly_orb_scaleout3_2004_02,EURUSD,paper,sell,1,1.20546,2004-04-19,entry
fill_ab213d0e472b,ord_d0ba6abb5d49,intent_aef4f1aca7af,eurusd_yearly_orb_scaleout3,eurusd_yearly_orb_scaleout3_2004_02,EURUSD,paper,buy,1,1.1837075,2004-04-20,target
fill_83a52b80af20,ord_dc8ee83b2c35,intent_63df4684d5b3,eurusd_yearly_orb_scaleout3,eurusd_yearly_orb_scaleout3_2004_02,EURUSD,paper,buy,2,1.1931,2004-05-04,close
fill_a9f19786516c,ord_29a830b5fcf6,intent_a2c953ef3cab,eurusd_yearly_orb_scaleout3,eurusd_yearly_orb_scaleout3_2004_03,EURUSD,paper,sell,1,1.20546,2004-05-17,entry
