intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_74a3187b34c2,eurusd_v2b_inside_yor_daily_st_aligned_S_1_1_3,eurusd_v2b_inside_yor_daily_st_aligned_S_1_1_3_20040401_01,EURUSD,paper,sell,stop,5,,1.2312999999999998,v2b_short_entry,submitted,true,quiet_intent_74a3187b34c2,,false,entry,,,,GTC,2004-04-01T09:44:00-05:00,2004-04-01T15:59:00,2026-07-14T17:08:31Z,2026-07-14T17:08:31Z
intent_ccbbe58c8216,eurusd_v2b_inside_yor_daily_st_aligned_S_1_1_3,eurusd_v2b_inside_yor_daily_st_aligned_S_1_1_3_20040401_01,EURUSD,paper,buy,stop,5,,1.23301,v2b_wide_stop,submitted,false,,,true,wide_stop,,,,GTC,,2004-04-01T15:59:00,2026-07-14T17:08:31Z,2026-07-14T17:08:31Z
intent_d3c209b194bb,eurusd_v2b_inside_yor_daily_st_aligned_S_1_1_3,eurusd_v2b_inside_yor_daily_st_aligned_S_1_1_3_20040401_01,EURUSD,paper,buy,limit,1,1.2296099999999999,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,,2004-04-01T15:59:00,2026-07-14T17:08:31Z,2026-07-14T17:08:31Z
intent_173eec093f47,eurusd_v2b_inside_yor_daily_st_aligned_S_1_1_3,eurusd_v2b_inside_yor_daily_st_aligned_S_1_1_3_20040401_01,EURUSD,paper,buy,limit,1,1.2279099999999998,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2004-04-01T15:59:00,2026-07-14T17:08:31Z,2026-07-14T17:08:31Z
intent_019c4703870c,eurusd_v2b_inside_yor_daily_st_aligned_S_1_1_3,eurusd_v2b_inside_yor_daily_st_aligned_S_1_1_3_20040402_01,EURUSD,paper,sell,stop,5,,1.2313699999999999,v2b_short_entry,submitted,true,quiet_intent_019c4703870c,,false,entry,,,,GTC,2004-04-02T09:44:00-05:00,2004-04-02T15:59:00,2026-07-14T17:08:31Z,2026-07-14T17:08:31Z
intent_3e1b86eff18d,eurusd_v2b_inside_yor_daily_st_aligned_S_1_1_3,eurusd_v2b_inside_yor_daily_st_aligned_S_1_1_3_20040402_01,EURUSD,paper,buy,stop,5,,1.23218,v2b_wide_stop,submitted,false,,,true,wide_stop,,,,GTC,,2004-04-02T15:59:00,2026-07-14T17:08:31Z,2026-07-14T17:08:31Z
intent_0359120388e1,eurusd_v2b_inside_yor_daily_st_aligned_S_1_1_3,eurusd_v2b_inside_yor_daily_st_aligned_S_1_1_3_20040402_01,EURUSD,paper,buy,limit,1,1.2305799999999998,,v2b_tp1,submitted,false,,,true,tp1,,,,GTC,,2004-04-02T15:59:00,2026-07-14T17:08:31Z,2026-07-14T17:08:31Z
intent_c4b680f76e16,eurusd_v2b_inside_yor_daily_st_aligned_S_1_1_3,eurusd_v2b_inside_yor_daily_st_aligned_S_1_1_3_20040402_01,EURUSD,paper,buy,limit,1,1.2297799999999997,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2004-04-02T15:59:00,2026-07-14T17:08:31Z,2026-07-14T17:08:31Z
intent_6f096f21c927,eurusd_v2b_inside_yor_daily_st_aligned_S_1_1_3,eurusd_v2b_inside_yor_daily_st_aligned_S_1_1_3_20040402_01,EURUSD,paper,buy,stop,4,,1.2313699999999999,v2b_runner_stop,submitted,false,,,true,runner_stop,,,,GTC,,2004-04-02T15:59:00,2026-07-14T17:08:31Z,2026-07-14T17:08:31Z
intent_4c34439424be,eurusd_v2b_inside_yor_daily_st_aligned_S_1_1_3,eurusd_v2b_inside_yor_daily_st_aligned_S_1_1_3_20040402_01,EURUSD,paper,buy,limit,1,1.2297799999999997,,v2b_tp2,submitted,false,,,true,tp2,,,,GTC,,2004-04-02T15:59:00,2026-07-14T17:08:31Z,2026-07-14T17:08:31Z
